Title,Authors,Year,DOI or URL,Abstract,Source
Capabilities of rule representations for automated compliance checking in healthcare buildings:contentReference[oaicite:0]{index=0},Zijing Zhang; Nicholas Nisbet; Ling Ma; Tim Broyd:contentReference[oaicite:1]{index=1},2023:contentReference[oaicite:2]{index=2},10.1016/j.autcon.2022.104688:contentReference[oaicite:3]{index=3},"A suitable rule representation is essential to enable automated compliance checking of building design... This paper aims to identify capabilities needed for rule representation by using healthcare design regulations as an example... The results showed 18 capabilities for healthcare rule representation, where 16 are required, and two are desirable:contentReference[oaicite:4]{index=4}.",Automation in Construction:contentReference[oaicite:5]{index=5}
Automated rule-based safety inspection and compliance checking of temporary guardrail systems in construction:contentReference[oaicite:6]{index=6},K. W. Johansen; J. Teizer; C. Schultz:contentReference[oaicite:7]{index=7},2024:contentReference[oaicite:8]{index=8},10.1016/j.autcon.2024.105849:contentReference[oaicite:9]{index=9},This paper proposes an automated rule-based inspection and compliance-checking system that can assist in detecting faulty guardrails in live work environments. The classification approach utilizes safety design and mimics the steps of human guardrailing compliance assessment... This first-of-a-kind classification approach is reliable and scalable and successfully classifies various scenarios of guardrail systems for fall protection:contentReference[oaicite:10]{index=10}.,Automation in Construction:contentReference[oaicite:11]{index=11}
Rule capture of automated compliance checking of building requirements: a review:contentReference[oaicite:12]{index=12},Zijing Zhang; Ling Ma; Tim Broyd:contentReference[oaicite:13]{index=13},2023:contentReference[oaicite:14]{index=14},10.1680/jsmic.23.00005:contentReference[oaicite:15]{index=15},"Automated compliance checking (ACC) was proposed as a solution to the error-prone and time-consuming manual compliance-checking process. Rule capture is a crucial bottleneck of ACC. This paper conducts a systematic literature review and identifies challenges in rule capture for ACC... The findings reveal that existing representations cannot handle 'unknowns' and 'side effects', lack ability to deal with ambiguous rules, and are often restricted by the rule engine or data model:contentReference[oaicite:16]{index=16}.",Proc. ICE – Smart Infrastructure and Construction:contentReference[oaicite:17]{index=17}
CODE-ACCORD: A Corpus of building regulatory data for rule generation towards automatic compliance checking:contentReference[oaicite:18]{index=18},Hansi Hettiarachchi; Amna Dridi; Mohamed M. Gaber; Pouyan Parsafard; Nicoleta Bocaneala; Katja Breitenfelder; Gonçal Costa; Maria M. Hedblom; Mihaela Juganaru-Mathieu; Thamer Mecharnia; Sumee Park; He Tan; Abdel-Rahman H. Tawil; Edlira Vakaj:contentReference[oaicite:19]{index=19},2025:contentReference[oaicite:20]{index=20},10.1038/s41597-024-04320-x:contentReference[oaicite:21]{index=21},"Automatic Compliance Checking (ACC) necessitates automating the interpretation of building regulations. We introduce CODE-ACCORD, a dataset of 862 sentences from building regulations of England and Finland. Each sentence was manually annotated with entities and relations to facilitate machine-readable rule generation. The final dataset comprises thousands of entities and relations, serving as a robust ground truth for applying ML and NLP techniques to ACC:contentReference[oaicite:22]{index=22}:contentReference[oaicite:23]{index=23}.",Scientific Data:contentReference[oaicite:24]{index=24}
Moving automated compliance checking to the operational phase of the building life-cycle: analysis and feasibility study in the UK:contentReference[oaicite:25]{index=25},Thomas Beach; Jonathan Yeung; Ali Ghorghi; Yacine Rezgui:contentReference[oaicite:26]{index=26},2024:contentReference[oaicite:27]{index=27},10.1080/15623599.2024.2366727:contentReference[oaicite:28]{index=28},"Construction regulations ensure baseline safety for built assets. Formal compliance checks occur at defined life-cycle points and often lack automation. This paper extends compliance checking into the operational phase of buildings using automated/semi-automated data capture and analysis. Findings show that whole-life compliance checking is vital but impractical through purely manual inspections, and identify viable use cases and technologies for an automated approach:contentReference[oaicite:29]{index=29}:contentReference[oaicite:30]{index=30}.",International Journal of Construction Management:contentReference[oaicite:31]{index=31}:contentReference[oaicite:32]{index=32}
A SHACL-Based Approach for Enhancing Automated Compliance Checking with RDF Data:contentReference[oaicite:33]{index=33},Joseph Anim; Livio Robaldo; Adam Z. Wyner:contentReference[oaicite:34]{index=34},2024:contentReference[oaicite:35]{index=35},10.3390/info15120759:contentReference[oaicite:36]{index=36},"Automated Compliance Checking (ACC) is increasingly important for enforcing legal regulations. This paper leverages Semantic Web technologies, focusing on executing SHACL-SPARQL rules on RDF data. The approach addresses limitations of traditional ACC by handling nuanced temporal and aggregate requirements in legal reasoning. A case study on regulations with aggregate and temporal facets demonstrates the effectiveness of the proposed solution in improving ACC via standardized, interoperable Semantic Web methods:contentReference[oaicite:37]{index=37}:contentReference[oaicite:38]{index=38}.",Information (MDPI):contentReference[oaicite:39]{index=39}
"Object-centred automated compliance checking: a novel, bottom-up approach:contentReference[oaicite:40]{index=40}",Omar Doukari; David Greenwood; Kay Rogage; Mohamad Kassem:contentReference[oaicite:41]{index=41},2022:contentReference[oaicite:42]{index=42},10.36680/j.itcon.2022.017:contentReference[oaicite:43]{index=43},"Building Information Modelling (BIM) represents built assets as objects with identity, attributes, and relations, enabling new compliance approaches. This paper proposes a bottom-up object-centred method for automated model checking, using a simulated annealing-inspired classification. A prototype demonstrates four key processes (content validation, model completeness, smart object, and design option checking) and satisfies desired compliance checking characteristics. Case studies show the approach saves around 125 minutes per object compared to manual methods:contentReference[oaicite:44]{index=44}:contentReference[oaicite:45]{index=45}.",Journal of IT in Construction (ITcon):contentReference[oaicite:46]{index=46}
Automated code compliance checking research based on BIM and knowledge graph:contentReference[oaicite:47]{index=47},Junlong Peng; Xiangjun Liu:contentReference[oaicite:48]{index=48},2023:contentReference[oaicite:49]{index=49},10.1038/s41598-023-34342-1:contentReference[oaicite:50]{index=50},"Traditional drawing reviews rely on experts, but this study achieves automatic code compliance checking by combining BIM and knowledge graphs. Regulatory text is converted into a computer-readable structured language using NLP to form a human–machine-readable knowledge graph. BIM model information is extracted and mapped to compliance rules. An example validates that this method effectively addresses the ""manual dependency"" and ""inefficiency"" issues in the review process:contentReference[oaicite:51]{index=51}:contentReference[oaicite:52]{index=52}.",Scientific Reports:contentReference[oaicite:53]{index=53}
Knowledge-Informed Semantic Alignment and Rule Interpretation for Automated Compliance Checking:contentReference[oaicite:54]{index=54},Z. Zheng; Y. C. Zhou; X. Z. Lu; J. R. Lin:contentReference[oaicite:55]{index=55},2022:contentReference[oaicite:56]{index=56},10.1016/j.autcon.2022.104524:contentReference[oaicite:57]{index=57},"Automated rule checking (ARC) in construction requires intelligent rule interpretation from regulatory text and alignment of concepts across models and regulations. This paper presents a knowledge-informed framework using NLP to bridge semantic gaps between design BIM models and textual regulations. An ontology captures domain knowledge (concepts, synonyms, constraints). Semantic alignment and conflict resolution techniques, aided by domain knowledge and unsupervised learning, enhance rule interpretation. The method generates SPARQL queries for model checking, enabling interpretation of complex rules with implicit data. Experiments show ~90% accuracy, significantly outperforming keyword matching, and the automated rule interpretation is ~5× faster than manual expert interpretation:contentReference[oaicite:58]{index=58}:contentReference[oaicite:59]{index=59}.",Automation in Construction:contentReference[oaicite:60]{index=60}
Automated Compliance Checking System for Structural Design Codes in a BIM Environment:contentReference[oaicite:61]{index=61},Wonhui Goh; Jaeguk Jang; Sang I. Park; Bong-Hyuck Choi; Heuiseok Lim; Goangseup Zi:contentReference[oaicite:63]{index=63},2024:contentReference[oaicite:64]{index=64},10.1007/s12205-024-1121-5:contentReference[oaicite:65]{index=65},"This study proposes a framework to develop an ACC system for verifying structural calculations in openBIM format. The framework includes: (1) classifying design codes by structural component and limit state, (2) preparing a structural model in IFC, (3) interpreting design code conditions into a machine-readable rule language, and (4) designing an ACC system focusing on rule flow in structural codes. A detailed example uses ifcOWL, SWRL, and a Drools engine to check a prestressed concrete bridge design. The ACC system successfully verified the design example. The framework can be adapted for various codes and user requirements in structural engineering:contentReference[oaicite:66]{index=66}:contentReference[oaicite:67]{index=67}.",KSCE Journal of Civil Engineering:contentReference[oaicite:68]{index=68}:contentReference[oaicite:69]{index=69}
NLP-based Automated Compliance Checking of Data Processing Agreements against GDPR:contentReference[oaicite:70]{index=70},Orlando Amaral Cejas; Muhammad I. Azeem; Sallam Abualhaija; Lionel Briand:contentReference[oaicite:71]{index=71}:contentReference[oaicite:72]{index=72},2023:contentReference[oaicite:73]{index=73},10.1109/TSE.2023.3288901:contentReference[oaicite:74]{index=74},"When a data processor differs from the data controller, GDPR mandates a Data Processing Agreement (DPA). Ensuring a DPA complies with GDPR is challenging due to the effort in mapping GDPR requirements to the DPA. This paper presents an automated solution using NLP to check a given DPA against GDPR “shall” requirements. It extracts requirements from GDPR and creates a glossary of legal concepts, then automatically generates representations of the DPA text and compares them to the GDPR requirements. The approach detects non-compliance and suggests missing information in the DPA. In experiments on 30 real DPAs, it achieved ~89% precision, ~82% recall, and ~84% accuracy, improving accuracy by ~20 percentage points over a baseline and reaching ~94% with minimal manual verification:contentReference[oaicite:75]{index=75}:contentReference[oaicite:76]{index=76}.",IEEE Transactions on Software Engineering:contentReference[oaicite:77]{index=77}
Semantic web-based automated compliance checking with integration of Finite Element analysis:contentReference[oaicite:78]{index=78},Panagiotis Patlakas; Ioannis P. Christovasilis; Lorenzo Riparbelli; Franco K. T. Cheung; Edlira Vakaj,2024:contentReference[oaicite:81]{index=81},10.1016/j.aei.2024.102448:contentReference[oaicite:82]{index=82},"Automatic Compliance Checking (ACC) is a promising approach for ensuring building and planning regulations compliance, especially with BIM/IFC. However, computational analysis methods like Finite Element Analysis (FEA) have seen little integration in ACC. This work presents a holistic approach that embeds FEA results into IFC and uses a Semantic Web-based system for ACC. A top-level Building Compliance Ontology (BCO) is developed to represent regulatory statements (not just building components). The approach is evaluated on a modular steel structure’s code compliance: an open-source FEA solver provides results which are integrated via middleware, BCO is extended for structural engineering, and compliance is automatically checked with SHACL scripts in a Semantic Web environment:contentReference[oaicite:83]{index=83}:contentReference[oaicite:84]{index=84}.",Advanced Engineering Informatics:contentReference[oaicite:85]{index=85}
