Title,Authors,Year,DOI,Abstract,Source
Knowledge-informed semantic alignment and rule interpretation for automated compliance checking,Zhe Zheng; Yu-Cheng Zhou; Xin-Zheng Lu; Jia-Rui Lin,2022,10.1016/j.autcon.2022.104524,"As an essential procedure to improve design quality in the construction industry, automated rule checking (ARC) requires intelligent rule interpretation from regulatory texts and precise alignment of concepts from different sources. However, there still exists semantic gaps between design models and regulatory texts, hindering the exploitation of ARC. Thus, a knowledge-informed framework for improved ARC is proposed based on natural language processing. Within the framework, an ontology is first established to represent domain knowledge, including concepts, synonyms, relationships, constraints, etc. Then, semantic alignment and conflict resolution are introduced to enhance the rule interpretation process based on predefined domain knowledge and unsupervised learning techniques:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}.",Automation in Construction
Automated code compliance checking research based on BIM and knowledge graph,Junlong Peng; Xiangjun Liu,2023,10.1038/s41598-023-34342-1,"Automated code compliance checking plays an important role in moving the construction industry forward. While traditional drawing review relies on the identification of industry experts, the purpose of this study is to realize automatic code review by using BIM technology and knowledge graph technology. The method is based on knowledge graph to transform the specification provisions involved in the review of drawings into a computer-recognizable structured language using natural language processing technology to form a human–machine-readable knowledge graph pattern. For the review of BIM models, the BIM model information is exported and the global resource description framework of the building model is obtained in Protégé, and the review report is finally obtained after mapping rules and review rules. Finally, the feasibility of the method is verified by an example:contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}.",Scientific Reports
Rule capture of automated compliance checking of building requirements: a review,Zijing Zhang; Ling Ma; Tim Broyd,2023,10.1680/jsmic.23.00005,"In the architectural, engineering and construction industry, building design needs to be checked against regulations before it can be finalised and progress to the construction stage. The traditional manual compliance-checking process is error prone and time consuming. As a solution, automated compliance checking (ACC) was proposed. Rule capture is a crucial bottleneck of ACC. Despite many studies in this domain, no research has synthesised the themes and identified future research opportunities. This paper aims to fill this gap by conducting a systematic literature review and identifying challenges facing this field. The findings revealed that the rule capture process had attracted interest in the past years, and more semi-automated and automated methods have been proposed. The current representation development process lacks a methodological backdrop... Further research is required to address these issues:contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}.",Proceedings of the ICE – Smart Infrastructure and Construction
Compliance Checking on Topological Spatial Relationships of Building Elements Based on Building Information Models and Ontology,Xuefeng Zhao; Lingli Huang; Zhe Sun; Xiongtao Fan; Meng Zhang,2023,10.3390/su151410901,"Compliance checking on the topological spatial relationships of building elements is vital for ensuring the safety and the quality of buildings. However, the complex topological spatial relationships of buildings are not usually expressed in the design scheme directly. Manual checking is still needed to analyze the design scheme and extract the spatial relationships. Such manual checking is always time consuming and prone to error. Therefore, this study has proposed a compliance checking method based on a building information model (BIM) and building ontologies for the automatic checking of topological spatial relationships. Firstly, the topological spatial relationships are well captured and represented according to the location relation of building elements... The authors have validated the proposed method through a case study. The results show that the proposed method could help to achieve automatic compliance checking on topological spatial relationships of building elements:contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}.",Sustainability
NLP-based Automated Compliance Checking of Data Processing Agreements against GDPR,Orlando Amaral Cejas; Muhammad Ilyas Azeem; Sallam Abualhaija; Lionel Briand,2023,10.1109/TSE.2023.3288901,"When the entity processing personal data (the processor) differs from the one collecting personal data (the controller), processing personal data is regulated in Europe by the GDPR through data processing agreements (DPAs). Checking the compliance of DPAs contributes to the compliance verification of software systems as DPAs are an important source of requirements... However, manually checking whether a given DPA complies with GDPR is challenging as it requires significant time and effort. In this paper, we propose an automated solution to check the compliance of a given DPA against GDPR... our approach automatically generates phrasal-level representations for the textual content of the DPA and compares them against predefined representations of the “shall” requirements... the approach not only assesses whether the DPA is GDPR compliant but it further provides recommendations about missing information in the DPA:contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}.",IEEE Transactions on Software Engineering
Optimizing automated compliance checking with ontology-enhanced natural language processing: Case in the fire safety domain,Yian Chen; Huixian Jiang,2024,10.1016/j.jenvman.2024.123320,"The fire safety compliance checking (FSCC) plays a crucial role in ensuring the quality of fire engineering design and eliminating inherent fire hazards. It requires an objective and rational interpretation of fire regulations. However, the texts of fire regulations are filled with numerous rules related to spatial limitations, which pose a significant challenge in interpreting them. The current method of interpreting these rules mostly relies on manual translation, which is not efficient. To address this issue, this study proposes an innovative automated framework for interpreting rules by combining ontology technology with natural language processing (NLP)... The tree structure is then mapped to logical clauses based on semantic consistency, thereby improving the efficiency of interpretation. Experimental results demonstrate that the architecture achieves an F1 score of 86.27 for entity extraction and 81.81 for spatial relationship extraction tasks, with an accuracy of 96.26% in the formalization of logical rules:contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}.",Journal of Environmental Management
Semantic web-based automated compliance checking with integration of Finite Element analysis,Panagiotis Patlakas; Ioannis Christovasilis; Lorenzo Riparbelli; Franco K. T. Cheung; Edlira Vakaj,2024,10.1016/j.aei.2024.102448,"Automatic Compliance Checking (ACC) is a promising response to the challenges involved in meeting building and planning regulations, and increasingly utilised by researchers in the context of Building Information Modelling (BIM) and the Industry Foundation Classes (IFC). However, engineers often use computational methods, such as Finite Element Analysis (FEA), to solve challenging engineering problems. Such methods have received little attention in the context of ACC and BIM. The work presented here proposes a holistic approach, integrating FEA in the IFC schema, and utilising a Semantic Web-based system for ACC. A top-level ontology, the Building Compliance Ontology (BCO), is proposed, with the aim of covering all aspects of compliance in the Built Environment... Compliance is checked automatically by running SHACL scripts in a Semantic Web environment:contentReference[oaicite:12]{index=12}:contentReference[oaicite:13]{index=13}.",Advanced Engineering Informatics
Automated Building Information Modeling Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,Nanjiang Chen; Xuhui Lin; Hai Jiang; Yi An,2024,10.3390/buildings14071983,"Ensuring compliance with complex industry standards and regulations during the design and implementation phases of construction projects is a significant challenge in the building information modeling (BIM) domain. Traditional manual compliance checking methods are inefficient and error-prone, failing to meet modern engineering demands. Natural language processing (NLP) and deep learning methods have improved efficiency and accuracy in rule interpretation and compliance checking. However, these methods still require extensive manual feature engineering, large annotated datasets, and significant computational resources. Large language models (LLMs) provide robust language understanding with minimal labeled data due to their pre-training and few-shot learning capabilities... This study introduces an innovative automated compliance checking framework that integrates LLM, deep learning models, and ontology knowledge models... This novel combination of deep learning and LLM significantly enhances the efficiency and accuracy of compliance checks by automating the processing of regulatory texts and reducing manual intervention:contentReference[oaicite:14]{index=14}:contentReference[oaicite:15]{index=15}.",Buildings
Automated Compliance Checking System for Structural Design Codes in a BIM Environment,Wonhui Goh; Jaeguk Jang; Sang I. Park; Bong-Hyuck Choi; Heuiseok Lim; Goangseup Zi,2024,10.1007/s12205-024-1121-5,"This study proposes a framework for developing an automated compliance checking (ACC) system that supports the verification of structural calculations in openBIM format. The framework consists of four main aspects: (1) classification of design codes depending on structural components and limit states to be checked; (2) preparation of a structural model according to Industry Foundation Classes; (3) interpretation of conditions in design codes into a machine-readable rule language; and (4) design of an ACC system, with a focus on the rule flow in the structural design code. The framework was demonstrated through a detailed example of an ACC system using ifcOWL, SWRL, and the Drools inference engine... The proposed framework can help develop ACC systems in structural engineering and can be customized to meet user requirements and accommodate various data sources and design codes:contentReference[oaicite:16]{index=16}:contentReference[oaicite:17]{index=17}.",KSCE Journal of Civil Engineering
A SHACL-Based Approach for Enhancing Automated Compliance Checking with RDF Data,Joseph Anim; Livio Robaldo; Adam Z. Wyner,2024,10.3390/info15120759,"Automated Compliance Checking (ACC) has emerged as a critical tool for enforcing legal regulations across various domains. This paper contributes to ongoing research in Semantic Web technologies, particularly focusing on the execution of SHACL-SPARQL rules on RDF data. The RDF, being one of the most widely used knowledge representation formats, serves as the foundation of our approach, ensuring compatibility with existing standards and enhancing interoperability. Our research enhances the aggregate and temporal aspects of ACC by addressing the limitations of traditional ACC methodologies, which often fall short in managing the nuanced temporal and aggregate requirements essential for legal reasoning. Through a case study analysis of selected regulations with aggregate and temporal facets... the findings underscore the potential of Semantic Web technologies to transform ACC practices by moving towards standardized, interoperable solutions:contentReference[oaicite:18]{index=18}:contentReference[oaicite:19]{index=19}.",Information
