Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Human-in-the-Loop Learning With LLMs for Efficient RASE Tagging in Building Compliance Regulations,D. Al-Turki; H. Hettiarachchi; M. Medhat Gaber; M. M. Abdelsamea; S. Basurra; S. Iranmanesh; H. Saadany; E. Vakaj,"School of Computing and Digital Technology, Birmingham City University, Birmingham, U.K.; School of Computing and Communications, Lancaster University, Lancaster, U.K.; School of Computing and Digital Technology, Birmingham City University, Birmingham, U.K.; Department of Computer Science, University of Exeter, Exeter, U.K.; School of Computing and Digital Technology, Birmingham City University, Birmingham, U.K.; School of Computing and Digital Technology, Birmingham City University, Birmingham, U.K.; School of Computing and Digital Technology, Birmingham City University, Birmingham, U.K.; School of Computing and Digital Technology, Birmingham City University, Birmingham, U.K.",IEEE Access,13 Dec 2024,2024,12,,185291,185306,"Automated compliance checking (ACC) in the Architecture, Engineering, and Construction (AEC) sector represents a pivotal task which is traditionally executed manually, demanding significant time and labor. This work investigates the automation of the Requirement, Applicability, Selection, and Exception (RASE) methodology for building regulatory compliance through the utilization of Large Language Models (LLMs) and active learning techniques. Specifically, we focus on the development and assessment of a system using the OpenAI GPT-4o model to transmute building regulation texts into structured YAML formats conducive to ACC processes. The study encompasses three experimental paradigms: few-shot learning, fine-tuning learning, and progressive active learning. Initial results from the few-shot learning experiment illustrate the model’s preliminary ability to interpret and process regulatory texts with limited examples. Fine-tuning enhances model performance by training it on a specialized dataset, thereby improving structural and textual accuracy. Progressive active learning, by iteratively incorporating expert feedback, further refines the accuracy of the model. The findings demonstrate substantial enhancements in both structural and semantic accuracies of the generated YAML files, underscoring the potential of integrating LLMs with active learning to streamline regulatory compliance automation. The methodologies and results presented here offer a comprehensive framework for advancing future research and practical applications in the domain of automated regulatory compliance.",2169-3536,,10.1109/ACCESS.2024.3512434,European Union’s Horizon Europe Research and Innovation Program(grant numbers:101056973 (ACCORD)); United Kingdom Research and Innovation (UKRI) of Cardiff University(grant numbers:10040207); Birmingham City University(grant numbers:10038999); Building Smart International(grant numbers:10049977); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10778545,Automated compliance checking;RASE;large language models;active learning,Annotations;Buildings;Accuracy;Regulation;Semantics;Few shot learning;Tagging;Large language models;Europe;Automation,,1,,22,CCBY,5 Dec 2024,,,IEEE,IEEE Journals
"The Adoption of Automated Building Code Compliance Checking Systems in the Architecture, Engineering, and Construction Industry",E. A. Nama; A. Alalawi,"College of Business Administration, University of Bahrain, Kingdom of Bahrain; College of Business Administration, University of Bahrain, Kingdom of Bahrain",2023 International Conference On Cyber Management And Engineering (CyMaEn),28 Feb 2023,2023,,,289,296,"Most Automated Compliance Checking (ACC) systems for building codes currently in use cannot fully translate building-code requirements into forms that can be processed by computers, especially when such requirements have complex semantic and syntactic structure hierarchies. Modern information extraction and transformation rules-based ACC approaches, capable of handling complicated requirements, are rigid when used with various regulatory documents. To assist the ACC systems’ downstream responsibilities, like information matching and compliance reasoning, a flexible approach to automatically processing and interpreting requirements must therefore be developed. This study is based on previous relevant research and, despite being integrated based on the authors’ knowledge from various based on disciplines, draws on previous research. Within the scope of this study, we looked into the history of issuing Building Permits (BPs) and the required process, technology, and rules to get the ball rolling on automating the process of checking compliance with building codes. Finally, based on the findings of the research, we defined the required steps to start automating the building code compliance checking system in the Kingdom of Bahrain.",,978-1-6654-9329-1,10.1109/CyMaEn57228.2023.10050930,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10050930,digital building permit;automation of compliance checking;ifcOWL ontology;BIM-based code compliance;AEC;Kingdom of Bahrain.,Solid modeling;Codes;Systematics;Law;Buildings;Switches;Syntactics,,2,,30,IEEE,28 Feb 2023,,,IEEE,IEEE Conferences
NLP-Based Automated Compliance Checking of Data Processing Agreements Against GDPR,O. A. Cejas; M. I. Azeem; S. Abualhaija; L. C. Briand,"SnT Centre for Security, Reliability, and Trust, University of Luxembourg, Esch-sur-Alzette, Luxembourg; SnT Centre for Security, Reliability, and Trust, University of Luxembourg, Esch-sur-Alzette, Luxembourg; SnT Centre for Security, Reliability, and Trust, University of Luxembourg, Esch-sur-Alzette, Luxembourg; SnT Centre for Security, Reliability, and Trust, University of Luxembourg, Esch-sur-Alzette, Luxembourg",IEEE Transactions on Software Engineering,19 Sep 2023,2023,49,9,4282,4303,"When the entity processing personal data (the processor) differs from the one collecting personal data (the controller), processing personal data is regulated in Europe by the General Data Protection Regulation (GDPR) through data processing agreements (DPAs). Checking the compliance of DPAs contributes to the compliance verification of software systems as DPAs are an important source of requirements for software development involving the processing of personal data. However, manually checking whether a given DPA complies with GDPR is challenging as it requires significant time and effort for understanding and identifying DPA-relevant compliance requirements in GDPR and then verifying these requirements in the DPA. Legal texts introduce additional complexity due to convoluted language and inherent ambiguity leading to potential misunderstandings. In this paper, we propose an automated solution to check the compliance of a given DPA against GDPR. In close interaction with legal experts, we first built two artifacts: (i) the “shall” requirements extracted from the GDPR provisions relevant to DPA compliance and (ii) a glossary table defining the legal concepts in the requirements. Then, we developed an automated solution that leverages natural language processing (NLP) technologies to check the compliance of a given DPA against these “shall” requirements. Specifically, our approach automatically generates phrasal-level representations for the textual content of the DPA and compares them against predefined representations of the “shall” requirements. By comparing these two representations, the approach not only assesses whether the DPA is GDPR compliant but it further provides recommendations about missing information in the DPA. Over a dataset of 30 actual DPAs, the approach correctly finds 618 out of 750 genuine violations while raising 76 false violations, and further correctly identifies 524 satisfied requirements. The approach has thus an average precision of 89.1%, a recall of 82.4%, and an accuracy of 84.6%. Compared to a baseline that relies on off-the-shelf NLP tools, our approach provides an average accuracy gain of $\approx$≈20 percentage points. The accuracy of our approach can be improved to $\approx$≈94% with limited manual verification effort.",1939-3520,,10.1109/TSE.2023.3288901,"Linklaters, Luxembourg's National Research Fund(grant numbers:BRIDGES/19/IS/13759068/ARTAGO); NSERC of Canada; Discovery and CRC programs; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10167495,Requirements engineering (RE);the general data protection regulation (GDPR);regulatory compliance;natural language processing (NLP);data processing agreement (DPA);privacy,Process control;General Data Protection Regulation;Companies;Data processing;Data breach;Standards organizations;Software systems,,26,,117,CCBY,27 Jun 2023,,,IEEE,IEEE Journals
ML-Based Compliance Verification of Data Processing Agreements against GDPR,O. Amaral; S. Abualhaija; L. Briand,"SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg",2023 IEEE 31st International Requirements Engineering Conference (RE),28 Sep 2023,2023,,,53,64,"Most current software systems involve processing personal data, an activity that is regulated in Europe by the general data protection regulation (GDPR) through data processing agreements (DPAs). Developing compliant software requires adhering to DPA-related requirements in GDPR. Verifying the compliance of DPAs entirely manually is however time-consuming and error-prone. In this paper, we propose an automation strategy based on machine learning (ML) for checking GDPR compliance in DPAs. Specifically, we create, based on existing work, a comprehensive conceptual model that describes the information types pertinent to DPA compliance. We then develop an automated approach that detects breaches of compliance by predicting the presence of these information types in DPAs. On an evaluation set of 30 real DPAs, our approach detects 483 out of 582 genuine violations while introducing 93 false violations, achieving thereby a precision of 83.9% and recall of 83.0%. We empirically compare our approach against an existing approach which does not employ ML but relies on manually-defined rules. Our results indicate that the two approaches perform on par. Therefore, to select the right solution in a given context, we discuss differentiating factors like the availability of annotated data and legal experts, and adaptation to regulation changes.",2332-6441,979-8-3503-2689-5,10.1109/RE57278.2023.00015,NSERC of Canada; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10260912,Requirements Engineering (RE);Regulatory Compliance;The General Data Protection Regulation (GDPR);Data Processing Agreement (DPA);Machine Learning (ML);Natural Language Processing (NLP),Law;Europe;Machine learning;Manuals;Data processing;Software systems;Natural language processing,,16,,87,IEEE,28 Sep 2023,,,IEEE,IEEE Conferences
Conceptual Model for Automating GDPR Compliance Verification Using Natural Language Approach,A. Aborujilah; A. Z. Al-Othmani; Z. A. Long; N. S. Hussien; D. A. Ghani,"Cybersecurity & Technological Convergence, Department, Malaysian Institute of Information Technology, Universiti Kuala Lumpur, Malaysia; Cyber Technology Institute (CTI,) De Montfort University Leicester, United Kingdom; Malaysian Institute Of Information Technology (MIIT),Universiti Kuala Lumpur, Malaysia; Malaysian Institute Of Information Technology (MIIT),Universiti Kuala Lumpur, Malaysia; Malaysian Institute Of Information Technology (MIIT),Universiti Kuala Lumpur, Malaysia","2022 International Conference on Intelligent Technology, System and Service for Internet of Everything (ITSS-IoE)",28 Dec 2022,2022,,,1,6,"Most mobile apps require regular access to sensitive personal information. Regulators are increasingly demanding mobile app makers disclose privacy policies that detail what users’ data is gathered and used. Compliance with data privacy and protection regulations must be monitored to reduce legal penalties that may come from unexpected data breaches. Checking and verifying The General Data Protection Regulation (GDPR) Compliance is quite a challenging issue. In this paper, we propose, an extension to be added to the automated GDPR compliance verification tool. This extension shows how the questions about the compliance of mobile applications might be answered based on GDPR standards. The implementation phases of the extension are explained. It includes query processing, document retrieval, passage retrieval, and answer extraction. This paper provides mobile application developers with a better technique of how to monitor users' compliance with mobile application privacy policies.",,978-1-6654-5998-3,10.1109/ITSS-IoE56359.2022.9990931,Universiti Kuala Lumpur; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990931,Natural Language approach;Mobile Applications;Privacy Policies violation;GDPR;Privacy Policies compliance,Data privacy;Privacy;Regulators;Query processing;Natural languages;Regulation;Mobile applications,,3,,46,IEEE,28 Dec 2022,,,IEEE,IEEE Conferences
Towards Standards-Compliant Assistive Technology Product Specifications via LLMs,C. Arora; J. Grundy; L. Puli; N. Layton,"Faculty of IT, Monash University, Melbourne, Australia; Faculty of IT, Monash University, Melbourne, Australia; Rehabilitation, Ageing and Independent Living Research Centre (RAIL), Monash University, Melbourne, Australia; Rehabilitation, Ageing and Independent Living Research Centre (RAIL), Monash University, Melbourne, Australia",2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),21 Aug 2024,2024,,,385,389,"In the rapidly evolving field of assistive technology (AT), ensuring that products meet national and international standards is essential for user safety, efficacy, and accessibility. In this vision paper, we introduce CompliAT, a pioneering framework designed to streamline the compliance process of AT product specifications with these standards through the innovative use of Large Language Models (LLMs). CompliAT ad-dresses three critical tasks: checking terminology consistency, classifying products according to standards, and tracing key product specifications to standard requirements. We tackle the challenge of terminology consistency to ensure that the language used in product specifications aligns with relevant standards, reducing misunderstandings and non-compliance risks. We propose a novel approach for product classification, leveraging a retrieval-augmented generation model to accurately categorize AT products aligning to international standards, despite the sparse availability of training data. Finally, CompliAT implements a traceability and compliance mechanism from key product specifications to standard requirements, ensuring all aspects of an AT product are thoroughly vetted against the standards. By semi-automating these processes, CompliAT aims to significantly reduce the time and effort required for AT product standards compliance and uphold quality and safety standards. We outline our planned implementation and evaluation for CompliAT.",2770-6834,979-8-3503-9551-8,10.1109/REW61692.2024.00060,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628805,Product Specifications;Assistive Technology;Large Language Models (LLMs);Retrieval Augmented Generation (RAG);Regulatory Compliance,Terminology;Large language models;Standards organizations;Training data;Assistive technologies;Safety;Stakeholders,,,,32,IEEE,21 Aug 2024,,,IEEE,IEEE Conferences
CompAι: A Tool for GDPR Completeness Checking of Privacy Policies using Artificial Intelligence,O. A. Cejas; S. Abualhaija; L. Briand,"SnT, University of Luxembourg, Luxembourg; SnT, University of Luxembourg, Luxembourg; Lero SFI Centre for Software Research and University of Limerick, School of EECS, University of Ottawa, Ireland, Canada",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),29 Nov 2024,2024,,,2366,2369,"We introduce CompAι – a tool for checking the completeness of privacy policies against the general data protection regulation (GDPR). CompAι facilitates the analysis of privacy policies to check their compliance to GDPR requirements. Since privacy policies serve as an agreement between a software system and its prospective users, the policy must fully capture such requirements to ensure that collected personal data of individuals (or users) remains protected as specified by the GDPR. For a given privacy policy, CompAι semantically analyzes its textual content against a comprehensive conceptual model which captures all information types that might appear in any policy. Based on this analysis, alongside some input from the end user, CompAι can determine the potential incompleteness violations in the input policy with an accuracy of ≈96%. CompAι generates a detailed report that can be easily reviewed and validated by experts. The source code of CompAι is publicly available on https://figshare.com/articles/online_resource/CompAI/23676069, and a demo of the tool is available on https://youtu.be/zwa_tM3fXHU.CCS CONCEPTS• Software and its engineering → Requirements analysis; • Security and privacy → Privacy protections; • Computing methodologies → Artificial intelligence.",2643-1572,979-8-4007-1248-7,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765022,Requirements Engineering (RE);Regulatory Compliance;Privacy;the General Data Protection Regulation (GDPR);Artificial Intelligence (AI);Natural Language Processing (NLP);Machine Learning (ML),Privacy;Data privacy;Source coding;Software systems;Natural language processing;Security;Requirements engineering;General Data Protection Regulation;Protection;Software engineering,,,,8,,29 Nov 2024,,,IEEE,IEEE Conferences
Developing an AI-Powered NLP Model for Automated Cross-Border Legal Interpretation in Cybercrime Jurisdiction,Q. Omonov; S. Zokirova; R. Kurbaniyozova; D. Allayarov; G. Ravshanova; K. Mamatova,"Tashkent State University of Oriental Studies, Uzbekistan; Fergana State University, Uzbekistan; Department of Pedagogy and Psychology, Urgench State University, Urgench City, Uzbekistan; Department of General Sciences, Mamun University, Khiva, Uzbekistan; ""Tashkent Institute of Irrigation and Agricultural Mechanization Engineers"" National Research University, Tashkent, Uzbekistan; Gulistan State Pedagogical Institute, Uzbekistan",2025 International Conference on Computational Innovations and Engineering Sustainability (ICCIES),17 Jun 2025,2025,,,1,6,"The increasing complexity of cybercrime jurisdiction across multiple legal frameworks necessitates an AI-powered NLP model for automated legal interpretation. Disparities in national laws, language barriers, and evolving cyber threats create challenges in cross-border cybercrime investigations, leading to delays and inefficiencies in legal cooperation. To address these issues, this study proposes the Cross-Border Cybercrime Investigations using AI (CBCI-AI) framework, which leverages Natural Language Processing (NLP), machine learning, and legal ontologies to analyze, interpret, and harmonize legal texts from different jurisdictions. This AI-driven approach ensures accurate translation, contextual interpretation, and automated compliance checks, facilitating real-time legal understanding across multiple legal systems. The CBCI-AI framework enhances international legal cooperation, reduces interpretation inconsistencies, and streamlines cross-border cybercrime investigations. It enables law enforcement agencies, policymakers, and legal professionals to swiftly navigate complex cybercrime cases while ensuring compliance with international treaties. Experimental findings indicate that the CBCI-AI framework significantly improves legal interpretation accuracy, reduces processing time, and enhances jurisdictional clarity. By automating legal text analysis, this method promotes efficiency in global cybercrime investigations and fosters improved collaboration between international law enforcement bodies.",,979-8-3315-3669-5,10.1109/ICCIES63851.2025.11032616,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11032616,AI-powered NLP;cybercrime jurisdiction;cross-border legal interpretation;cybercrime investigations,Translation;Accuracy;Text analysis;Law;Law enforcement;Machine learning;Ontologies;Natural language processing;Real-time systems;Computer crime,,,,15,IEEE,17 Jun 2025,,,IEEE,IEEE Conferences
ODD-diLLMma: Driving Automation System ODD Compliance Checking using LLMs,C. Hildebrandt; T. Woodlief; S. Elbaum,"University of Virginia, United States; University of Virginia, United States; University of Virginia, United States",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,13809,13816,"Although Driving Automation Systems (DASs) are rapidly becoming more advanced and ubiquitous, they are still confined to specific Operational Design Domains (ODDs) over which the system must be trained and validated. Yet, each DAS has a bespoke and often informally defined ODD, which makes it intractable to manually judge whether a dataset satisfies a DAS’s ODD. This results in inadequate data leaking into the training and testing processes, weakening them, and causes large amounts of collected data to go unused given the inability to check their ODD compliance. This presents a dilemma: How do we cost-effectively determine if existing sensor data complies with a DAS’s ODD? To address this challenge, we start by reviewing the ODD specifications of 10 commercial DASs to understand current practices in ODD documentation. Next, we present ODD-diLLMma, an automated method that leverages Large Language Models (LLMs) to analyze existing datasets with respect to the natural language specifications of ODDs. Our evaluation of ODD-diLLMma examines its utility in analyzing inputs from 3 real-world datasets. Our empirical findings show that ODD-diLLMma significantly enhances the efficiency of detecting ODD compliance, showing improvements of up to 147% over a human baseline. Further, our analysis highlights the strengths and limitations of employing LLMs to support ODD-diLLMma, underscoring their potential to effectively address the challenges of ODD compliance detection.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10801369,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801369,,Training;Automation;Large language models;Natural languages;Manuals;Documentation;Intelligent robots;Testing,,2,,40,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences
Extract Compliance-Related Evidence Using Machine Learning,H. T. Alattas; F. M. Almassary; N. R. AlMahasheer; R. M. Alammari; H. A. Alswaidan; N. M. Nagy; M. A. Almoqbel; S. A. Alharthi,"dept. Networks and Communications, Imam Abdulrhman bin Faisal Unversity, Dammam, Saudi Arabia; dept. Networks and Communications, Imam Abdulrhman bin Faisal Unversity, Dammam, Saudi Arabia; dept. Networks and Communications, Imam Abdulrhman bin Faisal Unversity, Dammam, Saudi Arabia; dept. Networks and Communications, Imam Abdulrhman bin Faisal Unversity, Dammam, Saudi Arabia; dept. Networks and Communications, Imam Abdulrhman bin Faisal Unversity, Dammam, Saudi Arabia; dept. Networks and Communications, Imam Abdulrhman bin Faisal Unversity, Dammam, Saudi Arabia; dept. Networks and Communications, Imam Abdulrhman bin Faisal Unversity, Dammam, Saudi Arabia; dept. Networks and Communications, Imam Abdulrhman bin Faisal Unversity, Dammam, Saudi Arabia",2022 14th International Conference on Computational Intelligence and Communication Networks (CICN),13 Jan 2023,2022,,,537,542,"This paper discusses the intersection between cybersecurity and machine learning. Machine learning is able to read documents and automatically extract, evaluate, and check if they meet the expected evidence value based on trained algorithms. Cybersecurity compliance assessment requires massive documents check and image reviews and is often assessed by concerned parties manually. Automating the compliance assessment process using machine learning has huge benefits in the regards of time, speed as well as costs. The paper's objective is to analyze and assess the procedures of previously proposed models, datasets, and their results within the specified scope. The major aim of this research paper is to summarize the current compliance automation algorithms using machine learning.",2472-7555,978-1-6654-8771-9,10.1109/CICN56167.2022.10008324,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10008324,compliance;assessment;machine learning,Training;Machine learning algorithms;Costs;Computational modeling;Machine learning;Information retrieval;Regulation,,1,,23,IEEE,13 Jan 2023,,,IEEE,IEEE Conferences
