"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Hassan F.U.; Le T.","Hassan, Fahad Ul (57211577108); Le, Tuyen (57187647600)","57211577108; 57187647600","Ontology-Based Approach to Risk-Factor Identification to Support the Management of Provisions in Bridge Design","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139853960&doi=10.1061%2f%28ASCE%29LA.1943-4170.0000574&partnerID=40&md5=e5f5cf756be061ec0e993191f017d008","Requirement management is crucial in the design stage of infrastructure project delivery to ensure the designed facility satisfies the owner expectations and avoids any costly redesign, rework, and disputes. The requirements are primarily described in design codes and standards. The relevant requirements from codes are transformed into a set of in computer-readable rules required for computer-aided design and compliance verification. Prior to the construction of rules, the requirements in codes must be converted into an organized, structured format in terms of risks to support easy retrieval of the relevant applicable requirements. However, the unavailability of risk information in the requirement text makes it challenging for a designer to extract the relevant requirements of specific risks to support design tasks, including compliance checking. The manual process of requirement classification according to risk factors is time-consuming, laborious, and error-prone because the codes are mostly voluminous, including thousands of specifications. Much less attention has been paid to develop an automated framework to organize the requirements in terms of risks addressed in them. To address this need, this study has attempted to develop an ontology-based framework to identify relevant risk factors addressed in bridge design requirements to support requirement management. The nine risk factors of bridge engineering used in this study included flood, earthquake, fire, snowfall, wind, temperature, overloading, vessel collision, and blast loading. A risk ontology was developed to represent the conceptualized semantic knowledge associated with each of the nine risk factors. The algorithm was validated on a human-annotated requirement dataset based on the AASHTO bridge design specifications and state design manuals. The developed model yielded a Spearman, Kendall tau, and Pearson correlation coefficient of 0.7223, 0.6021, and 0.7222, respectively. The proposed model is expected to improve specifications retrieval for rules construction, thereby enabling ease of requirement classification for the design process.  © 2022 American Society of Civil Engineers.","Bridge design; Deep learning; Design codes; Natural language processing; Ontology; Requirements; Text classification; Text mining","Classification (of information); Compliance control; Computer aided design; Correlation methods; Deep learning; Natural language processing systems; Risks; Semantics; Specifications; Text processing; Bridge design; Deep learning; Design codes; Language processing; Natural language processing; Natural languages; Ontology's; Requirement; Text classification; Text-mining; Ontology"
"Akaichi I.; Flouris G.; Fundulaki I.; Kirrane S.","Akaichi, Ines (57224405588); Flouris, Giorgos (13404954600); Fundulaki, Irini (6506520680); Kirrane, Sabrina (53979829800)","57224405588; 13404954600; 6506520680; 53979829800","GUCON: A Generic Graph Pattern Based Policy Framework for Usage Control Enforcement","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175950018&doi=10.1007%2f978-3-031-45072-3_3&partnerID=40&md5=a5fedd0b08bb8911784c08ebb61128a5","Robust Usage Control (UC) mechanisms are necessary to protect sensitive data and resources, especially when these are distributed across multiple nodes or users. Existing solutions have limitations in expressing and enforcing usage control policies due to difficulties in capturing complex requirements and the lack of formal semantics necessary for automated compliance checking. To address these challenges, we propose GUCON, a generic policy framework that allows for the expression of and reasoning over granular UC policies. This is achieved by leveraging the expressiveness and semantics of graph pattern expressions, as well as the flexibility of deontic concepts. Additionally, GUCON incorporates algorithms for conflict detection, resolution, compliance and requirements checking, ensuring active policy enforcement. We demonstrate the effectiveness of our framework by proposing instantiations using SHACL, OWL and ODRL. We show how instantiations provide a bridge between abstract formalism and concrete implementations, thus allowing existing reasoners and implementations to be leveraged. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Deontic Rules; Enforcement; Policy; Reasoning; Usage Control","Compliance control; Formal methods; Semantics; Control mechanism; Control policy; Deontic; Deontic rule; Enforcement; Graph patterns; Policy framework; Reasoning; Sensitive datas; Usage control; Sensitive data"
"Schuk V.; Pombo Jiménez M.E.; Martin U.","Schuk, V. (57211624643); Pombo Jiménez, M.E. (59570592700); Martin, U. (7102008474)","57211624643; 59570592700; 7102008474","Technical specifications to meet the requirements of an Automatic Code Compliance Checking tool and current developments in infrastructure construction","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138994306&doi=10.1016%2fj.rineng.2022.100650&partnerID=40&md5=5f2a284704c0d1ecc9868e32a20a4f85","Building Information Modeling has revolutionized the construction industry by, for example, contributing to the automation of different activities related to the design, planning, and construction of civil works. Tasks such as the review of construction-related codes and regulations, which today still require a great deal of human effort, have begun to be automated through the development of digital applications and tools, thus resulting in the BIM use case Automated Code Compliance Checking (ACCC). So far, however, the research and development around this topic have been focused mainly on the building area, leaving a gap for the infrastructure sector. With this article, the authors intend to contribute to closing this gap, by providing an overview of the current state of development of ACCC tools in infrastructure construction. This overview supports the identification of challenges and requirements for the development of such tools, which are also discussed in detail in the current work. Finally, the author's considerations regarding the formalization and structuring of the engineering knowledge and infrastructure data required for the development of ACCC tools, as well as its mapping in a graph database, which allows access to all the necessary and relevant information for the code checking process, are presented. The result of the research carried out is the detailed structuring of the regulations and their rules from infrastructure construction and the possible modeling implementation in a graph database. In practice, this should help the leading software manufacturers in cooperation with infrastructure engineers, to develop a full-fledged ACCC tool. © 2022 The Authors","Automatic Code Compliance Checking; BIM; Classification of regulation rules; Formalization of engineering knowledge; Graph-based data modeling; Structured infrastructure data","Architectural design; Automation; Compliance control; Construction industry; Graphic methods; Automatic code compliance checking; Automatic codes; BIM; Classification of regulation rule; Code compliance; Compliance checking; Engineering knowledge; Formalisation; Formalization of engineering knowledge; Graph-based; Graph-based data modeling; Structured infrastructure data; Graph Databases"
"Karmakar A.; Patel C.; Kumar Delhi V.S.","Karmakar, Ankan (57225184134); Patel, Chintan (59235455200); Kumar Delhi, Venkata Santosh (55358485100)","57225184134; 59235455200; 55358485100","From Unstructured Data to Knowledge Graphs: An Application for Compliance Checking Problem","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199652264&doi=10.22260%2fISARC2024%2f0112&partnerID=40&md5=7feaa09bffdd81b1709a4cf4d3cd9b08","The rule requirements of a building code are frequently violated to create financially viable designs. These deviations are subjected to condonation by the municipal commissioner if recognizable hardships are faced. The historical concession applications for similar cases are stored in an unstructured manner, creating a barrier to knowledge transfer. The subjective statements given by applicants are composed of logical structure, language, and embedded knowledge that requires years of experience from the domain expert to decipher. A knowledge graph (KG) representation of the problem can capture concepts and represent them visually, which is easy for novice stakeholders to understand. A Large Language Model (LLM)-based method is used in this study for ontology extraction in the form of concepts and relationships. Also, unstructured input preprocessing and entity disambiguation were performed to evaluate the applicability of KG in this domain. The performance of the proposed method was checked qualitatively in a case study from real-life project examples. The limitations and scopes for improvements were also highlighted. The outcome of this study indicates KG as a potential candidate for knowledge generation from the unstructured archival data of compliance checking. The target audience for this application can be the new architects, reviewers, and programmers working on developing the end-to-end automated compliance checking systems. Finally, applying these Artificial Intelligence (AI)-based knowledge transfer mechanisms can ignite future research on automated concession applications and approvals, laying a path to the digital transformation of the industry. © 2024 ISARC. All Rights Reserved.","Artificial Intelligence; Code Compliance Checking; Knowledge Graphs","Compliance control; Knowledge management; Code compliance; Code compliance checking; Compliance checking; Domain experts; Graph representation; Knowledge graphs; Knowledge transfer; Logical structure; Similar case; Unstructured data; Knowledge graph"
"Zhang J.","Zhang, Jiansong (55358453700)","55358453700","How Can ChatGPT Help in Automated Building Code Compliance Checking?","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172906424&doi=10.22260%2fISARC2023%2f0011&partnerID=40&md5=9ed3abad893b220316ecb3b68b5872bb","One main challenge in the full automation of building code compliance checking is in the extraction and transformation of building code requirements into computable representations. Semantic rule-based approach has been taken mainly due to its expected better performance than machine learning-based approach on this particular task. With the recent advancement in deep learning AI, particularly the launch of ChatGPT by OpenAI, there is a potential for this landscape to be shifted given the highly regarded capabilities of ChatGPT in processing (i.e., understanding and generating) natural language texts and computer codes. In this paper, the author preliminarily explored the use of ChatGPT in converting (i.e., extracting and transforming) building code requirements into computer codes, and compared it with the results from cutting-edge semantic rule-based approach. It was found that comparing to the semantic rule-based approach, the conversion results from ChatGPT still has limitations, but there is a great potential for it to help speed up the implementation and scale-up of automated building code compliance checking systems. © ISARC 2023. All rights reserved.","AI; Automated building code compliance checking; ChatGPT; Natural language processing; SNACC","Automation; Buildings; Codes (symbols); Compliance control; Deep learning; Natural language processing systems; Automated building code compliance checking; Automated buildings; Building Code Compliance Checking; ChatGPT; Language processing; Natural language processing; Natural languages; Rule-based approach; Semantic rules; SNACC; Semantics"
"Zhu X.; Li H.; Xiong G.; Song H.","Zhu, X. (57804541600); Li, H. (35194314500); Xiong, G. (58149248800); Song, H. (59372933500)","57804541600; 35194314500; 58149248800; 59372933500","Automated Qualitative Rule Extraction Based on Bidirectional Long Short-Term Memory Model","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170428076&doi=10.7146%2faul.455.c213&partnerID=40&md5=dcb890258865458b5f57a10fe616d580","Digital transformation in the construction industry demands smart compliance checking against relevant standards to ensure high-quality project delivery. Due to the diverse characteristics, the qualitative rule extraction for standards remains labour intensive. Therefore, an efficient and automated rule extraction method is pivotal. The artificial neural network has been widely used for textual feature extraction in recent years. In this paper, the authors construct an automated rule extractor based on a bidirectional Long short-term memory (LSTM) neural network model, which can automate the extraction of qualitativerules in textual standards and achieves an accuracy of 96.5% in actual tests. The automated rule extractor can greatly improve the efficiency of converting unstructured textual rules to structured data. This approach can establish the basis for knowledge mining of qualitative standards as well as the development of large-scale compliance checking systems. © 2022 29th EG-ICE International Workshop on Intelligent Computing in Engineering. All Rights Reserved.","","Compliance checking; Digital transformation; High quality; Labour-intensive; Memory modeling; Neural-networks; Project delivery; Rule extraction method; Rules extraction; Short term memory; Long short-term memory"
"Kim D.; Kim I.","Kim, Dongyoung (59345828200); Kim, Inhan (7404143715)","59345828200; 7404143715","Developing a Preliminary Framework for BIM-Enabled Code Checking of Refuge Area in Korean Law","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205112788&doi=10.1007%2f978-3-031-71013-1_4&partnerID=40&md5=8ed4b3da44bdaff6116340905ee63915","Building Information Modeling (BIM)-based code checking stands out as a promising area that seeks to automate the translation of building regulations into programmable criteria. Nonetheless, the translation process still faces significant challenges of integrating natural language regulations into a form that computers can process. This gap necessitates manual data entry by users, introducing a bottleneck that undermines the efficiency and user experience of BIM-based code checking systems. This study aimed to develop an algorithm using BIM to automatically identify the presence or absence of refuge areas in high-rise buildings. In order to do so, the author analyzed the hierarchy of building acts to identify the property information that is essential for deter-mining refuge areas. Using property information such as space classification codes, non-combustible materials, fire-resistant structures, special escape stairs, and emergency elevators, a rule-based algorithm was proposed to assess code compliance. The algorithm enables the automatic identification and assessment of refuge areas in BIM models, opening up the possibility of automating regulatory review during the building permit stage. These results show how BIM technology can be used to significantly improve the accuracy of code checking, reducing the workload and potential for human error during the building permit stage. Therefore, this study shows that BIM-based code checking will be a key contribution to improving the overall quality of construction projects. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Automated Rule Checking; BIM (Building Information Modelling); Building Code; Building Permit; Code Compliance Checking","Building codes; Concretes; Elevator codes; Model buildings; Mortar; Reviews; Automated rule checking; Building information modeling; Building Information Modelling; Building permits; Code compliance; Code compliance checking; Compliance checking; Model-based OPC; Property; Refuge areas; Tall buildings"
"Makisha E.","Makisha, Elena (57212139102)","57212139102","Features of Regulation Document Translation into a Machine-Readable Format within the Verification of Building Information Models","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163580772&doi=10.3390%2fcivileng4020022&partnerID=40&md5=847cd796c75e4f38a6be03663b822442","The transition to a design based on information modeling has paved the way for automated verification of project documentation. The most complicated type of design documentation check is the assessment of compliance with the requirements of regulatory documents since its automation requires the translation of statements written in natural language into a machine-readable format. At the same time, building codes and regulations should be suitable for translation into machine-readable form. However, a large number of provisions presented in regulatory documents cannot be subjected to automated verification due to their specific features. This study aimed to analyze the suitability of the regulatory provisions to be translated into a machine-readable format, identify limiting factors, and establish recommendations to avoid these factors. This study was conducted based on the example of the code of rules for “Residential Apartment Buildings” (SP 54.13330.2016) applied in the Russian Federation. During the research, a previously developed algorithm that generates rules for checking building information models and is based on the RuleML language was applied to the provisions of the standard above to identify statements that can and cannot be translated. As a result, 356 statements were received, which were divided into five groups: requirements suitable for translation into a machine-readable format, requirements containing links to other documents (regulatory and not only), requirements of uncertain interpretation, requirements that cannot be verified based on an information model, and informative requirements. For the first group of statements, there were examples given for both the statements and the rules derived from them. For the other four groups, examples of statements were supplied with factors preventing the translation of requirements into a machine-readable format and solutions on how to avoid these factors. An analysis of the distribution of statements (related to the above-mentioned groups) by sections of the standard showed that a significant part of the requirements is suitable for translation into a machine-readable format. The possible obstacles to translation can be overcome by attracting experts and using programming tools. The paper also makes recommendations on how to arrange new standard structures. © 2023 by the author.","BIM; building codes; design assessment; design guides; logic rule; rule checking",""
"Karmakar A.; Delhi V.S.K.","Karmakar, Ankan (57225184134); Delhi, Venkata Santosh Kumar (55358485100)","57225184134; 55358485100","Requirements of Machine Learning and Semantic Enrichment for BIM-Based Automated Code Compliance Checking: A Focus Group Study","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174689499&doi=10.1007%2f978-3-031-35399-4_6&partnerID=40&md5=61b33091f507589b95f7d401ee192511","Several regulations, standards, and requirements govern the lifecycle of the built environment. Such instances include legislations, government development control rules, environmental compliances, project and contractual requirements, and performance standards to be followed during construction. Compliance checking is a complex task that is often conducted manually, making it a resource-intensive, error-prone, and time-consuming affair. Past researchers have worked on methods and processes of automated compliance checking systems (ACCS); however, there has been a negligible adaptation in the industry. To this end, this study tries to recognize the reasons for the gap in the implementation of the pre-construction permit compliance systems in the Indian construction industry. The study understands the reasons from the end-user’s perspective through the means of a focus group study. Key findings indicate manual pre-processing of data is a significant hurdle in Building Information Models (BIM) for application in ACCS. ACCS applications developed are restricted in their area of usage due to the limitation in applicability beyond explicit building code clauses. Rule-based validation of regulation requires enriched structured data, which is generally absent from the models developed by architects in the design phase. The study indicates the necessity of automated data pre-processing step that includes intelligent model filling suggestions and semantic enrichment to increase the adoption of ACCS. This study points out that automatic semantic enrichment (SE) can be achieved by applying machine learning (ML). Areas of application of SE in ACCS are identified in the study, which can enhance the industry’s user experience and adaptation of ACCS. © 2024, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Automated Code Compliance Checking; Building Information Modeling; Focus Group Study; Machine Learning; Semantic Enrichment","Architectural design; Automation; Compliance control; Construction industry; Data handling; Information theory; Life cycle; Semantics; Automated code; Automated code compliance checking; Automated compliance checking; Building Information Modelling; Code compliance; Compliance checking; Focus group studies; Machine-learning; Model-based OPC; Semantic enrichment; Machine learning"
"Al-Maabreh O.; Hoque M.; Lee Y.; Lee K.; Ghannad P.","Al-Maabreh, Osama (58864546200); Hoque, Misbah (57804705600); Lee, Yongcheol (56402166700); Lee, Kisung (55759077400); Ghannad, Pedram (57202537869)","58864546200; 57804705600; 56402166700; 55759077400; 57202537869","Revealing Inherent Rules and Validation Frameworks for Evaluating BIM Data Regarding Disaster- and Resilience-Related Regulations","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184085250&doi=10.1061%2f9780784485248.127&partnerID=40&md5=9560bd29aadf862504414ea655669317","Multi-layered and cross-referred disaster resilience regulations and building codes have been a critical obstacle to holistically evaluating long-term resilience of a residential building according to various disaster scenarios. This challenge is caused and worsen by the primary knowledge gap, which is the lack of integrated and executable regulatory rules and specifications related to disaster resilience. To tackle this issue, the authors have identified fundamental resilience rules and built a disaster resilience validation framework that incorporates formalized, but implementable resilience requirements. To accomplish this goal, we thoroughly investigated multi-layered flood-related regulations and revealed their inherent rules for validating the disaster resilience of a single-family house. We identified 42 resilience-related rules and developed them in an implementable format using the eXtensible Markup Language (XML) schema for broadly disseminating them to related domains. The rules include the flood resilience features dealing with lowest floor elevation and freeboard requirements, openings of building walls, breakaway walls for elevated buildings, and obstruction-free buildings in coastal areas. The revealed rules play a pivotal role as a foundational baseline to establish a web-based automated validation system that can assist the public to evaluate building information modelling data. The proposed approach is expected to help logically assess the resilience of buildings and consistently share their updated regulations. © ASCE 2023.All rights reserved.","Automated Rule Checking; BIM; Code Compliance Checking; Disaster Resilience; Flood Disaster Rules","Architectural design; Building codes; Codes (symbols); Compliance control; Disasters; Hypertext systems; Walls (structural partitions); XML; Automated rule checking; BIM; Code compliance; Code compliance checking; Compliance checking; Disaster resiliences; Flood disaster; Flood disaster rule; Multi-layered; Residential building; Floods"
