"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Wu Z.; Wang Z.; Cheng J.C.P.; Kwok H.H.L.","Wu, Zhaoji (57201024451); Wang, Zhe (56176432100); Cheng, Jack C.P. (57204665849); Kwok, Helen H.L. (57209976768)","57201024451; 56176432100; 57204665849; 57209976768","A knowledge-informed optimization framework for performance-based generative design of sustainable buildings","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192489635&doi=10.1016%2fj.apenergy.2024.123318&partnerID=40&md5=7ce93ba6ba412513ce930f87f8fa75d2","Long computational time poses a significant obstacle to the practical utilization of performance-based generative design (PGD) in the early design stage. This study proposes a knowledge-informed PGD optimization framework for sustainable buildings, aimed to mitigate the time issue by integrating a knowledge graph (KG) into PGD. The first component of the framework is a PGD-KG schema that represents the topological relations within PGD. A generation method is then proposed for automatically developing PGD-KG models from parametric design models that are enhanced with semantic information. Furthermore, cross-domain reasoning algorithms are developed to enable automated compliance checking and performance evaluation based on regulatory requirements and sustainable design strategies, respectively. The proposed framework is applied to a design project focused on optimizing module layout to minimize cooling energy and maximize daylighting. The results demonstrate that the proposed framework can generate a satisfactory number of Pareto-optimal solutions while reducing computational time by 73.25% compared with the general optimization framework. © 2024 Elsevier Ltd","Building performance; Generative design; Knowledge graph; Optimization; Sustainable building","Compliance control; Intelligent buildings; Pareto principle; Regulatory compliance; Semantics; Sustainable development; Building performance; Computational time; Design knowledge; Early design stages; Generative design; Knowledge graphs; Optimisations; Optimization framework; Performance based; Sustainable building; compliance; design method; knowledge; optimization; performance assessment; sustainability; Architectural design"
"Schuk V.; Pombo Jiménez M.E.; Martin U.","Schuk, V. (57211624643); Pombo Jiménez, M.E. (59570592700); Martin, U. (7102008474)","57211624643; 59570592700; 7102008474","Technical specifications to meet the requirements of an Automatic Code Compliance Checking tool and current developments in infrastructure construction","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138994306&doi=10.1016%2fj.rineng.2022.100650&partnerID=40&md5=5f2a284704c0d1ecc9868e32a20a4f85","Building Information Modeling has revolutionized the construction industry by, for example, contributing to the automation of different activities related to the design, planning, and construction of civil works. Tasks such as the review of construction-related codes and regulations, which today still require a great deal of human effort, have begun to be automated through the development of digital applications and tools, thus resulting in the BIM use case Automated Code Compliance Checking (ACCC). So far, however, the research and development around this topic have been focused mainly on the building area, leaving a gap for the infrastructure sector. With this article, the authors intend to contribute to closing this gap, by providing an overview of the current state of development of ACCC tools in infrastructure construction. This overview supports the identification of challenges and requirements for the development of such tools, which are also discussed in detail in the current work. Finally, the author's considerations regarding the formalization and structuring of the engineering knowledge and infrastructure data required for the development of ACCC tools, as well as its mapping in a graph database, which allows access to all the necessary and relevant information for the code checking process, are presented. The result of the research carried out is the detailed structuring of the regulations and their rules from infrastructure construction and the possible modeling implementation in a graph database. In practice, this should help the leading software manufacturers in cooperation with infrastructure engineers, to develop a full-fledged ACCC tool. © 2022 The Authors","Automatic Code Compliance Checking; BIM; Classification of regulation rules; Formalization of engineering knowledge; Graph-based data modeling; Structured infrastructure data","Architectural design; Automation; Compliance control; Construction industry; Graphic methods; Automatic code compliance checking; Automatic codes; BIM; Classification of regulation rule; Code compliance; Compliance checking; Engineering knowledge; Formalisation; Formalization of engineering knowledge; Graph-based; Graph-based data modeling; Structured infrastructure data; Graph Databases"
"Karmakar A.; Patel C.; Kumar Delhi V.S.","Karmakar, Ankan (57225184134); Patel, Chintan (59235455200); Kumar Delhi, Venkata Santosh (55358485100)","57225184134; 59235455200; 55358485100","From Unstructured Data to Knowledge Graphs: An Application for Compliance Checking Problem","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199652264&doi=10.22260%2fISARC2024%2f0112&partnerID=40&md5=7feaa09bffdd81b1709a4cf4d3cd9b08","The rule requirements of a building code are frequently violated to create financially viable designs. These deviations are subjected to condonation by the municipal commissioner if recognizable hardships are faced. The historical concession applications for similar cases are stored in an unstructured manner, creating a barrier to knowledge transfer. The subjective statements given by applicants are composed of logical structure, language, and embedded knowledge that requires years of experience from the domain expert to decipher. A knowledge graph (KG) representation of the problem can capture concepts and represent them visually, which is easy for novice stakeholders to understand. A Large Language Model (LLM)-based method is used in this study for ontology extraction in the form of concepts and relationships. Also, unstructured input preprocessing and entity disambiguation were performed to evaluate the applicability of KG in this domain. The performance of the proposed method was checked qualitatively in a case study from real-life project examples. The limitations and scopes for improvements were also highlighted. The outcome of this study indicates KG as a potential candidate for knowledge generation from the unstructured archival data of compliance checking. The target audience for this application can be the new architects, reviewers, and programmers working on developing the end-to-end automated compliance checking systems. Finally, applying these Artificial Intelligence (AI)-based knowledge transfer mechanisms can ignite future research on automated concession applications and approvals, laying a path to the digital transformation of the industry. © 2024 ISARC. All Rights Reserved.","Artificial Intelligence; Code Compliance Checking; Knowledge Graphs","Compliance control; Knowledge management; Code compliance; Code compliance checking; Compliance checking; Domain experts; Graph representation; Knowledge graphs; Knowledge transfer; Logical structure; Similar case; Unstructured data; Knowledge graph"
"Wu J.; Nousias S.; Borrmann A.","Wu, Jiabin (58292224700); Nousias, Stavros (57191051568); Borrmann, André (14824718700)","58292224700; 57191051568; 14824718700","Design Healing framework for automated code compliance","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216114158&doi=10.1016%2fj.autcon.2025.106004&partnerID=40&md5=2956eaf5f7fa3a2dfe39ff43135abfa9","Automated Compliance Checking (ACC) techniques have advanced significantly, enabling designers to evaluate building designs against codes. However, architectural engineers have to improve the design by manually implementing the ACC results, which is laborious, iterative, and requires domain expertise. To address this challenge, this paper introduces a Design Healing framework that adapts the original design into code-compliant alternatives. By integrating design data and ACC results, the framework identifies critical non-compliant components through a graph-based topological algorithm and sensitivity analysis. A prior knowledge-informed design space exploration is conducted to find valid alternatives and quantify modifications using weighted Euclidean distances, allowing designers to select options closely aligned with the initial design. Multi-scenario experiments demonstrate the framework's effectiveness in resolving architectural spatial design violations. By automating post-checking design adaptation, the framework reduces manual revisions and provides an efficient tool for achieving compliance while accommodating varying design constraints. This paper establishes a basis for advancing designer-centered automated design correction methods based on ACC techniques. © 2025 The Authors","Automated compliance checking (ACC); Building information modeling (BIM); Design space exploration (DSE); Graph theory; Sensitivity analysis (SA)","Architectural design; Space applications; Automated code; Automated compliance checking; Building information modeling; Building Information Modelling; Code compliance; Design space exploration; Sensitivity analyze; Sensitivity analyzes; Sensitivity analysis"
"Peng J.; Liu X.","Peng, Junlong (57224322063); Liu, Xiangjun (57955382300)","57224322063; 57955382300","Automated code compliance checking research based on BIM and knowledge graph","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158958863&doi=10.1038%2fs41598-023-34342-1&partnerID=40&md5=8d38a8a1b0f4d46a0b0f7bfe0faed291","Automated code compliance checking plays an important role in moving the construction industry forward. While traditional drawing review relies on the identification of industry experts, the purpose of this study is to realize automatic code review by using BIM technology and knowledge graph technology. The method is based on knowledge graph to transform the specification provisions involved in the review of drawings into a computer-recognizable structured language using natural language processing technology to form a human–machine-readable knowledge graph pattern. For the review of BIM models, the BIM model information is exported and the global resource description framework of the building model is obtained in protégé, and the review report is finally obtained after mapping rules and review rules. Finally, the feasibility of the method is verified by an example. This study can effectively solve the problems of “manual dependency” and “inefficiency” in the process of review. © 2023, The Author(s).","",""
"Tang X.; Xie Y.-S.; Zhang C.; Wang B.; Zhang H.","Tang, Xiang (58248818600); Xie, Yong-Shu (59506346500); Zhang, Chi (56097556900); Wang, Bo (57219239195); Zhang, Hong (59881637900)","58248818600; 59506346500; 56097556900; 57219239195; 59881637900","A Method for Automated Compliance Check for 3D Design Result Based on Knowledge Graph; [基于知识图谱的三维设计成果自动合规性检查方法]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214501396&doi=10.3969%2fj.issn.1002-0268.2023.11.009&partnerID=40&md5=222659a507d989a780811df46c69382d","In order to ensure that the building information model (BIM) of highway engineering conforms to the requirement of design specifications, and to improve the automation level of highway design result compliance check, the application of the compliance check in the engineering field is relied on, based on the knowledge graph technology, the framework of automated compliance check system for highway 3D design result is proposed. First, based on the highway design specifications, through the work of data pre-processing, information extraction and graph generation, the seven-step method is used to explore the method for road design knowledge graph construction. Then, based on the IFC data storage standard of BIM technical standard, the method of BIM data classification and pertinence extraction for road design knowledge graph network are studied. Finally, by studying the knowledge structure of road design knowledge graph and the structure of BIM data, the mapping relationship between the compliance check rules and the model data is established, the matching algorithm of BIM and compliance check rules for highway engineering is proposed. At the same time, through the combination of natural language processing (NLP) technology and semantic matching, the practical method of automated question answering in highway design is further explored on the basis of highway design knowledge atlas. Based on the above theoretical framework, an automated compliance check system for highway 3D design result is designed and developed. The feasibility and accuracy of the system are verified by a practical case. The result shows that the automated compliance check system of highway 3D design result can provide the method reference for the compliance check of highway 3D design result, it is of great significance to improve the quality, efficiency and accuracy of the highway design result compliance check, and it also puts forward some thoughts on the follow-up application challenge, renewal and maintenance of the system in China. © 2023 Editorial Department of Journal of Highway and Transportation Research and Development. All rights reserved.","automated checking method; compliance check; highway 3D design; knowledge graph; road engineering",""
"Kruiper R.; Konstas I.; Gray A.J.G.; Sadeghineko F.; Watson R.; Kumar B.","Kruiper, Ruben (57190286321); Konstas, Ioannis (35229595400); Gray, Alasdair J.G. (25521946600); Sadeghineko, Farhad (57202646867); Watson, Richard (57310432300); Kumar, Bimal (7401973035)","57190286321; 35229595400; 25521946600; 57202646867; 57310432300; 7401973035","Taking stock: a Linked Data inventory of Compliance Checking terms derived from Building Regulations","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184371677&partnerID=40&md5=a796baf9b4b706cfd10cb858b56cf9a9","Compliance Checking (CC) would be a lot easier if we could automatically map between (1) terms that occur in building regulations and (2) elements of buildings and building products. However, the terminology used in the regulations is vastly different from the terminology found in Building Information Models (BIM). We are therefore forced to somehow shoehorn the vocabulary of regulatory terms into a set of classes that may well be several orders of magnitude smaller. This paper aims to reduce the gap between terms found verbatim in the regulations, and the classes that exist in Linked Data Vocabularies in Architecture and Construction. We explore the automated extraction of domain terminology from building regulations, and interlink the resulting terms with existing controlled vocabularies like Uniclass. The resulting Knowledge Graph (KG) can be used to suggest relevant and related domain terminology, which improves collecting the inventory of Linked Data terms required for CC. © 2023 Copyright for this paper by its authors.","Automated Compliance Checking; Knowledge Graph; Linked Data; Natural Language Processing","Architectural design; Compliance control; Data handling; Knowledge graph; Linked data; Natural language processing systems; Automated compliance checking; Building products; Building regulations; Compliance checking; In-buildings; Knowledge graphs; Language processing; Linked datum; Natural language processing; Natural languages; Terminology"
"Xiang Y.; Lin P.; Luo Y.; Ning Z.; Liu Y.; Liu K.","Xiang, Yunfei (57221399071); Lin, Peng (36189833900); Luo, Yiming (59522263500); Ning, Zeyu (57220767473); Liu, Yuanguang (59306355800); Liu, Ke (57194211991)","57221399071; 36189833900; 59522263500; 57220767473; 59306355800; 57194211991","Integrating Knowledge Graph and Large Language Model for Safety Management Regulatory Texts","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215576892&doi=10.1007%2f978-3-031-81673-4_76&partnerID=40&md5=70328c4bbb8b0af69507081b025a8ca6","The safety management in the infrastructure industry is governed by a variety of regulatory documents and management codes. However, the current regulation compliance checking often relies on manual or exhaustive matching methods, which can result in issues such as inconsistent rating scales, artificial manipulation, and time-consuming procedures. Therefore, this study presents a novel approach that integrates knowledge graph (KG) and large language model (LLM) to facilitate knowledge mining and application in safety management regulatory texts. First, a semantic expression framework is established to represent the domain knowledge of regulatory texts. Subsequently, considering the requirements of rule interpretation, knowledge extraction is carried out on the regulatory texts to obtain KG. Then, based on the prompt-tuning, the KG is leveraged to enhance LLM’s inference of regulatory documents and management codes. Finally, a safety management workflow based on automatic rule interpretation is proposed and successfully applied to a hydropower project. The results demonstrate that this method can effectively enhance the interpretability of safety management codes and reduce reliance on domain experts. This study substantiates the effectiveness of integrating KG and LLM for knowledge mining and application. This work can provide a practical reference for enhancing automated and intelligent safety management in the infrastructure industry. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Automated compliance checking; Knowledge graph; Large language model; Safety management","Hydroelectric power plants; Inference engines; Knowledge graph; Automated compliance checking; Infrastructure industry; Knowledge application; Knowledge graphs; Knowledge mining; Language model; Large language model; Regulatory documents; Regulatory management; Safety management; Semantics"
"Zhang R.; El-Gohary N.","Zhang, Ruichuan (57202535962); El-Gohary, Nora (14519146500)","57202535962; 14519146500","Transformer-based approach for automated context-aware IFC-regulation semantic information alignment","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141525848&doi=10.1016%2fj.autcon.2022.104540&partnerID=40&md5=db2768b7e96efcf09ae7c6ad09892ac8","One of the main challenges of automated compliance checking systems is aligning the semantics of the building information models (BIMs), in Industry Foundation Classes (IFC) format, and the semantics of the regulations, in natural language, to allow for checking the compliance of the BIM with the regulations. Existing information alignment methods typically require intensive manual effort and their ability to deal with the complex regulatory concepts in the regulations is limited. To address this gap, this paper proposes a deep learning method for IFC-regulation semantic information alignment. The proposed method uses a relation classification model to relate and align the IFC and regulatory concepts. The method uses a transformer-based model and leverages the definitions of the concepts and an IFC knowledge graph to provide additional contextual information and knowledge for improved classification and alignment. The proposed method was evaluated on IFC concepts from IFC 4 and regulatory concepts from different building codes and standards. The experimental results showed good information alignment performance. © 2022 Elsevier B.V.","Automated code checking; Building codes; Building information modeling; Deep learning; Industry foundation classes; Information alignment; Transformers","Alignment; Architectural design; Automation; Classification (of information); Compliance control; Deep learning; Learning systems; Regulatory compliance; Automated code; Automated code checking; Automated compliance checking; Building Information Modelling; Context-Aware; Deep learning; Industry foundation class; Information alignment; Semantics Information; Transformer; Semantics"
"Nuyts E.; Werbrouck J.; Verstraeten R.; Deprez L.","Nuyts, Emma (58869876000); Werbrouck, Jeroen (57209794118); Verstraeten, Ruben (36661505300); Deprez, Louise (58574384700)","58869876000; 57209794118; 36661505300; 58574384700","Validation of building models against legislation using SHACL","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184358757&partnerID=40&md5=d8c0df79316d972c2e8a3a145199525e","Building information is commonly available in a machine-readable format, whereas normative knowledge is represented in a human-readable way, making human intervention mandatory. A solution for this manual checking procedure is Automated Compliance Checking (ACC). Commercial systems rely on hard-coded requirements, which are almost as error-prone and time-consuming as manually checking the compliance, or focus solely on one specific software package. Hence, this research focuses on Semantic Web technologies to enable a faster and more transparent rule-checking process. The requirements from the legislation will be defined using the Shapes Constraint Language (SHACL). This language facilitates defining constraints in the Terse RDF Triple Language (Turtle), making one set of constraints both human- and machine-readable. Additionally, SHACL enables compliance checking to be combined with quality constraints, ensuring that all necessary data is present in the building project. The proposed methodology is applicable to any type of prescriptive building legislation, provided that the data is defined in the building graph. © 2023 Copyright for this paper by its authors.","Automated Compliance Checking; Linked Data; SHACL","Buildings; Compliance control; Laws and legislation; Resource Description Framework (RDF); Automated compliance checking; Building model; Constraint language; Human intervention; Human-readable; Linked datum; Machine-readable format; Manual checking; Shape constraint language; Shape constraints; Linked data"
