"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"König L.; Heinzemann C.; Griggio A.; Klauck M.; Cimatti A.; Henze F.; Tonetta S.; Küperkoch S.; Fassbender D.; Hanselmann M.","König, Lukas (24477014100); Heinzemann, Christian (25929254600); Griggio, Alberto (23392386200); Klauck, Michaela (57194266926); Cimatti, Alessandro (7005229596); Henze, Franziska (57221705965); Tonetta, Stefano (18038942400); Küperkoch, Stefan (59043628000); Fassbender, Dennis (56423497900); Hanselmann, Michael (25930951000)","24477014100; 25929254600; 23392386200; 57194266926; 7005229596; 57221705965; 18038942400; 59043628000; 56423497900; 25930951000","Towards Safe Autonomous Driving: Model Checking a Behavior Planner during Development","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192267193&doi=10.1007%2f978-3-031-57249-4_3&partnerID=40&md5=1b9e5b1953a82ac45da7a50ae7983c6e","Automated driving functions are among the most critical software components to develop. Before deployment in series vehicles, it has to be shown that the functions drive safely and in compliance with traffic rules. Despite the coverage that can be reached with very large amounts of test drives, corner cases remain possible. Furthermore, the development is subject to time-to-delivery constraints due to the highly competitive market, and potential logical errors must be found as early as possible. We describe an approach to improve the development of an actual industrial behavior planner for the Automated Driving Alliance between Bosch and Cariad. The original process landscape for verification and validation is extended with model checking techniques. The idea is to integrate automated extraction mechanisms that, starting from the C++ code of the planner, generate a higher-level model of the underlying logic. This model, composed in closed loop with expressive environment descriptions, can be exhaustively analyzed with model checking. This results, in case of violations, in traces that can be re-executed in system simulators to guide the search for errors. The approach was exemplarily deployed in series development, and successfully found relevant issues in intermediate versions of the planner at development time. © The Author(s) 2024.","Autonomous Driving; Industry Application; Model Checking","Autonomous vehicles; C++ (programming language); Automated driving; Autonomous driving; Critical software; Driving functions; Industry applications; Large amounts; Models checking; Software-component; Test drive; Traffic rules; Model checking"
"Sun Y.; Chen M.; Zhao K.; Chen J.","Sun, Yutao (59193829600); Chen, Mingshuai (57020126600); Zhao, Kangjia (58676824100); Chen, Jintao (57221487907)","59193829600; 57020126600; 58676824100; 57221487907","Horae: A Domain-Agnostic Modeling Language for Automating Multimodal Service Regulation∗","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210263395&doi=10.1109%2fICWS62655.2024.00046&partnerID=40&md5=4471e98206d5fe6dae1f471c88159168","Artificial intelligence is rapidly encroaching on the field of service regulation. This work-in-progress article presents the design principles behind Horae, a unified specification language to model multimodal regulation rules across a diverse set of domains. We show how Horae facilitates an intelligent service regulation pipeline by further exploiting a fine-tuned large language model named RuleGPT that automates the Horae modeling process, thereby yielding an end-to-end framework for fully automated intelligent service regulation.  © 2024 IEEE.","compliance checking; multimodal learning; Service regulation; specification languages; violation recognition","Model checking; Specifications; Unified Modeling Language; Compliance checking; Design Principles; Domain agnostics; Intelligent Services; Language model; Multi-modal; Multi-modal learning; Service regulation; Unified specification; Violation recognition; Specification languages"
"Havare J.; Apte V.; Maharajan K.; Samudrala N.C.G.; Ramakrishnan G.; Tamilselvam S.; Vavilapalli S.","Havare, Jayant (59962793400); Apte, Varsha (22833682700); Maharajan, Kaushikraj (59963476800); Samudrala, Nithin Chandra Gupta (59962793500); Ramakrishnan, Ganesh (12140784800); Tamilselvam, Srikanth (50462419200); Vavilapalli, Sainath (59963018700)","59962793400; 22833682700; 59963476800; 59962793500; 12140784800; 50462419200; 59963018700","Ai-Based Automated Grading of Source Code of Introductory Programming Assignments","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009076270&doi=10.1109%2fICPC66645.2025.00025&partnerID=40&md5=b747c8545d1f82f7a11bc795684579c5","In a typical introductory programming course, grading of student submitted programs is often done manually by examining the source code prior to assigning the final grade for reasons such as checking for compliance to some criteria (e.g. 'Use iteration, not recursion', or 'do not use additional arrays'), or for allotting partial marks. A rubric is often used by graders to grade according such criteria. However, manual grading of source code can be labor-intensive and impractical for large-scale online courses. Therefore, in this paper, we propose techniques based on Large Language Models (LLM) for code to automatically grade student programs according to instructor-specified rubrics. Leveraging a dataset of 27966 datapoints that we created, we study a total of 44 combinations of different open source LLMs and methodologies including Zero-Shot prompting, Few-Shot prompting, Supervised Fine Tuning, QLoRA, Direct Preference Optimization (DPO), code scrambling and code augmentation. To our knowledge, we are the first to address the generalized source code grading problem and to propose a solution with promising results. We find that among the models we studied, while Codestral 22B achieves a high micro-accuracy of 85% without any fine-tuning, Qwen-2.5-Coder-7B-Instruct with DPO fine-tuning achieves the same micro-accuracy with only 35 % of the GPU memory usage and 10 % of the inference time taken by Codestral 22B. © 2025 IEEE.","Instruction finetuning; Prompt Engineering","Curricula; Open source software; Open systems; Automated grading; Fine tuning; Instruction finetuning; Introductory programming; Introductory programming course; Preference optimizations; Programming assignments; Prompt engineering; Recursions; Source codes; Codes (symbols)"
"He C.; He W.; Liu M.; Leng S.; Wei S.","He, Chuanni (57491512600); He, Weilin (59531765100); Liu, Min (59231386800); Leng, Shaolong (59532099100); Wei, Song (59532099200)","57491512600; 59531765100; 59231386800; 59532099100; 59532099200","Enriched Construction Regulation Inquiry Responses: A Hybrid Search Approach for Large Language Models","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216218557&doi=10.1061%2fJMENEA.MEENG-6444&partnerID=40&md5=7faefff884818f68f98b9b77cbab7419","The applicability of existing automated compliance check tools in construction is limited, as they are insufficient to provide end-to-end responses given the fragmented and unstructured compliance checking requirements in practice. We explored the potential of large language models (LLMs) to fill the gap by proposing an improved retrieval-augmented generation (RAG) framework to conduct question-answering (QA)-based construction quality checks. The framework contains a novel hybrid search engine that integrates term frequency-inverse document frequency (TF-IDF)-based keyword search with text-embedding search to facilitate domain semantic-aware regulation information extraction. Subsequently, we established a RAG-based chatbot that enables construction managers to obtain construction quality check results and justification directly and precisely via conversations. The framework was tested using 110 real-world QA scenarios covering three concrete structure regulations of 148,170 words. Results show that the enhanced system has improved 15.1% and 11.2% in hit rate and mean reciprocal rank (MRR) compared with naïve RAG. The natural language responses demonstrate more precise and faithful results than conventional LLMs. Our research will contribute to the body of knowledge by proposing an improved RAG system to enhance the practicability of automated compliance checks. It also will push the boundary of LLM applications in construction by revealing how domain-specific terminologies facilitate knowledge extraction in LLM systems. © 2025 American Society of Civil Engineers.","Construction regulation; Large language model (LLM); Quality compliance check; Retrieval-augmented generation (RAG); Term frequency-inverse document frequency (TF-IDF)","Building codes; Information retrieval systems; Inverse problems; Modeling languages; Natural language processing systems; Online searching; Problem oriented languages; Project management; Compliance checks; Construction regulation; Hybrid search; Language model; Large language model; Quality compliance check; Question Answering; Retrieval-augmented generation; Term frequency-inverse document frequency; Term frequencyinverse document frequency (TF-IDF); Semantics"
"Karmakar A.; Patel C.; Kumar Delhi V.S.","Karmakar, Ankan (57225184134); Patel, Chintan (59235455200); Kumar Delhi, Venkata Santosh (55358485100)","57225184134; 59235455200; 55358485100","From Unstructured Data to Knowledge Graphs: An Application for Compliance Checking Problem","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199652264&doi=10.22260%2fISARC2024%2f0112&partnerID=40&md5=7feaa09bffdd81b1709a4cf4d3cd9b08","The rule requirements of a building code are frequently violated to create financially viable designs. These deviations are subjected to condonation by the municipal commissioner if recognizable hardships are faced. The historical concession applications for similar cases are stored in an unstructured manner, creating a barrier to knowledge transfer. The subjective statements given by applicants are composed of logical structure, language, and embedded knowledge that requires years of experience from the domain expert to decipher. A knowledge graph (KG) representation of the problem can capture concepts and represent them visually, which is easy for novice stakeholders to understand. A Large Language Model (LLM)-based method is used in this study for ontology extraction in the form of concepts and relationships. Also, unstructured input preprocessing and entity disambiguation were performed to evaluate the applicability of KG in this domain. The performance of the proposed method was checked qualitatively in a case study from real-life project examples. The limitations and scopes for improvements were also highlighted. The outcome of this study indicates KG as a potential candidate for knowledge generation from the unstructured archival data of compliance checking. The target audience for this application can be the new architects, reviewers, and programmers working on developing the end-to-end automated compliance checking systems. Finally, applying these Artificial Intelligence (AI)-based knowledge transfer mechanisms can ignite future research on automated concession applications and approvals, laying a path to the digital transformation of the industry. © 2024 ISARC. All Rights Reserved.","Artificial Intelligence; Code Compliance Checking; Knowledge Graphs","Compliance control; Knowledge management; Code compliance; Code compliance checking; Compliance checking; Domain experts; Graph representation; Knowledge graphs; Knowledge transfer; Logical structure; Similar case; Unstructured data; Knowledge graph"
"Hildebrandt C.; Woodlief T.; Elbaum S.","Hildebrandt, Carl (57207815726); Woodlief, Trey (57212315457); Elbaum, Sebastian (6604075891)","57207815726; 57212315457; 6604075891","ODD-diLLMma: Driving Automation System ODD Compliance Checking using LLMs","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216443538&doi=10.1109%2fIROS58592.2024.10801369&partnerID=40&md5=157a07e77caf0ad2e01e6105632f56e0","Although Driving Automation Systems (DASs) are rapidly becoming more advanced and ubiquitous, they are still confined to specific Operational Design Domains (ODDs) over which the system must be trained and validated. Yet, each DAS has a bespoke and often informally defined ODD, which makes it intractable to manually judge whether a dataset satisfies a DAS's ODD. This results in inadequate data leaking into the training and testing processes, weakening them, and causes large amounts of collected data to go unused given the inability to check their ODD compliance. This presents a dilemma: How do we cost-effectively determine if existing sensor data complies with a DAS's ODD? To address this challenge, we start by reviewing the ODD specifications of 10 commercial DASs to understand current practices in ODD documentation. Next, we present ODD-diLLMma, an automated method that leverages Large Language Models (LLMs) to analyze existing datasets with respect to the natural language specifications of ODDs. Our evaluation of ODD-diLLMma examines its utility in analyzing inputs from 3 real-world datasets. Our empirical findings show that ODD-diLLMma significantly enhances the efficiency of detecting ODD compliance, showing improvements of up to 147% over a human baseline. Further, our analysis highlights the strengths and limitations of employing LLMs to support ODD-diLLMma, underscoring their potential to effectively address the challenges of ODD compliance detection. © 2024 IEEE.","","Large datasets; Metadata; Modeling languages; Natural language processing systems; Network security; Automation systems; Compliance checking; Design domains; Inadequate data; Language model; Large amounts; Operational design; Testing process; Training and testing; Training process; Information leakage"
"Hassan F.U.; Le T.; Le C.","Hassan, Fahad Ul (57211577108); Le, Tuyen (57187647600); Le, Chau (57201802208)","57211577108; 57187647600; 57201802208","Automated Approach for Digitalizing Scope of Work Requirements to Support Contract Management","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146418319&doi=10.1061%2fJCEMD4.COENG-12528&partnerID=40&md5=a667c42e9f94c58cc17de7711283a2a9","Scope of work requirements (SOWRs) specify the contractual obligations for the contractor to fulfill. Managing the information is crucial to the success of a construction project. This process is, however, often challenging because requirements are typically voluminous and written in an unstructured paper-based format. The current state-of-the-art models are mostly applicable to quantitative constraints for use in automated code compliance checking of design features. This study proposes a novel natural language processing (NLP) framework capable of digitalizing nonquantitative natural language SOWRs outlined in construction contracts. The model includes a comprehensive set of semantic and syntactic rules of linguistic features for extracting contractual work information including actors, actions, objects, constraints, tasks, and obligation. The framework was evaluated on a large textual corpus of provisions of design-build highway contracts. The model yields an impressive precision and recall of more than 93% and 87%, respectively. The proposed system is expected to help the project planner quickly develop an electronic database of contractual work requirements, enabling significantly improved efficiency in project planning and verification.  © 2023 American Society of Civil Engineers.","Contract requirements; Information extraction; Natural language processing; Scope of work","Contractors; Highway planning; Natural language processing systems; Semantics; Automated approach; Contract management; Contract requirement; Contractual obligations; Information extraction; Language processing; Natural language processing; Natural languages; Scope of work; Work requirements; Compliance control"
"Xiang Y.; Lin P.; Luo Y.; Ning Z.; Liu Y.; Liu K.","Xiang, Yunfei (57221399071); Lin, Peng (36189833900); Luo, Yiming (59522263500); Ning, Zeyu (57220767473); Liu, Yuanguang (59306355800); Liu, Ke (57194211991)","57221399071; 36189833900; 59522263500; 57220767473; 59306355800; 57194211991","Integrating Knowledge Graph and Large Language Model for Safety Management Regulatory Texts","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215576892&doi=10.1007%2f978-3-031-81673-4_76&partnerID=40&md5=70328c4bbb8b0af69507081b025a8ca6","The safety management in the infrastructure industry is governed by a variety of regulatory documents and management codes. However, the current regulation compliance checking often relies on manual or exhaustive matching methods, which can result in issues such as inconsistent rating scales, artificial manipulation, and time-consuming procedures. Therefore, this study presents a novel approach that integrates knowledge graph (KG) and large language model (LLM) to facilitate knowledge mining and application in safety management regulatory texts. First, a semantic expression framework is established to represent the domain knowledge of regulatory texts. Subsequently, considering the requirements of rule interpretation, knowledge extraction is carried out on the regulatory texts to obtain KG. Then, based on the prompt-tuning, the KG is leveraged to enhance LLM’s inference of regulatory documents and management codes. Finally, a safety management workflow based on automatic rule interpretation is proposed and successfully applied to a hydropower project. The results demonstrate that this method can effectively enhance the interpretability of safety management codes and reduce reliance on domain experts. This study substantiates the effectiveness of integrating KG and LLM for knowledge mining and application. This work can provide a practical reference for enhancing automated and intelligent safety management in the infrastructure industry. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Automated compliance checking; Knowledge graph; Large language model; Safety management","Hydroelectric power plants; Inference engines; Knowledge graph; Automated compliance checking; Infrastructure industry; Knowledge application; Knowledge graphs; Knowledge mining; Language model; Large language model; Regulatory documents; Regulatory management; Safety management; Semantics"
"Yu P.; Xu T.; Sun W.; Chen Y.; Yu L.; Zhang W.","Yu, Peihou (59531667300); Xu, Tianchen (59531162800); Sun, Wenqian (59531839100); Chen, Yunfang (24586711700); Yu, Le (57075313200); Zhang, Wei (57192222344)","59531667300; 59531162800; 59531839100; 24586711700; 57075313200; 57192222344","Detecting privacy compliance of mobile applications from the perspective of the ""minimum necessary"" principle; [“最小必要”原则视角检测移动应用程序的隐私合规性]","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216208275&doi=10.11959%2fj.issn.2096-109x.2024084&partnerID=40&md5=6127b7327b98712b99bb717c38005ad3","To comply with legal requirements for personal data privacy protection, mobile App developers typically disclose their data collection practices to users through privacy policies. Researchers have proposed various methods using natural language processing (NLP) techniques to analyze privacy policy texts and perform compliance checks. However, most existing studies focus on principles like transparency, openness, and legality, leaving a gap in the evaluation of the‘minimum necessary’principle. For this purpose, a framework called MNPD (minimum necessary principle detection) was proposed for automated compliance checking of applications from the perspective of the‘minimum necessary’principle. Initially, a multi-label text classification model categorized the target App based on its service type to determine the range of‘minimum necessary information’for different App categories. Then, prompt words were constructed to guide the large language model in extracting data collection practices of the App under its basic business functionality mode, transforming them into privacy statement triples and standardizing them. Finally, the compliance checking model conducted consistency checks on the text representation of the target App and evaluated its adherence to the‘minimum necessary’principle. The experimental results show that the proposed method achieves 86.20% F1 score in the automated analysis of 101‘Online Audio-Visual’Apps obtained from Huawei’s application market. © 2024 Beijing Xintong Media Co., Ltd.. All rights reserved.","App; large language model; minimum necessary principle; privacy policy",""
"Makisha E.","Makisha, Elena (57212139102)","57212139102","Features of Regulation Document Translation into a Machine-Readable Format within the Verification of Building Information Models","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163580772&doi=10.3390%2fcivileng4020022&partnerID=40&md5=847cd796c75e4f38a6be03663b822442","The transition to a design based on information modeling has paved the way for automated verification of project documentation. The most complicated type of design documentation check is the assessment of compliance with the requirements of regulatory documents since its automation requires the translation of statements written in natural language into a machine-readable format. At the same time, building codes and regulations should be suitable for translation into machine-readable form. However, a large number of provisions presented in regulatory documents cannot be subjected to automated verification due to their specific features. This study aimed to analyze the suitability of the regulatory provisions to be translated into a machine-readable format, identify limiting factors, and establish recommendations to avoid these factors. This study was conducted based on the example of the code of rules for “Residential Apartment Buildings” (SP 54.13330.2016) applied in the Russian Federation. During the research, a previously developed algorithm that generates rules for checking building information models and is based on the RuleML language was applied to the provisions of the standard above to identify statements that can and cannot be translated. As a result, 356 statements were received, which were divided into five groups: requirements suitable for translation into a machine-readable format, requirements containing links to other documents (regulatory and not only), requirements of uncertain interpretation, requirements that cannot be verified based on an information model, and informative requirements. For the first group of statements, there were examples given for both the statements and the rules derived from them. For the other four groups, examples of statements were supplied with factors preventing the translation of requirements into a machine-readable format and solutions on how to avoid these factors. An analysis of the distribution of statements (related to the above-mentioned groups) by sections of the standard showed that a significant part of the requirements is suitable for translation into a machine-readable format. The possible obstacles to translation can be overcome by attracting experts and using programming tools. The paper also makes recommendations on how to arrange new standard structures. © 2023 by the author.","BIM; building codes; design assessment; design guides; logic rule; rule checking",""
