"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Xue X.; Zhang J.","Xue, Xiaorui (57218159108); Zhang, Jiansong (55358453700)","57218159108; 55358453700","Building Codes Part-of-Speech Tagging Performance Improvement by Error-Driven Transformational Rules","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088116063&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000917&partnerID=40&md5=9cae3bad772e68ac22ba25c1c277df20","To enable full automation, automated code compliance checking systems need to extract regulatory information in building codes and convert it to computable representations. This conversion is a natural language processing (NLP) task that requires highly accurate part-of-speech (POS) tagging results on building codes. Existing POS taggers, however, do not provide such accuracy on building codes. To address this need, the authors propose to improve the performance of POS taggers by error-driven transformational rules that revise machine-tagged POS results. The proposed method utilizes a syntactic and semantic rule-based, NLP approach combined with a structure that is inspired by transfer learning. This method generates a group of transformational rulesets, from simple ones to complex ones, that will convert machine taggers' tagging results to their corresponding human-labeled gold standard. The transformational rules utilize syntactic and semantic information of domain texts. All rules are constrained not to introduce any new errors when fixing existing errors of machine taggers. The last ruleset, which fixes most common remaining errors in textual data after all other rules are applied, is exempted from this constraint. An experimental test on part-of-speech tagged building code (PTBC) data shows this method reduced 82.7% of errors in POS tagging results of building codes, which increased the POS tagging accuracy on building codes from 89.13% to 98.12%. © 2020 American Society of Civil Engineers.","Artificial intelligence; Automated compliance checking; Automated construction management systems; Automated information extraction; Computer applications; Construction management; Information management; Natural language processing (NLP); Part-of-speech tagging; Project management","Building codes; Buildings; Codes (symbols); Compliance control; Errors; Natural language processing systems; Regulatory compliance; Semantics; Syntactics; Transfer learning; Automated code; Experimental test; Highly accurate; NAtural language processing; Part Of Speech; Part of speech tagging; Semantic information; Semantic rules; Computational linguistics"
"","","","Proceedings of the International Conference on Artificial Intelligence and Law","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046054104&partnerID=40&md5=03c85f48a60a2355cb9e820a50ecc0c7","The proceedings contain 37 papers. The topics discussed include: AI-supported decision-making under the general data protection regulation; a low-cost, high-coverage legal named entity recognizer, classifier and linker; extracting contract elements; scenario analytics: analyzing jury verdicts to evaluate legal case outcomes; changes to temporary norms; combining fuzzy logic and formal argumentation for legal interpretation; performance improvement on legal model checking; the opportunity prior: a simple and practical solution to the prior probability problem for legal cases; CLIEL: context-based information extraction from commercial law documents; predicting trade secret case outcomes using argument schemes and learned quantitative value effect tradeoffs; interpreting contracts using English common law rules as stated by Lord Hoffmann; towards a legal definition of machine intelligence: the argument for artificial personhood in the age of deep learning; compliance patterns: harnessing value modeling and legal interpretation to manage regulatory conversations; a unifying similarity measure for automated identification of national implementations of European union directives; classifying sentential modality in legal language: a use case in financial regulations, acts and directives; the pragmatic oddity in norm-based deontic logics; experimenting word embeddings in assisting legal review; towards an automated production of legal texts using recurrent neural networks; and on making autonomous vehicles respect traffic law: a case study for Dutch law.","",""
"Palmirani M.","Palmirani, Monica (57193195959)","57193195959","A Smart Legal Order for the Digital Era: A Hybrid AI and Dialogic Model","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153933577&doi=10.1415%2f105387&partnerID=40&md5=012778f11494c7966e4d86ef0d1f2dbe","The emerging trend of using AI, big data, and smart contracts in the legislative process opens relevant research questions in the theory of law, constitutional law, and the philosophy of law. How to preserve the open texture of the law when it is codified? How to guarantee the legitimacy of the lawmaking process in the digital document flow? How to preserve the autonomy of the decision-maker if the law is automated using AI? At the same time, however, we cannot ignore the undeniable benefits the emerging technologies afford in enhancing the quality of legislation, improving the enforceability of the rule of law, checking the compliance of applications, and working toward a better society. This paper presents a possible solution (Law as Platform, or HyperModeLex) for defining a theoretical legal framework (Smart Legal Order) that takes into account the benefits of the emerging AI technologies in a good balance with the computational-law paradigm and the theory of law. In the digital society we need machine-computable law to use legal knowledge mixed with other important artefacts of the infosphere (e.g., apps, the Web, sensors). In meantime we do not want to lose the control of autonomy (the human-in-command) in a sector as important as the legislative system. This research intends to use the Hybrid AI approach where different techniques could contribute to mitigating weaknesses of each specific method (data-driven vs. code-driven). Additionally, the human-computer interaction methodology could help toward designing a dialogic model for making sure the overall legislative process is transparent and explicable. © 2022,Ragion Pratica. All Rights Reserved.","AI; Legal Design – Legal Language; Legal Theory; Legislation",""
"Havare J.; Apte V.; Maharajan K.; Samudrala N.C.G.; Ramakrishnan G.; Tamilselvam S.; Vavilapalli S.","Havare, Jayant (59962793400); Apte, Varsha (22833682700); Maharajan, Kaushikraj (59963476800); Samudrala, Nithin Chandra Gupta (59962793500); Ramakrishnan, Ganesh (12140784800); Tamilselvam, Srikanth (50462419200); Vavilapalli, Sainath (59963018700)","59962793400; 22833682700; 59963476800; 59962793500; 12140784800; 50462419200; 59963018700","Ai-Based Automated Grading of Source Code of Introductory Programming Assignments","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009076270&doi=10.1109%2fICPC66645.2025.00025&partnerID=40&md5=b747c8545d1f82f7a11bc795684579c5","In a typical introductory programming course, grading of student submitted programs is often done manually by examining the source code prior to assigning the final grade for reasons such as checking for compliance to some criteria (e.g. 'Use iteration, not recursion', or 'do not use additional arrays'), or for allotting partial marks. A rubric is often used by graders to grade according such criteria. However, manual grading of source code can be labor-intensive and impractical for large-scale online courses. Therefore, in this paper, we propose techniques based on Large Language Models (LLM) for code to automatically grade student programs according to instructor-specified rubrics. Leveraging a dataset of 27966 datapoints that we created, we study a total of 44 combinations of different open source LLMs and methodologies including Zero-Shot prompting, Few-Shot prompting, Supervised Fine Tuning, QLoRA, Direct Preference Optimization (DPO), code scrambling and code augmentation. To our knowledge, we are the first to address the generalized source code grading problem and to propose a solution with promising results. We find that among the models we studied, while Codestral 22B achieves a high micro-accuracy of 85% without any fine-tuning, Qwen-2.5-Coder-7B-Instruct with DPO fine-tuning achieves the same micro-accuracy with only 35 % of the GPU memory usage and 10 % of the inference time taken by Codestral 22B. © 2025 IEEE.","Instruction finetuning; Prompt Engineering","Curricula; Open source software; Open systems; Automated grading; Fine tuning; Instruction finetuning; Introductory programming; Introductory programming course; Preference optimizations; Programming assignments; Prompt engineering; Recursions; Source codes; Codes (symbols)"
"Bloch T.; Sacks R.","Bloch, Tanya (57110172100); Sacks, Rafael (7102941790)","57110172100; 7102941790","Comparing machine learning and rule-based inferencing for semantic enrichment of BIM models","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044124638&doi=10.1016%2fj.autcon.2018.03.018&partnerID=40&md5=dfaf5a9948dc7939f5b4e5a441766d27","The need for extensive pre-processing to prepare model data for sophisticated BIM applications, such as automated code compliance checking, functional simulation and analysis, and information exchange, is a major obstacle to their use. Semantic enrichment offers an alternative, automated approach to manual pre-processing. We illustrate the use of machine learning algorithms for semantic enrichment of BIM models, and compare it to rule-inferencing, through application to the problem of classification of room types in residential apartments. The results showed that machine learning is directly applicable to the space classification problem. Although rule-inferencing has succeeded in other contexts, it proved to be unsuitable for this problem. This leads to the observation that different BIM object classification problems require different approaches. More generally speaking, the AI methods used for semantic enrichment depend on the nature of the problem context, and future research will be needed to establish suitable guidelines. © 2018 Elsevier B.V.","Building information modeling; Machine learning; Semantic enrichment","Architectural design; Artificial intelligence; Compliance control; Learning systems; Semantics; Automated approach; Automated code; Building Information Model - BIM; Functional simulations; Information exchanges; Object classification; Pre-processing; Semantic enrichment; Learning algorithms"
"","","","32nd International Conference on Information System 2011, ICIS 2011, Volume 1","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884616489&partnerID=40&md5=bc0c88300003cc9b0127ea10c5271959","The proceedings contain 299 papers. The special focus in this conference is on Information System. The topics include: Situation awareness through social collaboration platforms in distributed work environments; attaining and enacting green leadership; culture and organizational computer-mediated communication; inter-organizational effects on sociomaterial imbrications and change; intrusiveness of online video advertising and its effects on marketing outcomes; dynamic personal feedback in acquiring information to manage your health; emotions as predictors of performance in virtual worlds; a profiling model for readmission of patients with congestive heart failure; information sharing in NHS polyclinics; integrating self-service kiosks into healthcare delivery organizations; an empirical study with strategic alignment in the healthcare industry; improving knowledge-intensive health care processes beyond efficiency; understanding the drivers and outcomes of healthcare organizational privacy responses; IT-based capabilities, service innovation, and quality in health care; microprocesses of healthcare technology implementation under competing institutional logics; understanding the impact of internet media on patient-clinician trust; measuring emotions in electronic markets; social networking and extending social capacity; an entropy index for multitasking behavior; an instrument for measuring SOA maturity; computer-mediated social networks and environmental behavior; an effective and efficient subpopulation extraction method in very large social networks; reputation and preemption strategies in competing technology networks; software adoption under network effects; consumer product consideration and choice at purchase time at online retailers; business values of community source; learning from peers on social media platforms; code architecture and open source software development; the price and quantity of IT-related intangible capital; the impact of third-party information on the dynamics of online word-of-mouth and retail sales; the roles of agency and artifacts in assembling open data complementarities; the role of culture and personality in the leadership process in virtual teams; user satisfaction of E-government procurement systems in developing countries; differences in knowledge seeking ties between the US and Singapore students; modeling quality dynamics in IT services management; herding behavior as a network externality; exploring information systems control alignment in organizations; the user-centered nature of awareness creation in computer-mediated communication; critical factors affecting compliance to campus alerts; substance and influence in brand communities; the attitude construct in IT adoption research - a scientometric analysis; examining trends of technology diffusion theories in information systems; management of change to ensure IS success; information systems development as a social process; testing tournament selection in creative problem solving using crowds; understanding online payment method choice; the influence of demands and resources on emotional exhaustion with the information systems profession; CIO survival and the composition of the top management team; social capital in the ICT sector - a network perspective on executive turnover and startup performance; activity awareness as a means to promote connectedness, willingness to do additional work, and congeniality; effects of media synchronicity on communication performance; comprehension of online consumer-generated product review; the role of product recommendation agents in collaborative online shopping; three classes of attitude and their implications for IS research; gender differences in virtual collaboration on a creative design task; toward deep understanding of persuasive product recommendation agents; understanding is education quality in developing countries; SYSCO's best business practices (BBP); public expenditure management through khajane - an integrated financial MIS; arguments for the adoption of a heuristic approach to IS research; information systems collaborations as boundary spanning; towards an evidence-based research approach in information systems; grounding theory from Delphi studies; PLS marker variable approach to diagnosing and controlling for method variance; benefits from using continuous rating scales in online survey research; evaluating two automatic methods for classifying information technology concepts; exploring interpersonal relationships in security information sharing; explaining the difference between how security cues and security arguments improve secure behavior; the impact of security practices on regulatory compliance and security performance; personal health records in cloud computing environments; empirical analysis of data breach litigation; extending UTAUT to predict the use of location-based services; project and organizational antecedents of effort withholding in IT project teams; modeling and checking business process compliance rules in the financial sector; participation in open source communities and its implications for organizational commitment; an empirical test of the theory of relationship constraints; an approach for portfolio selection in multi-vendor IT outsourcing; the essential dynamics of information infrastructures; a framework for investigating open innovation processes in ISD; four facets of a process modeling facilitator; a conceptual life event framework for government-to-citizen electronic services provision; perceptual congruence between IS users and professionals on IS service quality - insights from response surface analysis; dynamic service level agreement management for efficient operation of elastic information systems; impact of business intelligence and IT infrastructure flexibility on competitive performance; knowledge refinement effectiveness; towards a framework for measuring knowledge management service productivity; measuring the business value of online social media content for marketers; a data-centric perspective for workflow model management; protecting privacy against regression attacks in predictive data mining; the effects of job design on employees' knowledge contribution to electronic repositories; BI and CRM for customer involvement in product and service development; an effective method of discovering target groups on social networking sites; environmental scanning for customer complaint identification in social media; the effects of user identity and sanctions in online communities on real-world behavior; F-commerce and the crucial role of trust; when artificial feedback hurts - empirical evidence from community-based configuration systems; knowledge collaboration in distributed practice communities; a social identity perspective on participation in virtual healthcare communities; boundary-spanning documents in online communities; network stability and social contagion on the mobile internet; digital complementary assets; trusting social location technologies and interactions; telepresence in business meetings; exploring the role of online social network dependency in habit formation; a sociomateriality practice perspective of online social networking; automatic reputation assessment in Wikipedia; strategic decision support for smart-leasing infrastructure-as-a-service; the impact of different types of satisfaction on C2C platform loyalty; automated negotiations under uncertain preferences; nurturing sales entrepreneurship in consumer-to-consumer marketplaces; competing across different channels for personalized service; the influences of negativity and review quality on the helpfulness of online reviews; winner determination of open innovation contests in online markets; a dual view on IT challenges in corporate divestments and acquisitions; managing the IT integration of acquisitions by multi-business organizations; management commitments that maximize business impact from IT; institutional work and artifact evolution; four perspectives on architectural strategy; a coevolutionary journey of strategic knowledge management alignment; use of social media in disaster management; unpacking the duality of design science; acquiring IT competencies through focused technology acquisitions; IT artifacts and the state of IS research; senior scholars' forum and online social networking and citizen engagement.","",""
"Karmakar A.; Patel C.; Kumar Delhi V.S.","Karmakar, Ankan (57225184134); Patel, Chintan (59235455200); Kumar Delhi, Venkata Santosh (55358485100)","57225184134; 59235455200; 55358485100","From Unstructured Data to Knowledge Graphs: An Application for Compliance Checking Problem","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199652264&doi=10.22260%2fISARC2024%2f0112&partnerID=40&md5=7feaa09bffdd81b1709a4cf4d3cd9b08","The rule requirements of a building code are frequently violated to create financially viable designs. These deviations are subjected to condonation by the municipal commissioner if recognizable hardships are faced. The historical concession applications for similar cases are stored in an unstructured manner, creating a barrier to knowledge transfer. The subjective statements given by applicants are composed of logical structure, language, and embedded knowledge that requires years of experience from the domain expert to decipher. A knowledge graph (KG) representation of the problem can capture concepts and represent them visually, which is easy for novice stakeholders to understand. A Large Language Model (LLM)-based method is used in this study for ontology extraction in the form of concepts and relationships. Also, unstructured input preprocessing and entity disambiguation were performed to evaluate the applicability of KG in this domain. The performance of the proposed method was checked qualitatively in a case study from real-life project examples. The limitations and scopes for improvements were also highlighted. The outcome of this study indicates KG as a potential candidate for knowledge generation from the unstructured archival data of compliance checking. The target audience for this application can be the new architects, reviewers, and programmers working on developing the end-to-end automated compliance checking systems. Finally, applying these Artificial Intelligence (AI)-based knowledge transfer mechanisms can ignite future research on automated concession applications and approvals, laying a path to the digital transformation of the industry. © 2024 ISARC. All Rights Reserved.","Artificial Intelligence; Code Compliance Checking; Knowledge Graphs","Compliance control; Knowledge management; Code compliance; Code compliance checking; Compliance checking; Domain experts; Graph representation; Knowledge graphs; Knowledge transfer; Logical structure; Similar case; Unstructured data; Knowledge graph"
"Zhang J.","Zhang, Jiansong (55358453700)","55358453700","How Can ChatGPT Help in Automated Building Code Compliance Checking?","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172906424&doi=10.22260%2fISARC2023%2f0011&partnerID=40&md5=9ed3abad893b220316ecb3b68b5872bb","One main challenge in the full automation of building code compliance checking is in the extraction and transformation of building code requirements into computable representations. Semantic rule-based approach has been taken mainly due to its expected better performance than machine learning-based approach on this particular task. With the recent advancement in deep learning AI, particularly the launch of ChatGPT by OpenAI, there is a potential for this landscape to be shifted given the highly regarded capabilities of ChatGPT in processing (i.e., understanding and generating) natural language texts and computer codes. In this paper, the author preliminarily explored the use of ChatGPT in converting (i.e., extracting and transforming) building code requirements into computer codes, and compared it with the results from cutting-edge semantic rule-based approach. It was found that comparing to the semantic rule-based approach, the conversion results from ChatGPT still has limitations, but there is a great potential for it to help speed up the implementation and scale-up of automated building code compliance checking systems. © ISARC 2023. All rights reserved.","AI; Automated building code compliance checking; ChatGPT; Natural language processing; SNACC","Automation; Buildings; Codes (symbols); Compliance control; Deep learning; Natural language processing systems; Automated building code compliance checking; Automated buildings; Building Code Compliance Checking; ChatGPT; Language processing; Natural language processing; Natural languages; Rule-based approach; Semantic rules; SNACC; Semantics"
"","","","Proceedings - 2024 IEEE/ACM Workshop on Software Engineering Challenges in Financial Firms, FinanSE 2024","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203194334&partnerID=40&md5=b42adc95670a88e70b5ae7c804d8e9ab","The proceedings contain 7 papers. The topics discussed include: enhancing incident management: insights from a case study at ING; API-Miner: an API-to-API specification recommendation engine; keynote on augmented agile: human-centered AI-assisted software project management at FinanSE Workshop (ICSE 2024); toward automated compliance checking of fund activities using runtime verification techniques; software modernization: from industry needs to developers' perception; and topical: automatic repository tagging using attention on hybrid code embeddings.","",""
"","","","1st International Workshop on Trustworthy AI – Integrating Learning, Optimization and Reasoning, TAILOR 2020 held as a part of European Conference on Artificial Intelligence, ECAI 2020","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105911244&partnerID=40&md5=61c7e93205e94843dc80a855c26994dc","The proceedings contain 23 papers. The special focus in this conference is on Integrating Learning, Optimization and Reasoning. The topics include: Towards Automated GDPR Compliance Checking; towards Utilitarian Combinatorial Assignment with Deep Neural Networks and Heuristic Algorithms; an Analysis of Regularized Approaches for Constrained Machine Learning; safe Learning and Optimization Techniques: Towards a Survey of the State of the Art; a Causal Framework for Understanding Optimisation Algorithms; uncertainty Quantification and Calibration of Imitation Learning Policy in Autonomous Driving; synthesising Reinforcement Learning Policies Through Set-Valued Inductive Rule Learning; modelling Agent Policies with Interpretable Imitation Learning; value-Alignment Equilibrium in Multiagent Systems; election Manipulation on Social Networks with Messages on Multiple Candidates Extended Abstract; process-To-Text: A Framework for the Quantitative Description of Processes in Natural Language; underestimation Bias and Underfitting in Machine Learning; AI-Supported Innovation Monitoring; Semi-supervised Co-ensembling for AutoML; transparent Adaptation in Deep Medical Image Diagnosis; Two to Trust: AutoML for Safe Modelling and Interpretable Deep Learning for Robustness; Consensus for Collaborative Creation of Risk Maps for COVID-19; Guided-LORE: Improving LORE with a Focused Search of Neighbours; interactive Natural Language Technology for Explainable Artificial Intelligence; Hybrid AI: The Way Forward in AI by Developing Four Dimensions; towards Certifying Trustworthy Machine Learning Systems.","",""
"Shaw Douglas T.; Maidment David R.","Shaw, Douglas T. (7403341777); Maidment, David R. (7005570357)","7403341777; 7005570357","SITE CODE. A knowledge-based model of municipal site development regulations for computer-aided design","1989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024910420&partnerID=40&md5=56e783007f41af4dae2b252b2d068a10","SITE CODE consists of a hybrid rule-based/object-oriented representation of regulatory knowledge, and includes an interactive matrix mechanism for accessing regulations. An object-oriented applications knowledge base containing critical design information extracted from the regulations is created dynamically from the regulatory knowledge base. Design applications which make use of this representation include computer-aided site layout, automated design compliance checking, and automated determination of site yield.","","Artificial Intelligence; Computer Software; Municipal Engineering--Standards; Design Applications; Knowledge-Based Systems; Municipal Site Development; Regulatory Control; Regulatory Knowledge; Software Package SITE CODE; Civil Engineering"
