Authors,Author full names,Author(s) ID,Title,Year,Link,Abstract,Author Keywords,Index Keywords,authors,author full names,author(s) id,title,year,link,abstract,author keywords,index keywords
Wu J.; Zhang J.,"Wu, Jin (57202516292); Zhang, Jiansong (55358453700)",57202516292; 55358453700,Model Validation Using Invariant Signatures and Logic-Based Inference for Automated Building Code Compliance Checking,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124805338&doi=10.1061%2f%28ASCE%29CP.1943-5487.0001002&partnerID=40&md5=dad432155129d0778c65106b374af5e7,"Fully automated building code compliance checking (ACC) requires accurate information extraction from both building information models (BIMs) and building code chapters, and equally (if not more) importantly, a precise matching between the two. Although research on information extraction has been extensively conducted for ACC, there is a lack of investigation of automated and practical information mapping between the extracted information, from BIMs to building code requirements. To address this gap, the authors proposed a new method for BIM model validation to validate an input Industry Foundation Classes (IFC) model with regard to building code concepts. This validation method was supported by creating invariant signatures of architecture, engineering, and construction (AEC) objects that capture the geometric nature of the objects. Target concepts from building codes are classified into four categories: (1) explicit concepts, (2) inferable concepts, (3) user-assisted concepts, and (4) system defaults. Identification algorithms are developed for all four categories based on the invariant signatures of AEC objects. An experiment was conducted to test the proposed method on validating five real commercial project models with selected concepts from a current building code. Compared with a manually developed gold standard, 99.8% precision and 99.6% recall were achieved. This demonstrates that the proposed method is promising in supporting information matching between BIMs and building code concepts for ACC purpose.  © 2022 American Society of Civil Engineers.",,Automation; Building codes; Codes (symbols); Compliance control; Information retrieval; Architecture engineering; Automated buildings; Building Code Compliance Checking; Building Information Modelling; Class models; Code requirements; Fully automated; Information mapping; Matchings; Model validation; Architectural design,,,,,,,,,
Cassandro J.; Mirarchi C.; Zanchetta C.; Pavan A.,"Cassandro, Jacopo (58701117500); Mirarchi, Claudio (57205025848); Zanchetta, Carlo (57193789112); Pavan, Alberto (56704637900)",58701117500; 57205025848; 57193789112; 56704637900,ENHANCING ACCURACY IN COST ESTIMATION: STRUCTURED COST DATA INTEGRATION AND MODEL VALIDATION,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213693439&doi=10.36680%2fj.itcon.2024.058&partnerID=40&md5=36e6234cfc56948ae62f9f95e73c49e0,"Cost estimation for tendering is one of the leading causes of legal disputes in the architecture, engineering, construction, and facilities management (AEC/FM) industry. To date, there are no standardized procedures for verifying cost estimation accuracy. The association between cost data and geometric model objects is currently done manually, leading to time losses and inaccuracies in cost estimates. This study defines a new architecture for cost items within the Industry Foundation Classes (IFC) data model to ensure structured cost data, which is currently expressed in unstructured natural language. It encompasses the definition of a cost domain in IFC, potential relationships it may have with an IFC geometric information model, and the validation of these relationships through semi-automated verification procedures of structured data (geometric-cost). A specific case study, focused on a structural IFC model, is examined to assess current and future applications. Additionally, rules for BIM information requirements will be defined through the Information Delivery Specification (IDS) to ensure clear understanding for both humans and computers. This will specify which data must be included in the geometric model to ensure validation and verification of the uniqueness of associated cost data. The results demonstrate the feasibility of defining structured cost elements in IFC and verifying their association with geometric data to ensure coherence and uniqueness in cost estimation. © 2024 The author(s).",AEC/FM; BIM; compliance checking; cost item; cost ontology; IFC; Information Delivery Specification (IDS),Computational cost; Cost accounting; Cost benefit analysis; Cost engineering; Data accuracy; Model checking; Natural language processing systems; Ontology; Architecture engineering; Architecture management; Compliance checking; Construction management; Cost items; Cost ontology; Engineering constructions; Engineering management; Facilities management; Industry foundation class; Information delivery; Information delivery specification; Ontology's; Cost estimating,,,,,,,,,
Hong S.-M.; Kim D.-W.; Gu H.-M.; Choo S.-Y.,"Hong, Soon-Min (57734398300); Kim, Dong-Wuk (57915668900); Gu, Hyeong-Mo (57209659182); Choo, Seung-Yeon (36835366900)",57734398300; 57915668900; 57209659182; 36835366900,Establishment of Database for Automated Building Codes Compliance Checking in the Pre-Design Phase,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139211309&partnerID=40&md5=29488c4af94d492019ccbbdd2b7fc39f,"The ICT’s development has led to the introduction of work automation technology into the AEC industry, and many governments around the world have attempted to increase work efficiency by introducing the automation technology for building legality review into the building administrative system. Prior to this, it is essential to develop a database of which natural language-based building codes should be modified in code. Thus, this study addresses a method to convent building acts in the form of natural language into computer-readable one through formalization and encoding and to establish database with the aim of developing the automation technology for legality review for setting size used in pre-design phase. The method suggested is verified through the developed authoring tool. Keywords: Automated Checking, Building Codes Compliance, Mass Generation. © 2022, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.",,,,,,,,,,,
Altintaş Y.D.; Ilal M.E.,"Altintaş, Yelin Demir (57223317120); Ilal, M. Emre (6504808675)",57223317120; 6504808675,INTEGRATING BUILDING AND CONTEXT INFORMATION FOR AUTOMATED ZONING CODE CHECKING: A REVIEW,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133423277&doi=10.36680%2fj.itcon.2022.027&partnerID=40&md5=20a6301170d1a2d205c224bd03790521,"Interoperability approaches have attracted much attention in the AEC/FM industry with the increased interest in Building Information Modeling (BIM) studies since 2000's. Especially, the integration of BIM with GIS is crucial for areas, which need detailed information on buildings and their surroundings. Automated code compliance checking against zoning codes is an area that requires both zoning data and building design data. In an ideal automated zoning code checking process, building codes should be retrieved from the responsible authority, data regarding the neighborhood the project is located in should be retrieved directly from the local municipality's GIS, and the building project should be supplied by the designer as a BIM file. The checking process should be able to work with a combination of GIS and BIM data and generate a compliance report. Although recent BIM-GIS integration efforts have been successful in some areas, BIM-GIS integration studies in the context of automated zoning code compliance checking are limited, and the data interoperability problem in this field still needs to be addressed. This paper intends to (1) provide a critical review and analysis of the current BIM and GIS integration studies for building permit processes, (2) present the opportunities that the implementation of integrating BIM and GIS might bring to the automated zoning compliance checking domain and (3) identify promising integration approaches for future efforts. © 2022 The author(s).",automated zoning code compliance checking; BIM; GIS; interoperability,Architectural design; Automation; Compliance control; Data integration; Integration; Zoning; Automated code; Automated zoning code compliance checking; Building Information Modelling; Code compliance; Compliance checking; Context information; GIS Integration; In-buildings; Interoperability approaches; Modelling studies; Interoperability,,,,,,,,,
Khattra S.K.; Singh J.; Rai H.S.,"Khattra, Satinder Kaur (57218794225); Singh, Jagbir (57213875596); Rai, Hardeep Singh (56236850700)",57218794225; 57213875596; 56236850700,A Statistical Review to Study the Structural Stability of Buildings Using Building Information Modelling,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118558239&doi=10.1007%2fs11831-021-09677-5&partnerID=40&md5=571de6efefa147b64e84a4e80a959795,"Building Information Modelling is the revolution in the AEC industry. In the Architectural, Engineering, and Construction (AEC) industry, numerous interesting innovations are being introduced. The various technologies like Virtual Reality and Augmented Reality with BIM various researchers are doing their experiment to link these technologies. This paper reviews the Building Information Modelling for checking the building codes and it explicates the automatic building code compliance method. Design automation is the important process that catches the attention of many researchers and experts of the AEC industry and the initiation of code compliance in BIM is one of the essential factors for its accomplishment. This review also explains this Industry Foundation Classes and its importance of IFC in Building Information Modelling. In the BIM industry, Industry Foundation Classes is a major advancement it improves the collaboration among various BIM software, improves code testing system and it improves the data exchange methods. Reside in a structured surrounding built by some rules and regulations to safeguard life and safety. The builders ensure that the necessary design tests have been passed for all aspects of their proposed construction design. The design is approved after the modifications and mandatory revisions. The monotonous task is checking to build code rules, verifying the code compliance based on the country’s building code design, and carrying out possible faults in design, and then making the required reconsiderations. The unwanted problems can be eliminated by the automated building code compliance system. This goal can be achieved by compiling the BIM model with a coding rule base engine that can save a particular country’s design code with its clauses. © 2021, CIMNE, Barcelona, Spain.",,Augmented reality; Codes (symbols); Compliance control; Computer aided design; Electronic data interchange; Software testing; Stability; Virtual reality; Architectural construction; Architectural engineering; Automatic buildings; Building Information Modelling; Code compliance; Compliance method; Design automations; Statistical reviews; Structural stabilities; Various technologies; Architectural design,,,,,,,,,
Al-Turki D.; Hettiarachchi H.; Medhat Gaber M.; Abdelsamea M.M.; Basurra S.; Iranmanesh S.; Saadany H.; Vakaj E.,"Al-Turki, Dhoyazan (58310580900); Hettiarachchi, Hansi (57190174249); Medhat Gaber, Mohamed (59477569300); Abdelsamea, Mohammed M. (55837497100); Basurra, Shadi (36986883100); Iranmanesh, Sima (57201915492); Saadany, Hadeel (57212509470); Vakaj, Edlira (57220182906)",58310580900; 57190174249; 59477569300; 55837497100; 36986883100; 57201915492; 57212509470; 57220182906,Human-in-the-Loop Learning With LLMs for Efficient RASE Tagging in Building Compliance Regulations,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211435944&doi=10.1109%2fACCESS.2024.3512434&partnerID=40&md5=87a8b3bc526aa5f0b186ad63f8272295,"Automated compliance checking (ACC) in the Architecture, Engineering, and Construction (AEC) sector represents a pivotal task which is traditionally executed manually, demanding significant time and labor. This work investigates the automation of the Requirement, Applicability, Selection, and Exception (RASE) methodology for building regulatory compliance through the utilization of Large Language Models (LLMs) and active learning techniques. Specifically, we focus on the development and assessment of a system using the OpenAI GPT-4o model to transmute building regulation texts into structured YAML formats conducive to ACC processes. The study encompasses three experimental paradigms: few-shot learning, fine-tuning learning, and progressive active learning. Initial results from the few-shot learning experiment illustrate the model's preliminary ability to interpret and process regulatory texts with limited examples. Fine-tuning enhances model performance by training it on a specialized dataset, thereby improving structural and textual accuracy. Progressive active learning, by iteratively incorporating expert feedback, further refines the accuracy of the model. The findings demonstrate substantial enhancements in both structural and semantic accuracies of the generated YAML files, underscoring the potential of integrating LLMs with active learning to streamline regulatory compliance automation. The methodologies and results presented here offer a comprehensive framework for advancing future research and practical applications in the domain of automated regulatory compliance.  © 2013 IEEE.",active learning; Automated compliance checking; large language models; RASE,"Adversarial machine learning; Building codes; Federated learning; Regulatory compliance; Semantics; Zero-shot learning; Active Learning; Architecture engineering; Automated compliance checking; Compliance regulations; Fine tuning; Human-in-the-loop; In-buildings; Language model; Large language model; Requirement, applicability, selection, and exception; Active learning",,,,,,,,,
Wu J.; Zhang J.; Debs L.,"Wu, Jin (57202516292); Zhang, Jiansong (55358453700); Debs, Luciana (57201066716)",57202516292; 55358453700; 57201066716,Model Validation for Automated Building Code Compliance Checking,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128948946&doi=10.1061%2f9780784483961.067&partnerID=40&md5=854588c1cfcfb8e20e548b22b90849d3,"To allow full automation of building code compliance checking with different building design models and codes/regulations, input building design models need to be automatically validated. Automated architecture, engineering, and construction (AEC) object identification with high accuracy is essential for such validation. For example, in order to check egress requirements, exits of a building (and their presence or absence) need to be identified automatically through object identification. To address that, the authors propose a new AEC object identification algorithm that can identify needed code checking concepts from building design models based on the invariant signatures of AEC objects, which consisted of Cartesian points-based geometry, relative location and orientation, and material mechanical properties. Building design models in industry foundation classes (IFC) format are processed into invariant signatures, which can fully represent the model data and convert them into computable representations to support automated compliance reasoning. A systematic implementation of the above invariant signatures-based object identification algorithm can be used to automatically conduct building design model validation for code compliance checking preparation. An experimental testing on Chapters 4 and 8 of the International Building Code 2015 and a convenience store design model showed the model validation using the proposed identification algorithms successfully validated ceiling and interior door concepts. Comparing to the manual validation used in current practice, this new object identification algorithm is more efficient in supporting model validation for automated building code compliance checking. © 2022 ASCE.",,Automation; Codes (symbols); Compliance control; Data handling; Architecture engineering; Automated buildings; Building Code Compliance Checking; Building design; Code regulations; Design codes; Design models; Identification algorithms; Model validation; Object identification; Architectural design,,,,,,,,,
Jiang L.; Shi J.; Pan Z.; Wang C.; Mulatibieke N.,"Jiang, Liu (57212383876); Shi, Jianyong (56394719500); Pan, Zeyu (57212377623); Wang, Chaoyu (57213145784); Mulatibieke, Nazhaer (57287226600)",57212383876; 56394719500; 57212377623; 57213145784; 57287226600,A Multiscale Modelling Approach to Support Knowledge Representation of Building Codes,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140578612&doi=10.3390%2fbuildings12101638&partnerID=40&md5=764de0df2831502f75c4079ae04943f4,"Knowledge representations of building codes are essential and critical resources for the organization, retrieval, sharing, and reuse of implicit knowledge in the AEC industry. Against this background, traditional code compliance checking is time-consuming and error-prone. This research aimed to utilize various knowledge representation techniques to establish a knowledge model of building codes to facilitate the automated code compliance checking. The proposed knowledge model consists of three levels to achieve conceptual, logical, and correlational representations of building codes. The concept-level model provides the basic knowledge elements. The clause-level model was developed based on a unified top schema and provides the conceptual graph, mapping logics, and checking logics of each clause. The code-level model is constructed based on the explicit cross-references and semantic connections between clauses. The investigations on the model applications indicate two aspects. On the one hand, the proposed knowledge model shows high potential for semantic searching and knowledge recommendation. On the other hand, the automated code-compliance-checking processes based on the proposed multiscale knowledge model can achieve three main advantages: guiding designers to create a building model with completely necessary information, mitigating the differences between building information and regulatory information, and making the checking procedures more friendly and relatively transparent to users. © 2022 by the authors.",automated code compliance checking; building codes; knowledge graph; knowledge representation; multiscale knowledge model; ontology; semantic searching; semantic web technologies,,,,,,,,,,
Zou Y.; Guo B.H.W.; Papadonikolaki E.; Dimyadi J.; Hou L.,"Zou, Yang (57072337800); Guo, Brian H. W. (56602167900); Papadonikolaki, Eleni (56367767700); Dimyadi, Johannes (57193080675); Hou, Lei (55729885900)",57072337800; 56602167900; 56367767700; 57193080675; 55729885900,Lessons Learned on Adopting Automated Compliance Checking in the AEC Industry: A Global Study,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158999554&doi=10.1061%2fJMENEA.MEENG-5051&partnerID=40&md5=376e8342f81bc745bd5deded222d7cea,"Over the last decades, numerous automated compliance checking (ACC) systems have been developed. However, ACC is still not broadly used in the architecture, engineering, and construction (AEC) industry today; little is known as to how ACC can be better accepted by the end users. This paper reports on a multicase study to learn valuable lessons from recent attempts to adopt ACC systems worldwide. Firstly, 18 semistructured interviews were conducted with 20 experts from eight countries, and supplementary data (e.g., documents, product information, and literature) related to each case were collected. Secondly, the interview and supplementary data were then coded to develop prominent themes. Thirdly, through a cross-case analysis, the 12 most determining variables that could influence the ACC adoption were identified. Three path models that explain the interrelationships between these variables and 10 propositions that can guide future ACC adoption were deduced. The results indicate that the government should play an important role to facilitate ACC adoption through funding, policies, and incentives. This study also provides valuable information to software vendors for delivering ACC systems that meet the needs of the industry, and for innovation managers in the industry to develop appropriate adoption plans for the ACC technology. © 2023 American Society of Civil Engineers.",Automated compliance checking (ACC); Building information modeling (BIM); Case study; Construction; Technology adoption,Architectural design; Automation; Behavioral research; Architecture engineering; Automated compliance checking; Building information modeling; Building Information Modelling; Case-studies; End-users; Learn+; Supplementary data; Technology adoption; Compliance control,,,,,,,,,
Nama E.A.; Alalawi A.,"Nama, Entesar Al (58139241300); Alalawi, Adel (12759581600)",58139241300; 12759581600,"The Adoption of Automated Building Code Compliance Checking Systems in the Architecture, Engineering, and Construction Industry",2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149904406&doi=10.1109%2fCyMaEn57228.2023.10050930&partnerID=40&md5=b3e224c1d1844aab145e821bf63980c7,"Most Automated Compliance Checking (ACC) systems for building codes currently in use cannot fully translate building-code requirements into forms that can be processed by computers, especially when such requirements have complex semantic and syntactic structure hierarchies. Modern information extraction and transformation rules-based ACC approaches, capable of handling complicated requirements, are rigid when used with various regulatory documents. To assist the ACC systems' downstream responsibilities, like information matching and compliance reasoning, a flexible approach to automatically processing and interpreting requirements must therefore be developed. This study is based on previous relevant research and, despite being integrated based on the authors' knowledge from various based on disciplines, draws on previous research. Within the scope of this study, we looked into the history of issuing Building Permits (BPs) and the required process, technology, and rules to get the ball rolling on automating the process of checking compliance with building codes. Finally, based on the findings of the research, we defined the required steps to start automating the building code compliance checking system in the Kingdom of Bahrain. © 2023 IEEE.",AEC; automation of compliance checking; BIM-based code compliance; digital building permit; ifcOWL ontology; Kingdom of Bahrain.,Architectural design; Automation; Compliance control; Regulatory compliance; Semantics; Syntactics; AEC; Automation of compliance checking; BIM-based code compliance; Building permits; Code compliance; Compliance checking; Digital building permit; Ifcowl ontology; Kingdom of Bahrain; Kingdom of bahrain.; Ontology's; Construction industry,,,,,,,,,
