Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Patlakas, P; Christovasilis, I; Riparbelli, L; Cheung, FK; Vakaj, E",,,,"Patlakas, Panagiotis; Christovasilis, Ioannis; Riparbelli, Lorenzo; Cheung, Franco K. T.; Vakaj, Edlira",,,Semantic web-based automated compliance checking with integration of Finite Element analysis,ADVANCED ENGINEERING INFORMATICS,,,,,,,,,,Automatic Compliance Checking; Web Ontology Language (OWL); Industry Foundation Classes (IFC); Semantic Web; Finite Element Analysis (FEA),MODEL,"Automatic Compliance Checking (ACC) is a promising response to the challenges involved in meeting building and planning regulations, and increasingly utilised by researchers in the context of Building Information Modelling (BIM) and the Industry Foundation Classes (IFC). However, engineers often use computational methods, such as Finite Element Analysis (FEA), to solve challenging engineering problems. Such methods have received little attention in the context of ACC and BIM. The work presented here proposes a holistic approach, integrating FEA in the IFC schema, and utilising a Semantic Web-based system for ACC. A top-level ontology, the Building Compliance Ontology (BCO) is proposed, with the aim of covering all aspects of compliance in the Built Environment. One novelty of BCO is that it revolves around modelling statements in the building regulations, as opposed to the more common approach of modelling building components. In order to evaluate the effectiveness and applicability of this process, a real-world problem is used: the compliance to the structural engineering design codes of the structural members of a modular steel structure. An open-source solver is utilised for the FEA, and the IFC model is enriched with its results, using an open-source middleware for the Input/Output. BCO is extended to the field of structural engineering, and appropriate ACC classes and SHACL checks are implemented. Compliance is checked automatically by running SHACL scripts in a Semantic Web environment.",,,,,,,,,,,,,,,,,,,,,,,,AUG,2024,61,,,,,,,,102448,10.1016/j.aei.2024.102448,0,,MAR 2024,,,,,,,,,,,,0
J,"Goh, W; Jang, J; Park, SI; Choi, BH; Lim, H; Zi, G",,,,"Goh, Wonhui; Jang, Jaeguk; Park, Sang I.; Choi, Bong-Hyuck; Lim, Heuiseok; Zi, Goangseup",,,Automated Compliance Checking System for Structural Design Codes in a BIM Environment,KSCE JOURNAL OF CIVIL ENGINEERING,,,,,,,,,,Automated compliance checking (ACC); Structural calculations; Building information modeling (BIM); open BIM format; Industry foundation classes (IFC),KNOWLEDGE; INDUSTRY; MODEL; OWL,"This study proposes a framework for developing an automated compliance checking (ACC) system that supports the verification of structural calculations in openBIM format. The framework consists of four main aspects: 1) classification of design codes depending on structural components and limit states to be checked; 2) preparation of a structural model according to Industry Foundation Classes; 3) interpretation of conditions in design codes into a machine-readable rule language; and 4) design of an ACC system, with a focus on the rule flow in the structural design code. The framework was demonstrated through a detailed example of an ACC system using ifcOWL, SWQRL, and the Drools inference engine. The ACC system was developed to check the strength and serviceability of a prestressed concrete girder bridge and its components. The developed ACC system verified the actual design example. The proposed framework can help develop ACC systems in structural engineering and can be customized to meet user requirements and accommodate various data sources and design codes.",,,,,,,,,,,,,,,,,,,,,,,,OCT,2024,28,10,,,,,4175,4189,,10.1007/s12205-024-1121-5,0,,AUG 2024,,,,,,,,,,,,0
J,"Zech, P; Burger, P; Hammes, S; Geisler-Moroder, D; Breu, R",,,,"Zech, Philipp; Burger, Peter; Hammes, Sascha; Geisler-Moroder, David; Breu, Ruth",,,BIMReason: Validating BIM model correctness,BAUPHYSIK,,,,,,,,,,BIM; reasoning; model checking; model correctness; semantisches Schlussfolgern; Modell & uuml;berpr & uuml;fung; Modellkorrektheit,INDUSTRY,"Compliance inspections and building analysis are critical to the success of any construction project. At present, such assessments are primarily conducted manually by experts in the architecture, engineering and construction (AEC) sector resulting in a tedious, labor-intensive, and generally inefficient undertaking. Yet, with the gradual adoption of Building Information Modeling (BIM), automated building analysis and compliance checking become feasible. The Industry Foundation Classes (IFC) has received a lot of traction in the AEC industry as a vendor-neutral data model. Its well-defined semantics can be exploited by reasoning engines that allow for semantic reasoning on building models, the core mechanism required for automated compliance checking and building analysis. In this paper, a general-purpose model checking framework for IFC building models, as well as an appropriate specification layout are introduced. Model checking via semantic reasoning is realized using various technologies from the Semantic Web. To present and evaluate our implementation, a sample specification is developed and tested on two IFC building models. BIMResaon - Validierung der Richtigkeit von BIM-ModellenKontrollmechanismen zur Einhaltung von Vorschriften und Durchf & uuml;hrung von Geb & auml;udeanalysen sind f & uuml;r den Erfolg eines jeden Bauvorhabens von entscheidender Bedeutung. Gegenw & auml;rtig werden solche Bewertungen haupts & auml;chlich manuell von Experten aus den Bereichen Architektur, Ingenieur- und Bauwesen (AEC-Branche) durchgef & uuml;hrt, was zu einem langwierigen, arbeitsintensiven und im Allgemeinen ineffizienten Unterfangen f & uuml;hren kann. Mit der schrittweisen Einf & uuml;hrung der Geb & auml;udedatenmodellierung (Building Information Modeling, kurz BIM) werden jedoch automatisierte Geb & auml;udeanalysen und Konformit & auml;tspr & uuml;fungen m & ouml;glich. Insbesondere die industry foundation classes (IFC) haben sich in der AEC-Branche als herstellerneutrales Datenmodell durchgesetzt. Die gut definierte Semantik kann von Reasoning Engines genutzt werden, um semantisches Schlussfolgern (reasoning) aus Geb & auml;udemodellen zu ziehen - was den Kernmechanismus darstellt, der f & uuml;r die automatisierte Konformit & auml;tspr & uuml;fung und Geb & auml;udeanalyse erforderlich ist. In diesem Beitrag werden dazu ein allgemeines Framework f & uuml;r die Pr & uuml;fung von IFC-Geb & auml;udemodellen sowie ein geeignetes Spezifikationslayout f & uuml;r Pr & uuml;fregeln vorgestellt. Die Modellpr & uuml;fung durch semantisches Reasoning wird mit Hilfe verschiedener Technologien aus dem Semantic Web realisiert. Um unsere Implementierung zu demonstrieren und zu evaluieren, wird eine Beispielspezifikation entwickelt und an zwei IFC-Geb & auml;udemodellen getestet.",,,,,,,,,,,,,,,,,,,,,,,,DEC,2024,46,6,,,,,332,339,,10.1002/bapi.202400035,0,,,,,,,,,,,,,,0
J,"Li, SH; Jiang, ZY; Xu, Z",,,,"Li, Sihao; Jiang, Ziyang; Xu, Zhao",,,BIM-Based Model Checking: A Scientometric Analysis and Critical Review,APPLIED SCIENCES-BASEL,,,,,,,,,,building information modeling (BIM); automated compliance checking; scientometrics; critical review; industry foundation classes (IFC),CODE COMPLIANCE CHECKING; RULE CHECKING; AEC INDUSTRY; INFORMATION EXTRACTION; SEMANTIC APPROACH; DATA EXCHANGE; VALIDATION; SYSTEM; REQUIREMENTS; ELEMENT,"Building information modeling (BIM) has been widely applied throughout the entire lifecycle of projects in the architecture, engineering, and construction (AEC) industry. The errors in BIM models can lead to significant losses in engineering projects, thus leading to BIM-based model checking (BMC) technology garnering an increasing amount of attention. Despite numerous documents detailing the BMC process, there is a lack of systematic analysis and visualization of existing research. This study employs a combined approach of scientometric analysis and a critical review to survey articles on BMC published from 2008 to 2024 in the Web of Science (WOS) and Scopus databases. The scientific analysis objectively presents the status and evolution of this research field through quantitative data, including publications, authors, and references. Furthermore, the critical review is employed to analyze the content of the articles, summarizing the topics and challenges of current research. Finally, potential promising directions for future development are proposed.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2025,15,1,,,,,,,49,10.3390/app15010049,0,,,,,,,,,,,,,,0
J,[Anonymous],,,,[Anonymous],,,Automated compliance checking for BIM models based on Chinese-NLP and knowledge graph: an integrative conceptual framework,ASIAN JOURNAL OF ENDOSCOPIC SURGERY,,,,,,,,,,Building information modeling; Knowledge graph; Natural language processing; Deep learning; Automatic checking,SYSTEM,"Purpose - The compliance checking of Building Information Modeling (BIM) models is crucial throughout the lifecycle of construction. The increasing amount and complexity of information carried by BIM models have made compliance checking more challenging, and manual methods are prone to errors. Therefore, this study aims to propose an integrative conceptual framework for automated compliance checking of BIM models, allowing for the identification of errors within BIM models. Design/methodology/approach - This study first analyzed the typical building standards in the field of architecture and fire protection, and then the ontology of these elements is developed. Based on this, a building standard corpus is built, and deep learning models are trained to automatically label the building standard texts. The Neo4j is utilized for knowledge graph construction and storage, and a data extraction method based on the Dynamo is designed to obtain checking data files. After that, a matching algorithm is devised to express the logical rules of knowledge graph triples, resulting in automated compliance checking for BIM models. Findings - Case validation results showed that this theoretical framework can achieve the automatic construction of domain knowledge graphs and automatic checking of BIM model compliance. Compared with traditional methods, this method has a higher degree of automation and portability. Originality/value - This study introduces knowledge graphs and natural language processing technology into the field of BIM model checking and completes the automated process of constructing domain knowledge graphs and checking BIM model data. The validation of its functionality and usability through two case studies on a self-developed BIM checking platform.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2025,18,1,,,,,3832,3856,,10.1108/ECAM-10-2023-1037,0,,MAR 2024,,,,,,,,,,,,0
J,"Wang, YK; Liu, Y; Cai, HZ; Wang, J; Zhou, XP",,,,"Wang, Yukang; Liu, Yue; Cai, Haozhe; Wang, Jia; Zhou, Xiaoping",,,An Automated Fire Code Compliance Checking Jointly Using Building Information Models and Natural Language Processing,FIRE-SWITZERLAND,,,,,,,,,,fire safety; automated compliance checking (ACC); building information modeling (BIM); natural language processing (NLP); spatial geometry checking,DATA EXCHANGE; BIM; RULE; LOGIC,"Fire checking is indispensable for guaranteeing the fire safety of buildings as it reviews the compliance of the building with fire codes and regulations. Automated Compliance Checking (ACC) systems that check building data utilizing Building Information Modeling (BIM) against fire codes have emerged as an active field of research. Substantial efforts have focused on analyzing the properties of the building components. However, the analysis of the spatial geometric relationships of building components has received inadequate attention. The present study proposes a novel ACC system leveraging Natural Language Processing (NLP) techniques to review the spatial geometric relationships of building components in BIM models. First, a framework for a BIM-based ACC system is delineated and decomposes ACC into three constituent subtasks: building model parsing, code knowledge translation, and compliance check result reporting. Second, an approach for structured processing of spatial geometric stipulations in fire codes using NLP is presented to review the geometric relationships between components in building models. Finally, the system's performance is assessed by testing fire code compliance across various building types utilizing BIM models. The empirical findings demonstrate that the system achieves superior recall compared with the manually formulated gold standard, with the ACC system enabling quick, accurate, and comprehensive automated compliance checking.",,,,,,,,,,,,,,,,,,,,,,,,SEP,2023,6,9,,,,,,,358,10.3390/fire6090358,0,,,,,,,,,,,,,,0
J,"Madireddy, S; Gao, L; Din, ZU; Kim, K; Senouci, A; Han, Z; Zhang, YP",,,,"Madireddy, Soumya; Gao, Lu; Din, Zia Ud; Kim, Kinam; Senouci, Ahmed; Han, Zhe; Zhang, Yunpeng",,,Large Language Model-Driven Code Compliance Checking in Building Information Modeling,ELECTRONICS,,,,,,,,,,BIM; semi-automated compliance checking; code compliance checking; AI; LLM,,"This research addresses the time-consuming and error-prone nature of manual code compliance checking in Building Information Modeling (BIM) by introducing a Large Language Model (LLM)-driven approach to semi-automate this critical process. The developed system integrates LLMs such as ChatGPT, Claude, Gemini, and Llama, with Revit software to interpret building codes, generate Python scripts, and perform semi-automated compliance checks within the BIM environment. Case studies on a single-family residential project and an office building project demonstrated the system's ability to reduce the time and effort required for compliance checks while improving accuracy. It streamlined the identification of violations, such as non-compliant room dimensions, material usage, and object placements, by automatically assessing relationships and generating actionable reports. Compared to manual methods, the system eliminated repetitive tasks, simplified complex regulations, and ensured reliable adherence to standards. By offering a comprehensive, adaptable, and cost-effective solution, this proposed approach offers a promising advancement in BIM-based compliance checking, with potential applications across diverse regulatory documents in construction projects.",,,,,,,,,,,,,,,,,,,,,,,,MAY 24,2025,14,11,,,,,,,2146,10.3390/electronics14112146,0,,,,,,,,,,,,,,0
J,"Zhu, SM; Zhou, JL; Cheng, L; Fu, XH; Wang, Y; Dai, KX",,,,"Zhu, Simiao; Zhou, Jianliang; Cheng, Lei; Fu, Xuehai; Wang, Yan; Dai, Kexin",,,Research on a BIM Model Quality Compliance Checking Method Based on a Knowledge Graph,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,,,,,,,,,Knowledge graph; Building information model; Automated checking; Rule base; C#; Revit secondary development,SEMANTIC APPROACH; FRAMEWORK; SYSTEM,"With the development of information technology, building information modeling (BIM) is becoming widely used in the construction industry. It is very important to ensure the quality and compliance of BIM models. To solve the problem of time-consuming and laborious traditional checking methods and the limitation that existing software hard coding cannot adapt to rule changes, this paper proposes a BIM model quality compliance checking method based on knowledge graph that can quickly check BIM models through automated checking and ensure the modeling quality of BIM models. Firstly, knowledge extraction for BIM modeling standards and delivery standards is carried out based on knowledge graph technology to structurally represent text. Then, Revit secondary development technology and the C# programming language are adopted to develop a BIM model quality compliance checking system based on the knowledge graph analysis results and the structured query language (SQL) built-in rule knowledge base. Based on the knowledge base, the BIM model is automatically checked for quality compliance, and the naming, material, parameters, and rationality of each professional component are checked. Next, it is checked whether it conforms to the standard. Finally, the model modification plan is provided by checking the problem components and noncompliance details. The case application results show that the BIM model quality compliance checking system developed based on knowledge graph technology can identify defects or errors that do not meet the standards in the model, verify the feasibility and practicability of the system, and provide a new method for BIM designers to modify and improve the model.",,,,,,,,,,,,,,,,,,,,,,,,JAN 1,2025,39,1,,,,,,,4024049,10.1061/JCCEE5.CPENG-5950,0,,,,,,,,,,,,,,0
J,"Ismail, AS; Ali, KN; Iahad, NA; Kassem, MA; Al-Ashwal, NT",,,,"Ismail, Aimi Sara; Ali, Kherun Nita; Iahad, Noorminshah A.; Kassem, Mukhtar A.; Al-Ashwal, Najib Taher",,,BIM-Based Automated Code Compliance Checking System in Malaysian Fire Safety Regulations: A User-Friendly Approach,BUILDINGS,,,,,,,,,,building information modelling; compliance checking; semantics; knowledge representation; visual programming language,BUILDING CODES; KNOWLEDGE; MODEL; INFRASTRUCTURE; REPRESENTATION,"Developing automated code compliance checking systems is becoming increasingly complex-to the extent of challenging the implementation of these systems. This paper addresses the need to develop an automated system that prioritises user accessibility. Accordingly, the study aims to develop a system through a semi-automated rule translation process and the utilisation of BIM models in native file format. A total of 256 fire safety clauses in Malaysian regulations were translated through logic-based approaches (classification technique, decomposition through semantic mark-up method, and interview method), which further assisted in identifying the necessary BIM properties. A visual programming language was then utilised to demonstrate the proof-of-concept prototype. The classification technique and semantic mark-up method were established and structured in this study by developing a framework and flowchart to provide specific guidelines for formalizing the clauses. The semi-automated translation process encouraged the participation of relevant regulatory experts and provided more user accessibility compared to existing studies. This study also offered more practicality for designers to employ the system by utilizing native BIM model data representation. High mean scores ranging from 4.09 to 4.96 were obtained for the validation process, which affirmed the feasibility of the BIM-based Automated System for Malaysian Code Compliance Checking (BIMSMACC) to assist designers.",,,,,,,,,,,,,,,,,,,,,,,,JUN,2023,13,6,,,,,,,1404,10.3390/buildings13061404,0,,,,,,,,,,,,,,0
C,"Purushotham, N; Kailashnath, C; Mutis, I",,"Turkan, Y; Louis, J; Leite, F; Ergan, S",,"Purushotham, Nishanth; Kailashnath, Chethan; Mutis, Ivan",,,Towards an Intelligent Automated Building Code Compliance System,"COMPUTING IN CIVIL ENGINEERING 2023-DATA, SENSING, AND ANALYTICS",,,,,,,,,,Code Compliance; Building Code Automatic Checking; Natural Language Processing (NLP); Industry foundation class (IFC),,"An automated intelligent building code compliance methodology using a flexible and adaptable BIM authoring tool is presented. The method is designed to use minimal computing resources in different contexts of code applications. The innovation utilizes the complete corpus of the building code as input for compliance checking. Current research developments use specific sections of the code that focus only on parts of the building code without making inferences to subsections or other building codes. The approach uses natural language processing techniques to generate an easy-to- process output [simplified comma-separated value (CSV) file] for rapid interpretation and further manipulation for review and modifications of the generated ruleset, thereby increasing the accuracy of the rule when needed. Simultaneously, the approach prevents the recreation of rulesets when inferred sections were previously generated, to ensure the integrity of IBC sections and subsections structure. This paper presents the data extraction and processing approach that generates computer-readable rules using building code paragraphs. Future work will incorporate methods to fully process tables and figures to generate a comprehensive check and inference in compliance.",,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,51,58,,,,,,,,,,,,,,,,,0
