Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Karmakar, A; Kumar, VS",,,,"Karmakar, Ankan; Kumar, Venkata Santosh",,,Semantic BIM enrichment using a hybrid ML and rule-based framework for automated tenement compliance checking,AUTOMATION IN CONSTRUCTION,,,,,,,,,,Building information modeling; Semantic enrichment; Machine learning; Industry foundation classes; Automated code compliance checking,MODELS,"Semantic enrichment enhances BIM models by extracting structured information, improving their applicability for Automated Code Compliance Checking. Rule-based methods rely on well-defined conditions but struggle with tasks like space classification, where explicit checking rules are unavailable. Meanwhile, ML-based classification introduces adaptability but faces liability challenges due to misclassifications. This paper proposes a hybrid framework integrating ML for space classification and rule-based inferencing for tenement identification. The approach ensures that ML automates preprocessing, improving classification through meticulous feature engineering, while rule-based reasoning guarantees logical consistency during verification. Validated using realworld datasets from residential projects in Mumbai, India as a case, the ML-based space classification component achieves an F1-score of 0.85 and accuracy of 0.86, demonstrating its effectiveness. The deterministic tenement identification process delivers error-free results for various dwelling configurations, making it highly suitable for verification workflows. This study advances scalable BIM-based compliance systems by refining semantic enrichment methodologies for future applications.",,,,,,,,,,,,,,,,,,,,,,,,SEP,2025,177,,,,,,,,106369,10.1016/j.autcon.2025.106369,0,,,,,,,,,,,,,,0
J,"La Cava, L; Tagarelli, A",,,,"La Cava, Lucio; Tagarelli, Andrea",,,Safeguarding Decentralized Social Media: LLM Agents for Automating Community Rule Compliance,ONLINE SOCIAL NETWORKS AND MEDIA,,,,,,,,,,Content moderation; Large language models; Community rules; Mastodon,MASTODON; SCALE,"Ensuring content compliance with community guidelines is crucial for maintaining healthy online social environments. However, traditional human-based compliance checking struggles with scaling due to the increasing volume of user-generated content and a limited number of moderators. Recent advancements in Natural Language Understanding demonstrated by Large Language Models unlock new opportunities for automated content compliance verification. This work evaluates six AI-agents built on Open-LLMs for automated rule compliance checking in Decentralized Social Networks, a challenging environment due to heterogeneous community scopes and rules. By analyzing over 50,000 posts from hundreds of Mastodon servers, we find that AI-agents effectively detect non-compliant content, grasp linguistic subtleties, and adapt to diverse community contexts. Most agents also show high inter-rater reliability and consistency in score justification and suggestions for compliance. Human-based evaluation with domain experts confirmed the agents' reliability and usefulness, rendering them promising tools for semi-automated or human-in-the-loop content moderation systems. Warning: This manuscript may contain sensitive content as it quotes harmful/hateful social media posts.",,,,,,,,,,,,,,,,,,,,,,,,SEP,2025,48,,,,,,,,100319,10.1016/j.osnem.2025.100319,0,,,,,,,,,,,,,,0
J,"Abdelalim, AM; Elbeltagi, EE; Abdelgawad, M",,,,"Abdelalim, Ahmed Mohammed; Elbeltagi, Emad E.; Abdelgawad, Mohamed",,,Automated detection of building rules compliance using building information modelling,INTERNATIONAL JOURNAL OF APPLIED MANAGEMENT SCIENCE,,,,,,,,,,BIM; building information modelling; ACCCS; automated code compliance checking system; SMART-codes; SMC; Solibri model checker; EDM; express data manager model checker; the Unified Egyptian Building Law (No119/Year 2008); building permits,CODE COMPLIANCE CHECKING; BIM,"Issuance of buildings' permits prior to construction is vital process which requires the design drawings to abide by the governing regulations. There is an increasing demand for maintaining the compliance process with accuracy, quality and timeliness. The responsibility is majorly done by governmental authorities manually in many countries worldwide, having human errors, as well as wasting time and efforts. This paper presents an automated compliance checking model for residential buildings using building information modelling (BIM). The proposed model is carried out through interpretation of the building rules, rules-set creation, and the process of classifying architectural elements. Eventually, a compliance report is issued, whether pass or fail, in addition to identifying the non-compliance elements. A case study based on the Egyptian Construction Legislation was presented, 110 face-to-face interviews were conducted with experts to validate the model applicability. Results showed the model has positive impact and fade away the disadvantages of manual checking.",,,,,,,,,,,,,,,,,,,,,,,,,2024,16,2,,,,,,,,10.1504/IJAMS.2024.138650,0,,,,,,,,,,,,,,0
J,"Bhuiyan, H; Governatori, G; Bond, A; Rakotonirainy, A",,,,"Bhuiyan, Hanif; Governatori, Guido; Bond, Andy; Rakotonirainy, Andry",,,Traffic rules compliance checking of automated vehicle maneuvers,ARTIFICIAL INTELLIGENCE AND LAW,,,,,,,,,,Automated vehicle; Defeasible deontic logic; Logical reasoning; Ontology knowledge base; Overtaking maneuver; Traffic rule formalization,AUTONOMOUS VEHICLES; DECISION-MAKING; LOGIC,"Automated Vehicles (AVs) are designed and programmed to follow traffic rules. However, there is no separate and comprehensive regulatory framework dedicated to AVs. The current Queensland traffic rules were designed for humans. These rules often contain open texture expressions, exceptions, and potential conflicts (conflict arises when exceptions cannot be handled in rules), which makes it hard for AVs to follow. This paper presents an automatic compliance checking framework to assess AVs behaviour against current traffic rules by addressing these issues. Specifically, it proposes a framework to determine which traffic rules and open texture expressions need some additional interpretation. Essentially this enables AVs to have a suitable and executable formalization of the traffic rules. Defeasible Deontic Logic (DDL) is used to formalize traffic rules and reasoning with AV information (behaviour and environment). The representation of rules in DDL helps effectively in handling and resolving exceptions, potential conflicts, and open textures in rules. 40 experiments were conducted on eight realistic traffic scenarios to evaluate the framework. The evaluation was undertaken both quantitatively and qualitatively. The evaluation result shows that the proposed framework is a promising system for checking Automated Vehicle interpretation and compliance with current traffic rules.",,,,,,,,,,,,,,,,,,,,,,,,MAR,2024,32,1,,,,,1,56,,10.1007/s10506-022-09340-9,0,,JAN 2023,,,,,,,,,,,,0
J,"Zhu, SM; Zhou, JL; Cheng, L; Fu, XH; Wang, Y; Dai, KX",,,,"Zhu, Simiao; Zhou, Jianliang; Cheng, Lei; Fu, Xuehai; Wang, Yan; Dai, Kexin",,,Research on a BIM Model Quality Compliance Checking Method Based on a Knowledge Graph,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,,,,,,,,,Knowledge graph; Building information model; Automated checking; Rule base; C#; Revit secondary development,SEMANTIC APPROACH; FRAMEWORK; SYSTEM,"With the development of information technology, building information modeling (BIM) is becoming widely used in the construction industry. It is very important to ensure the quality and compliance of BIM models. To solve the problem of time-consuming and laborious traditional checking methods and the limitation that existing software hard coding cannot adapt to rule changes, this paper proposes a BIM model quality compliance checking method based on knowledge graph that can quickly check BIM models through automated checking and ensure the modeling quality of BIM models. Firstly, knowledge extraction for BIM modeling standards and delivery standards is carried out based on knowledge graph technology to structurally represent text. Then, Revit secondary development technology and the C# programming language are adopted to develop a BIM model quality compliance checking system based on the knowledge graph analysis results and the structured query language (SQL) built-in rule knowledge base. Based on the knowledge base, the BIM model is automatically checked for quality compliance, and the naming, material, parameters, and rationality of each professional component are checked. Next, it is checked whether it conforms to the standard. Finally, the model modification plan is provided by checking the problem components and noncompliance details. The case application results show that the BIM model quality compliance checking system developed based on knowledge graph technology can identify defects or errors that do not meet the standards in the model, verify the feasibility and practicability of the system, and provide a new method for BIM designers to modify and improve the model.",,,,,,,,,,,,,,,,,,,,,,,,JAN 1,2025,39,1,,,,,,,4024049,10.1061/JCCEE5.CPENG-5950,0,,,,,,,,,,,,,,0
J,"Johansen, KW; Teizer, J; Schultz, C",,,,"Johansen, K. W.; Teizer, J.; Schultz, C.",,,Automated rule-based safety inspection and compliance checking of temporary guardrail systems in construction,AUTOMATION IN CONSTRUCTION,,,,,,,,,,Automated construction safety inspection; Construction safety ontology; Continuous inspection; Digital safety rule-checking and reasoning; Fall protection systems; Rule-based inference; Photogrammetry; Point cloud data; Human-assisted decision-making software tools,HAZARD IDENTIFICATION; BIM; PREVENTION,"The construction industry records more hazards compared to any other sector. Protective equipment, such as guardrail systems, is essential for protecting workers from deadly falls but may quickly become incompliant after installation. Yet, many construction projects do not have the resources to dedicate personnel to perform the inspection as frequently as needed. Therefore, this paper proposes an automated rule-based inspection and compliance-checking system that can assist the responsible personnel in detecting faulty guardrails in live work environments. The classification approach utilizes safety design and mimics the steps of human guardrailing compliance assessment, which enforces simplicity and transparency, allowing the human domain expert to remain in control. Even under scarce data availability, this first-of-a-kind classification approach is reliable and scalable and successfully classifies 21 predefined and 9 validation scenarios of guardrail systems for fall protection.",,,,,,,,,,,,,,,,,,,,,,,,DEC 15,2024,168,,B,,,,,,105849,10.1016/j.autcon.2024.105849,0,,NOV 2024,,,,,,,,,,,,0
C,"Lee, C; Yeo, K; Dritsas, S",,"Gardner, N; Herr, CM; Wang, L; Toshiki, H; Khan, SA",,"Lee, Cheryl; Yeo, Khystelle; Dritsas, Stylianos",,,BIM-ENABLED REGULATORY DESIGN RULE CHECKING FOR BUILDING CIRCULATION,"PROCEEDINGS OF THE 29TH INTERNATIONAL CONFERENCE OF THE ASSOCIATION FOR COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA, CAADRIA 2024, VOL 1",International Conference on Computer-Aided Architectural Design Research in Asia,,,,,,,,,Design Rule Checking; Building Information Modelling; Building circulation; Network analysis,KNOWLEDGE,"Automated design rule checking (RDC) in Building Information Modelling (BIM) can be challenging especially when dealing with qualitative aspects and intricate regulations like building circulation. The study proposes a novel method for Regulatory Design Rule Checking (RDRC) for building circulation, addressing challenges in translating regulations to computational constructs and extracting relevant information from complex BIM models. Through a tiered compliance assessment, the investigation considers preventive rule-based checks for doors and corridors and explores constraint-based regulatory incentive schemes such as through-block pedestrian links (TBPL). The RDRC analysis identifies non-compliance and concludes with a recommendation for potential adjustments. This work aims to benefit designers and regulators, providing productivity enhancements and a deeper understanding of regulatory intricacies in the context of building circulation.",,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,211,220,,,,,,,,,,,,,,,,,0
J,"Wang, YK; Liu, Y; Cai, HZ; Wang, J; Zhou, XP",,,,"Wang, Yukang; Liu, Yue; Cai, Haozhe; Wang, Jia; Zhou, Xiaoping",,,An Automated Fire Code Compliance Checking Jointly Using Building Information Models and Natural Language Processing,FIRE-SWITZERLAND,,,,,,,,,,fire safety; automated compliance checking (ACC); building information modeling (BIM); natural language processing (NLP); spatial geometry checking,DATA EXCHANGE; BIM; RULE; LOGIC,"Fire checking is indispensable for guaranteeing the fire safety of buildings as it reviews the compliance of the building with fire codes and regulations. Automated Compliance Checking (ACC) systems that check building data utilizing Building Information Modeling (BIM) against fire codes have emerged as an active field of research. Substantial efforts have focused on analyzing the properties of the building components. However, the analysis of the spatial geometric relationships of building components has received inadequate attention. The present study proposes a novel ACC system leveraging Natural Language Processing (NLP) techniques to review the spatial geometric relationships of building components in BIM models. First, a framework for a BIM-based ACC system is delineated and decomposes ACC into three constituent subtasks: building model parsing, code knowledge translation, and compliance check result reporting. Second, an approach for structured processing of spatial geometric stipulations in fire codes using NLP is presented to review the geometric relationships between components in building models. Finally, the system's performance is assessed by testing fire code compliance across various building types utilizing BIM models. The empirical findings demonstrate that the system achieves superior recall compared with the manually formulated gold standard, with the ACC system enabling quick, accurate, and comprehensive automated compliance checking.",,,,,,,,,,,,,,,,,,,,,,,,SEP,2023,6,9,,,,,,,358,10.3390/fire6090358,0,,,,,,,,,,,,,,0
J,"Ren, QB; Zhang, DL; Li, MC; Chen, S; Tian, D; Li, H; Liu, LP",,,,"Ren, Qiubing; Zhang, Dongliang; Li, Mingchao; Chen, Shu; Tian, Dan; Li, Heng; Liu, Leping",,,Automatic quality compliance checking in concrete dam construction: Integrating rule syntax parsing and semantic distance,ADVANCED ENGINEERING INFORMATICS,,,,,,,,,,Concrete dam; Construction quality; Automatic compliance checking; Entity knowledge extraction; Syntax parsing tree; Semantic alignment,CODE COMPLIANCE CHECKING; BIM; SYSTEM; INSPECTION,"The compliance checking of concrete dam construction quality often relies on the manual reference of specifications, which is time-consuming, labor-intensive, and prone to errors. Automating compliance checking is an effective means of ensuring the quality of dams. However, using computers to match and compare quality record texts with specification provisions remains challenging. Due to the numerous specifications and diverse forms of constraints in dam construction, as well as unstructured and non-standard quality records, semantic differences exist between quality records and specifications that prevent timely quality control, making it necessary to develop a complete and efficient construction quality compliance checking framework. To address these issues, an automatic construction quality compliance checking method based on rule syntax parsing and phrase semantic distance was proposed in this work. First, key entity knowledge was determined and automatically extracted. Then, syntax parsing rules were defined, and the parsing algorithm was used to assemble the key entities into syntax trees. Then, specification and quality record syntax trees were aligned based on node semantic distance. Finally, a scoring process was designed to achieve automatic compliance checking of concrete dam construction quality. The experiments showed that the entity knowledge extraction F1 value of the proposed method was 12.89% higher than similar models, and the checking accuracy was 88.89%, with excellent applicability to both quantitative and qualitative specification constraints. The proposed method constructed a complete quality compliance checking framework for the construction field, automatically obtaining precise scores as checking results, saving considerable time compared to manual checking, and promoting compliance checking throughout the entire lifecycle of construction.",,,,,,,,,,,,,,,,,,,,,,,,APR,2024,60,,,,,,,,102409,10.1016/j.aei.2024.102409,0,,FEB 2024,,,,,,,,,,,,0
J,[Anonymous],,,,[Anonymous],,,Automated compliance checking for BIM models based on Chinese-NLP and knowledge graph: an integrative conceptual framework,ASIAN JOURNAL OF ENDOSCOPIC SURGERY,,,,,,,,,,Building information modeling; Knowledge graph; Natural language processing; Deep learning; Automatic checking,SYSTEM,"Purpose - The compliance checking of Building Information Modeling (BIM) models is crucial throughout the lifecycle of construction. The increasing amount and complexity of information carried by BIM models have made compliance checking more challenging, and manual methods are prone to errors. Therefore, this study aims to propose an integrative conceptual framework for automated compliance checking of BIM models, allowing for the identification of errors within BIM models. Design/methodology/approach - This study first analyzed the typical building standards in the field of architecture and fire protection, and then the ontology of these elements is developed. Based on this, a building standard corpus is built, and deep learning models are trained to automatically label the building standard texts. The Neo4j is utilized for knowledge graph construction and storage, and a data extraction method based on the Dynamo is designed to obtain checking data files. After that, a matching algorithm is devised to express the logical rules of knowledge graph triples, resulting in automated compliance checking for BIM models. Findings - Case validation results showed that this theoretical framework can achieve the automatic construction of domain knowledge graphs and automatic checking of BIM model compliance. Compared with traditional methods, this method has a higher degree of automation and portability. Originality/value - This study introduces knowledge graphs and natural language processing technology into the field of BIM model checking and completes the automated process of constructing domain knowledge graphs and checking BIM model data. The validation of its functionality and usability through two case studies on a self-developed BIM checking platform.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2025,18,1,,,,,3832,3856,,10.1108/ECAM-10-2023-1037,0,,MAR 2024,,,,,,,,,,,,0
