Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Chen, NJ; Lin, XH; Jiang, H; An, Y",,,,"Chen, Nanjiang; Lin, Xuhui; Jiang, Hai; An, Yi",,,Automated Building Information Modeling Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,BUILDINGS,,,,,,,,,,automated compliance check; large language models (LLMs); deep learning; ontology knowledge models; BIM; design regulations,,"Ensuring compliance with complex industry standards and regulations during the design and implementation phases of construction projects is a significant challenge in the building information modeling (BIM) domain. Traditional manual compliance checking methods are inefficient and error-prone, failing to meet modern engineering demands. Natural language processing (NLP) and deep learning methods have improved efficiency and accuracy in rule interpretation and compliance checking. However, these methods still require extensive manual feature engineering, large, annotated datasets, and significant computational resources. Large language models (LLMs) provide robust language understanding with minimal labeled data due to their pre-training and few-shot learning capabilities. However, their application in the AEC field is still limited by the need for fine-tuning for specific tasks, handling complex texts with nested clauses and conditional statements. This study introduces an innovative automated compliance checking framework that integrates LLM, deep learning models, and ontology knowledge models. The use of LLM is motivated by its few-shot learning capability, which significantly reduces the need for large, annotated datasets required by previous methods. Deep learning is employed to preliminarily classify regulatory texts, which further enhances the accuracy of structured information extraction by the LLM compared to directly feeding raw data into the LLM. This novel combination of deep learning and LLM significantly enhances the efficiency and accuracy of compliance checks by automating the processing of regulatory texts and reducing manual intervention. This approach is crucial for architects, engineers, project managers, and regulators, providing a scalable and adaptable solution for automated compliance in the construction industry with broad application prospects.",,,,,,,,,,,,,,,,,,,,,,,,JUL,2024,14,7,,,,,,,1983,10.3390/buildings14071983,0,,,,,,,,,,,,,,0
J,"Li, YC; Yang, MS; Zhao, Q; Li, ZJ; Ma, ZX; Liu, YH; Hei, XH",,,,"Li, Yuchao; Yang, Mingsong; Zhao, Qin; Li, Zongjian; Ma, Zhaoxi; Liu, Yunhe; Hei, Xinhong",,,A Semantic Representation Method of Building Codes Applied to Compliance Checking,MATHEMATICS,,,,,,,,,,compliance checking; spatial relationship calculation; code representation model; ontology,INDUSTRY; RULE; KNOWLEDGE; FRAMEWORK; SYSTEM; IFCOWL,"Compliance checking is a very important step in engineering construction. With the development of information technology, automated compliance checking (ACC) has been paid more and more attention by researchers. One of the most important steps in automated compliance checking is the representation of the code information. However, the relationship constraint is often ignored in the code information and spatial geometric relationship is challenging to represent. The general code representation method does not have enough ability to identify the situation that does not meet the checking conditions because it is easy to cause semantic ambiguity in the checking results. This paper proposes a code representation method, and the building code information is represented in five parts. Relationships in the engineering domain and spatial relationships can be represented in constraint mode; different spatial relationship constraint-checking methods are also explicated. Constraint subject and constraint item can distinguish checking conditions and requirements, which supports semantic checking results. The mapping between the building information ontology and the code concepts is established, which can be used to automatically generate reasoning rules for compliance checking. Finally, the proposed method is verified by the representation of the China Metro Design Code and the application of the actual Metro model.",,,,,,,,,,,,,,,,,,,,,,,,JUN 1,2023,11,11,,,,,,,2552,10.3390/math11112552,0,,,,,,,,,,,,,,0
C,"Anim, JK; Robaldo, L; Wyner, A",,"Takama, Y; Satoh, K; Nguyen, LM; Bono, M; Kurahashi, S",,"Anim, Joseph K.; Robaldo, Livio; Wyner, Adam",,,Compliance Checking in the Energy Domain via W3C Standards,"NEW FRONTIERS IN ARTIFICIAL INTELLIGENCE, JSAI-ISAI 2023 INTERNATIONAL WORKSHOPS- JURISIN, SCIDOCA, EMSEMI AND AI-BIZ 2023",Lecture Notes in Artificial Intelligence,,,,,,,,,Compliance checking; W3C standards; symbolic AI,LEGAL KNOWLEDGE; ONTOLOGIES; OWL,"This paper investigates the use of W3C standards, specifically RDF, OWL, SPARQL, and SHACL, to automate legal compliance checking. We consider in particular in-force regulations for extracting oil and gas in Ghana to exemplify our proposed model. This paper models some selected norms from these regulations into a sample RDF ontology along with inference rules to check their compliance with respect to a given state of affairs. The paper's main finding is that inferences enabled by OWL and SHACL shapes are not expressive enough to represent some existing legal requirements, specifically those imposing constraints on metadata about RDF individuals. To achieve the required expressivity, it is proposed that SHACL-SPARQL rules should be instead used.",,,,,,,,,,,,,,,,,,,,,,,,,2024,14644,,,,,,3,18,,10.1007/978-3-031-60511-6_1,0,,,,,,,,,,,,,,0
J,[Anonymous],,,,[Anonymous],,,Automated compliance checking for BIM models based on Chinese-NLP and knowledge graph: an integrative conceptual framework,ASIAN JOURNAL OF ENDOSCOPIC SURGERY,,,,,,,,,,Building information modeling; Knowledge graph; Natural language processing; Deep learning; Automatic checking,SYSTEM,"Purpose - The compliance checking of Building Information Modeling (BIM) models is crucial throughout the lifecycle of construction. The increasing amount and complexity of information carried by BIM models have made compliance checking more challenging, and manual methods are prone to errors. Therefore, this study aims to propose an integrative conceptual framework for automated compliance checking of BIM models, allowing for the identification of errors within BIM models. Design/methodology/approach - This study first analyzed the typical building standards in the field of architecture and fire protection, and then the ontology of these elements is developed. Based on this, a building standard corpus is built, and deep learning models are trained to automatically label the building standard texts. The Neo4j is utilized for knowledge graph construction and storage, and a data extraction method based on the Dynamo is designed to obtain checking data files. After that, a matching algorithm is devised to express the logical rules of knowledge graph triples, resulting in automated compliance checking for BIM models. Findings - Case validation results showed that this theoretical framework can achieve the automatic construction of domain knowledge graphs and automatic checking of BIM model compliance. Compared with traditional methods, this method has a higher degree of automation and portability. Originality/value - This study introduces knowledge graphs and natural language processing technology into the field of BIM model checking and completes the automated process of constructing domain knowledge graphs and checking BIM model data. The validation of its functionality and usability through two case studies on a self-developed BIM checking platform.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2025,18,1,,,,,3832,3856,,10.1108/ECAM-10-2023-1037,0,,MAR 2024,,,,,,,,,,,,0
J,"Chen, Y; Jiang, HX",,,,"Chen, Yian; Jiang, Huixian",,,Optimizing automated compliance checking with ontology-enhanced natural language processing: Case in the fire safety domain,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,,,,,,,,,Ontology automatic construction; Automated compliance checking (ACC); Named entity recognition; Relationship extraction; Pre-trained language model; Rule interpretation,RELATION EXTRACTION,"The fire safety compliance checking (FSCC) plays a crucial role in ensuring the quality of fire engineering design and eliminating inherent fire hazards. It requires an objective and rational interpretation of fire regulations. However, the texts of fire regulations are filled with numerous rules related to spatial limitations, which pose a significant challenge in interpreting them. The current method of interpreting these rules mostly relies on manual translation, which is not efficient. To address this issue, this study proposes an innovative automated framework for interpreting rules by combining ontology technology with natural language processing (NLP). Through the utilization of pre-trained language models (PLMs), concepts and relationships are extracted from sentences, a domain-specific ontology is established, spatial knowledge is transformed into language-agnostic tree structures based on the ontology, and the semantic components of spatial relationships are extracted. The tree structure is then mapped to logical clauses based on semantic consistency, thereby improving the efficiency of interpretation. Experimental results demonstrate that the architecture achieves an F1 score of 86.27 for entity extraction and 81.81 for spatial relationship joint extraction tasks, with an accuracy of 96.26% in the formalization of logical rules, highlighting its proficiency in automatically interpreting fire spatial rules. This study offers technical support to enhance public understanding of fire safety management and fire prevention predictions, thereby promoting the intelligent management of the building safety environment.",,,,,,,,,,,,,,,,,,,,,,,,DEC,2024,371,,,,,,,,123320,10.1016/j.jenvman.2024.123320,0,,NOV 2024,,,,,,,,,,,,0
J,"Patlakas, P; Christovasilis, I; Riparbelli, L; Cheung, FK; Vakaj, E",,,,"Patlakas, Panagiotis; Christovasilis, Ioannis; Riparbelli, Lorenzo; Cheung, Franco K. T.; Vakaj, Edlira",,,Semantic web-based automated compliance checking with integration of Finite Element analysis,ADVANCED ENGINEERING INFORMATICS,,,,,,,,,,Automatic Compliance Checking; Web Ontology Language (OWL); Industry Foundation Classes (IFC); Semantic Web; Finite Element Analysis (FEA),MODEL,"Automatic Compliance Checking (ACC) is a promising response to the challenges involved in meeting building and planning regulations, and increasingly utilised by researchers in the context of Building Information Modelling (BIM) and the Industry Foundation Classes (IFC). However, engineers often use computational methods, such as Finite Element Analysis (FEA), to solve challenging engineering problems. Such methods have received little attention in the context of ACC and BIM. The work presented here proposes a holistic approach, integrating FEA in the IFC schema, and utilising a Semantic Web-based system for ACC. A top-level ontology, the Building Compliance Ontology (BCO) is proposed, with the aim of covering all aspects of compliance in the Built Environment. One novelty of BCO is that it revolves around modelling statements in the building regulations, as opposed to the more common approach of modelling building components. In order to evaluate the effectiveness and applicability of this process, a real-world problem is used: the compliance to the structural engineering design codes of the structural members of a modular steel structure. An open-source solver is utilised for the FEA, and the IFC model is enriched with its results, using an open-source middleware for the Input/Output. BCO is extended to the field of structural engineering, and appropriate ACC classes and SHACL checks are implemented. Compliance is checked automatically by running SHACL scripts in a Semantic Web environment.",,,,,,,,,,,,,,,,,,,,,,,,AUG,2024,61,,,,,,,,102448,10.1016/j.aei.2024.102448,0,,MAR 2024,,,,,,,,,,,,0
J,"Johansen, KW; Teizer, J; Schultz, C",,,,"Johansen, K. W.; Teizer, J.; Schultz, C.",,,Automated rule-based safety inspection and compliance checking of temporary guardrail systems in construction,AUTOMATION IN CONSTRUCTION,,,,,,,,,,Automated construction safety inspection; Construction safety ontology; Continuous inspection; Digital safety rule-checking and reasoning; Fall protection systems; Rule-based inference; Photogrammetry; Point cloud data; Human-assisted decision-making software tools,HAZARD IDENTIFICATION; BIM; PREVENTION,"The construction industry records more hazards compared to any other sector. Protective equipment, such as guardrail systems, is essential for protecting workers from deadly falls but may quickly become incompliant after installation. Yet, many construction projects do not have the resources to dedicate personnel to perform the inspection as frequently as needed. Therefore, this paper proposes an automated rule-based inspection and compliance-checking system that can assist the responsible personnel in detecting faulty guardrails in live work environments. The classification approach utilizes safety design and mimics the steps of human guardrailing compliance assessment, which enforces simplicity and transparency, allowing the human domain expert to remain in control. Even under scarce data availability, this first-of-a-kind classification approach is reliable and scalable and successfully classifies 21 predefined and 9 validation scenarios of guardrail systems for fall protection.",,,,,,,,,,,,,,,,,,,,,,,,DEC 15,2024,168,,B,,,,,,105849,10.1016/j.autcon.2024.105849,0,,NOV 2024,,,,,,,,,,,,0
J,"Hagedorn, P; Fauth, J; Zentgraf, S; Seiss, S; König, M; Brilakis, I",,,,"Hagedorn, Philipp; Fauth, Judith; Zentgraf, Sven; Seiss, Sebastian; Koenig, Markus; Brilakis, Ioannis",,,OntoBPR: An ontology-based framework for performing building permit reviews using standardized information containers,ADVANCED ENGINEERING INFORMATICS,,,,,,,,,,Digital building permit; Building permit review; Ontology & semantic web; Information Container for linked Document Delivery (ICDD); Compliance checking; Shapes Constraint Language (SHACL); Shapes Constraint Language (SHACL),EXPRESS; IFCOWL; PRINCIPLES; OWL,"Building permitting is essential for ensuring the safety, sustainability, and societal alignment of construction projects. Despite interest from both practitioners and researchers, the process remains largely manual and fragmented. Ontologies offer a promising solution by managing complexity and enabling automation through semantic information, though current ontologies in the building permit domain are limited to specific aspects like building code checking. On the process level, the OntoBPR framework integrates multiple domain-specific ontologies for a seamless digital permitting process and provides a workflow to automate the lifecycle of the permit review. Therefore, it suggests integrating the submitted building application using standardized information containers. The paper explores how digital applications can be submitted, reviewed, verified for completeness, and forwarded to authorities, and how permit review results can be gathered to support decision-making and automate notification issuance, and it provides a demonstration in a case study. In conclusion, OntoBPR formalizes a multi-layered ontology that advances and aligns the partitioned building permit process and provides an adaptable framework to harmonize diverse legal, informatics, and procedural aspects.",,,,,,,,,,,,,,,,,,,,,,,,JUL,2025,66,,,,,,,,103369,10.1016/j.aei.2025.103369,0,,,,,,,,,,,,,,0
J,"Bhuiyan, H; Governatori, G; Bond, A; Rakotonirainy, A",,,,"Bhuiyan, Hanif; Governatori, Guido; Bond, Andy; Rakotonirainy, Andry",,,Traffic rules compliance checking of automated vehicle maneuvers,ARTIFICIAL INTELLIGENCE AND LAW,,,,,,,,,,Automated vehicle; Defeasible deontic logic; Logical reasoning; Ontology knowledge base; Overtaking maneuver; Traffic rule formalization,AUTONOMOUS VEHICLES; DECISION-MAKING; LOGIC,"Automated Vehicles (AVs) are designed and programmed to follow traffic rules. However, there is no separate and comprehensive regulatory framework dedicated to AVs. The current Queensland traffic rules were designed for humans. These rules often contain open texture expressions, exceptions, and potential conflicts (conflict arises when exceptions cannot be handled in rules), which makes it hard for AVs to follow. This paper presents an automatic compliance checking framework to assess AVs behaviour against current traffic rules by addressing these issues. Specifically, it proposes a framework to determine which traffic rules and open texture expressions need some additional interpretation. Essentially this enables AVs to have a suitable and executable formalization of the traffic rules. Defeasible Deontic Logic (DDL) is used to formalize traffic rules and reasoning with AV information (behaviour and environment). The representation of rules in DDL helps effectively in handling and resolving exceptions, potential conflicts, and open textures in rules. 40 experiments were conducted on eight realistic traffic scenarios to evaluate the framework. The evaluation was undertaken both quantitatively and qualitatively. The evaluation result shows that the proposed framework is a promising system for checking Automated Vehicle interpretation and compliance with current traffic rules.",,,,,,,,,,,,,,,,,,,,,,,,MAR,2024,32,1,,,,,1,56,,10.1007/s10506-022-09340-9,0,,JAN 2023,,,,,,,,,,,,0
J,"Peng, JL; Liu, XJ",,,,"Peng, Junlong; Liu, Xiangjun",,,Automated code compliance checking research based on BIM and knowledge graph,SCIENTIFIC REPORTS,,,,,,,,,,,FRAMEWORK; ONTOLOGY; DESIGN; NLP,"Automated code compliance checking plays an important role in moving the construction industry forward. While traditional drawing review relies on the identification of industry experts, the purpose of this study is to realize automatic code review by using BIM technology and knowledge graph technology. The method is based on knowledge graph to transform the specification provisions involved in the review of drawings into a computer-recognizable structured language using natural language processing technology to form a human-machine-readable knowledge graph pattern. For the review of BIM models, the BIM model information is exported and the global resource description framework of the building model is obtained in protege, and the review report is finally obtained after mapping rules and review rules. Finally, the feasibility of the method is verified by an example. This study can effectively solve the problems of manual dependency and inefficiency in the process of review.",,,,,,,,,,,,,,,,,,,,,,,,MAY 1,2023,13,1,,,,,,,7065,10.1038/s41598-023-34342-1,0,,,,,,,,,,,,,,0
