Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,[Anonymous],,,,[Anonymous],,,Automated compliance checking for BIM models based on Chinese-NLP and knowledge graph: an integrative conceptual framework,ASIAN JOURNAL OF ENDOSCOPIC SURGERY,,,,,,,,,,Building information modeling; Knowledge graph; Natural language processing; Deep learning; Automatic checking,SYSTEM,"Purpose - The compliance checking of Building Information Modeling (BIM) models is crucial throughout the lifecycle of construction. The increasing amount and complexity of information carried by BIM models have made compliance checking more challenging, and manual methods are prone to errors. Therefore, this study aims to propose an integrative conceptual framework for automated compliance checking of BIM models, allowing for the identification of errors within BIM models. Design/methodology/approach - This study first analyzed the typical building standards in the field of architecture and fire protection, and then the ontology of these elements is developed. Based on this, a building standard corpus is built, and deep learning models are trained to automatically label the building standard texts. The Neo4j is utilized for knowledge graph construction and storage, and a data extraction method based on the Dynamo is designed to obtain checking data files. After that, a matching algorithm is devised to express the logical rules of knowledge graph triples, resulting in automated compliance checking for BIM models. Findings - Case validation results showed that this theoretical framework can achieve the automatic construction of domain knowledge graphs and automatic checking of BIM model compliance. Compared with traditional methods, this method has a higher degree of automation and portability. Originality/value - This study introduces knowledge graphs and natural language processing technology into the field of BIM model checking and completes the automated process of constructing domain knowledge graphs and checking BIM model data. The validation of its functionality and usability through two case studies on a self-developed BIM checking platform.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2025,18,1,,,,,3832,3856,,10.1108/ECAM-10-2023-1037,0,,MAR 2024,,,,,,,,,,,,0
J,"Zhu, SM; Zhou, JL; Cheng, L; Fu, XH; Wang, Y; Dai, KX",,,,"Zhu, Simiao; Zhou, Jianliang; Cheng, Lei; Fu, Xuehai; Wang, Yan; Dai, Kexin",,,Research on a BIM Model Quality Compliance Checking Method Based on a Knowledge Graph,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,,,,,,,,,Knowledge graph; Building information model; Automated checking; Rule base; C#; Revit secondary development,SEMANTIC APPROACH; FRAMEWORK; SYSTEM,"With the development of information technology, building information modeling (BIM) is becoming widely used in the construction industry. It is very important to ensure the quality and compliance of BIM models. To solve the problem of time-consuming and laborious traditional checking methods and the limitation that existing software hard coding cannot adapt to rule changes, this paper proposes a BIM model quality compliance checking method based on knowledge graph that can quickly check BIM models through automated checking and ensure the modeling quality of BIM models. Firstly, knowledge extraction for BIM modeling standards and delivery standards is carried out based on knowledge graph technology to structurally represent text. Then, Revit secondary development technology and the C# programming language are adopted to develop a BIM model quality compliance checking system based on the knowledge graph analysis results and the structured query language (SQL) built-in rule knowledge base. Based on the knowledge base, the BIM model is automatically checked for quality compliance, and the naming, material, parameters, and rationality of each professional component are checked. Next, it is checked whether it conforms to the standard. Finally, the model modification plan is provided by checking the problem components and noncompliance details. The case application results show that the BIM model quality compliance checking system developed based on knowledge graph technology can identify defects or errors that do not meet the standards in the model, verify the feasibility and practicability of the system, and provide a new method for BIM designers to modify and improve the model.",,,,,,,,,,,,,,,,,,,,,,,,JAN 1,2025,39,1,,,,,,,4024049,10.1061/JCCEE5.CPENG-5950,0,,,,,,,,,,,,,,0
J,"Yang, MS; Zhao, Q; Zhu, L; Meng, HN; Chen, KH; Li, ZJ; Hei, XH",,,,"Yang, Mingsong; Zhao, Qin; Zhu, Lei; Meng, Haining; Chen, Kehai; Li, Zongjian; Hei, Xinhong",,,Semi-automatic representation of design code based on knowledge graph for automated compliance checking,COMPUTERS IN INDUSTRY,,,,,,,,,,Automated compliance checking (ACC); Design code representation; Knowledge graph (KG); Building information model (BIM); Building design,MODEL,"Automated compliance checking (ACC) intends to verify the compliance of designs in construction industry by design codes. The ability to interpret and represent semantic information of design codes determines the maximum application scope of ACC. However, design codes are clause texts written in natural languages and existing ACC studies usually use relatively low-complexity code clause samples. At present, the lack of an accurate representation model for design codes leads to difficulties in representing the implicit information, nested logic, and complex relations contained in high-complexity clauses in codes. To address this problem, this research establishes a new representation model based on knowledge graph (KG). Four schemas are proposed into the model including order, complex, event and integration schemas. Further, an accompanying methodology for semi-automatic construction of design code KG (DCKG) is proposed. It includes four parts: interpretation, reconstruction, organization, and implementation. Where the implementation part develops a code annotation platform. In the case study and experiment, a scenario of checking a building information model (BIM) of metro station by GB50157-2013 Code for Design of Metro is adopted to validate the newly proposed representation model and the automated compliance process. The results show that the proposed model and method are correct and feasible, and our model outperforms other models in the representation ability of design codes.",,,,,,,,,,,,,,,,,,,,,,,,SEP,2023,150,,,,,,,,103945,10.1016/j.compind.2023.103945,0,,MAY 2023,,,,,,,,,,,,0
J,"Peng, JL; Liu, XJ",,,,"Peng, Junlong; Liu, Xiangjun",,,Automated code compliance checking research based on BIM and knowledge graph,SCIENTIFIC REPORTS,,,,,,,,,,,FRAMEWORK; ONTOLOGY; DESIGN; NLP,"Automated code compliance checking plays an important role in moving the construction industry forward. While traditional drawing review relies on the identification of industry experts, the purpose of this study is to realize automatic code review by using BIM technology and knowledge graph technology. The method is based on knowledge graph to transform the specification provisions involved in the review of drawings into a computer-recognizable structured language using natural language processing technology to form a human-machine-readable knowledge graph pattern. For the review of BIM models, the BIM model information is exported and the global resource description framework of the building model is obtained in protege, and the review report is finally obtained after mapping rules and review rules. Finally, the feasibility of the method is verified by an example. This study can effectively solve the problems of manual dependency and inefficiency in the process of review.",,,,,,,,,,,,,,,,,,,,,,,,MAY 1,2023,13,1,,,,,,,7065,10.1038/s41598-023-34342-1,0,,,,,,,,,,,,,,0
J,"Wu, JB; Nousias, S; Borrmann, A",,,,"Wu, Jiabin; Nousias, Stavros; Borrmann, Andre",,,Design Healing framework for automated code compliance,AUTOMATION IN CONSTRUCTION,,,,,,,,,,Building information modeling (BIM); Automated compliance checking (ACC); Design space exploration (DSE); Sensitivity analysis (SA); Graph theory,SENSITIVITY-ANALYSIS; CONSTRUCTION; OPTIMIZATION; VARIABLES; CHECKING; MODELS; SYSTEM; CAD; BIM,"Automated Compliance Checking (ACC) techniques have advanced significantly, enabling designers to evaluate building designs against codes. However, architectural engineers have to improve the design by manually implementing the ACC results, which is laborious, iterative, and requires domain expertise. To address this challenge, this paper introduces a Design Healing framework that adapts the original design into code-compliant alternatives. By integrating design data and ACC results, the framework identifies critical non-compliant components through a graph-based topological algorithm and sensitivity analysis. A prior knowledge-informed design space exploration is conducted to find valid alternatives and quantify modifications using weighted Euclidean distances, allowing designers to select options closely aligned with the initial design. Multi-scenario experiments demonstrate the framework's effectiveness in resolving architectural spatial design violations. By automating post-checking design adaptation, the framework reduces manual revisions and provides an efficient tool for achieving compliance while accommodating varying design constraints. This paper establishes a basis for advancing designer-centered automated design correction methods based on ACC techniques.",,,,,,,,,,,,,,,,,,,,,,,,MAR,2025,171,,,,,,,,106004,10.1016/j.autcon.2025.106004,0,,JAN 2025,,,,,,,,,,,,0
J,"Wang, XY; El-Gohary, N",,,,"Wang, Xiyu; El-Gohary, Nora",,,Deep learning-based relation extraction and knowledge graph-based representation of construction safety requirements,AUTOMATION IN CONSTRUCTION,,,,,,,,,,Relation extraction; Construction safety; Fall protection; Field compliance checking; Deep learning; Knowledge graphs; Word embeddings,ONTOLOGY; INFORMATION; MANAGEMENT,"Field compliance checking aims to check the compliance of site operations with applicable construction safety regulations for detecting violations. Relation extraction provides an automated solution to extract relations that describe construction safety requirements from unstructured text. However, previous relation extraction efforts are limited in their extraction capabilities, representation, and automation. To address this gap, this paper proposes a deep learning-based method to automatically extract and represent relations that describe fall pro-tection requirements. The proposed method: (1) uses a CNN-based model, with pre-trained word and position embeddings, to automatically extract domain-specific relations, and (2) represents the extracted requirements in the form of knowledge graph-based queries, which helps decompose complex requirements into manageable units while keeping these units connected in a scalable graph structure. The proposed method was tested on 20 OSHA sections, and has achieved 87.5% precision, 83.4% recall, and 85.4% F-1 measure, which indicates good relation extraction performance.",,,,,,,,,,,,,,,,,,,,,,,,MAR,2023,147,,,,,,,,104696,10.1016/j.autcon.2022.104696,0,,JAN 2023,,,,,,,,,,,,0
J,"He, CN; He, WL; Liu, M; Leng, SL; Wei, S",,,,"He, Chuanni; He, Weilin; Liu, Min; Leng, Shaolong; Wei, Song",,,Enriched Construction Regulation Inquiry Responses: A Hybrid Search Approach for Large Language Models,JOURNAL OF MANAGEMENT IN ENGINEERING,,,,,,,,,,Construction regulation; Quality compliance check; Retrieval-augmented generation (RAG); Term frequency-inverse document frequency (TF-IDF); Large language model (LLM),AUTOMATED INFORMATION EXTRACTION; CODE COMPLIANCE CHECKING; SEMANTIC APPROACH; BIM; VERIFICATION; INSPECTION; GRAPH,"The applicability of existing automated compliance check tools in construction is limited, as they are insufficient to provide end-to-end responses given the fragmented and unstructured compliance checking requirements in practice. We explored the potential of large language models (LLMs) to fill the gap by proposing an improved retrieval-augmented generation (RAG) framework to conduct question-answering (QA)-based construction quality checks. The framework contains a novel hybrid search engine that integrates term frequency-inverse document frequency (TF-IDF)-based keyword search with text-embedding search to facilitate domain semantic-aware regulation information extraction. Subsequently, we established a RAG-based chatbot that enables construction managers to obtain construction quality check results and justification directly and precisely via conversations. The framework was tested using 110 real-world QA scenarios covering three concrete structure regulations of 148,170 words. Results show that the enhanced system has improved 15.1% and 11.2% in hit rate and mean reciprocal rank (MRR) compared with na & iuml;ve RAG. The natural language responses demonstrate more precise and faithful results than conventional LLMs. Our research will contribute to the body of knowledge by proposing an improved RAG system to enhance the practicability of automated compliance checks. It also will push the boundary of LLM applications in construction by revealing how domain-specific terminologies facilitate knowledge extraction in LLM systems.",,,,,,,,,,,,,,,,,,,,,,,,MAY 1,2025,41,3,,,,,,,4025001,10.1061/JMENEA.MEENG-6444,0,,,,,,,,,,,,,,0
C,"Xiang, YF; Lin, P; Luo, YM; Ning, ZY; Liu, YG; Liu, K",,"Zhou, K",,"Xiang, Yunfei; Lin, Peng; Luo, Yiming; Ning, Zeyu; Liu, Yuanguang; Liu, Ke",,,Integrating Knowledge Graph and Large Language Model for Safety Management Regulatory Texts,"COMPUTATIONAL AND EXPERIMENTAL SIMULATIONS IN ENGINEERING, ICCES 2024-VOL 3",Mechanisms and Machine Science,,,,,,,,,Safety management; Automated compliance checking; Knowledge graph; Large language model,,"The safety management in the infrastructure industry is governed by a variety of regulatory documents and management codes. However, the current regulation compliance checking often relies on manual or exhaustive matching methods, which can result in issues such as inconsistent rating scales, artificial manipulation, and time-consuming procedures. Therefore, this study presents a novel approach that integrates knowledge graph (KG) and large language model (LLM) to facilitate knowledge mining and application in safety management regulatory texts. First, a semantic expression framework is established to represent the domain knowledge of regulatory texts. Subsequently, considering the requirements of rule interpretation, knowledge extraction is carried out on the regulatory texts to obtain KG. Then, based on the prompt-tuning, the KG is leveraged to enhance LLM's inference of regulatory documents and management codes. Finally, a safety management workflow based on automatic rule interpretation is proposed and successfully applied to a hydropower project. The results demonstrate that this method can effectively enhance the interpretability of safety management codes and reduce reliance on domain experts. This study substantiates the effectiveness of integrating KG and LLM for knowledge mining and application. This work can provide a practical reference for enhancing automated and intelligent safety management in the infrastructure industry.",,,,,,,,,,,,,,,,,,,,,,,,,2025,175,,,,,,1055,1062,,10.1007/978-3-031-81673-4_76,0,,,,,,,,,,,,,,0
J,"Tao, XY; Wu, ZJ; Xu, YQ; Zheng, CL; Fang, YH; Das, M; Liu, H; Gong, XB; Cheng, JCP",,,,"Tao, Xingyu; Wu, Zhaoji; Xu, Yuqing; Zheng, Chengliang; Fang, Yihai; Das, Moumita; Liu, Hao; Gong, Xingbo; Cheng, Jack C. P.",,,Smarter smart contracts for automatic BIM metadata compliance checking in blockchain-enabled common data environment,ADVANCED ENGINEERING INFORMATICS,,,,,,,,,,BIM; Knowledge Graph; Common data environment (CDE); Blockchain; Smart Contract; ISO 19650 standards,,"Blockchain technology is gaining increasing attention in BIM -based collaboration to enhance BIM security (e.g., traceability, integrity, and immutability). Due to the block size limitation, most existing BIM-blockchain interactions focus on recording BIM metadata (or attributes) on the blockchain. However, verifying the correctness or compliance of the input metadata is often overlooked, resulting in the sharing of incorrect versions, disputes over data ownership, and corrupted documents. Two research gaps have been identified: (1) a lack of domain knowledge for metadata compliance checking in BIM collaborative design and (2) an absence of methods to perform compliance checking when interacting with blockchain. Therefore, this paper proposes a blockchainenabled common data environment (BECDE) framework that leverages a knowledge graph (KG) and smart contract technology. This framework makes three contributions to the body of knowledge: (1) It explores the mechanism of integrating KG with smart contracts and the CDE workflow to enable compliance checking in a distributed blockchain environment. Within this framework, two essential technical elements -compliance checking rules (CCRs) and smarter  smart contracts (SSCs) -are identified. (2) It establishes the KG of the ISO 19650 standards to generate CCRs and develops Semantic Web Rule Language (SWRL) algorithms to convert the natural -language -based CCRs into blockchain-readable rules. (3) It develops SSC algorithms by incorporating CCRs to automate checking BIM metadata compliance before appending them to the blockchain. The BECDE framework is validated in three actual project BIM design scenarios, with results showing that (1) the SSCs outperform existing BIM smart contracts by improving the quality of input data within the blockchain and (2) the computing performances of the SSCs -with latency at the millisecond level and throughput around 250 transactions per second -meet the requirements of BIM -based collaboration. By integrating domain knowledge into a blockchain, the BECDE framework facilitates a trustworthy BIM environment where project members can rely on both data security and quality.",,,,,,,,,,,,,,,,,,,,,,,,OCT,2024,62,,A,,,,,,102627,10.1016/j.aei.2024.102627,0,,JUN 2024,,,,,,,,,,,,0
C,"Simic, A; Palma, D",,"Varga, P; Celeda, P; Wauters, T; Tortonesi, M; Francois, J; Jimenez, JG",,"Simic, Aleksandra; Palma, David",,,Using Knowledge Graphs to Automate Network Compliance of Containerized Services,"2024 20TH INTERNATIONAL CONFERENCE ON NETWORK AND SERVICE MANAGEMENT, CNSM 2024",International Conference on Network and Service Management,,,,,,,,,Ontologies; Knowledge Management; Knowledge Representation; Formalisms and Methods; Infrastructure protection,,"Information and Communication Technology (ICT) infrastructures are increasingly adopting software-based approaches, using paradigms such as Infrastructure as Code (IaC). This is aligned with the design of modern systems, such as 56 with the use of Virtual Network Functions (VNFs) and containerized services, combining the expertise and participation of various stakeholders from diverse cultural and educational backgrounds, potentially across different organizations. To create a common understanding of containerized networking infrastructures, we developed an ontology that allows a unified representation of core networking concepts. By enriching pre-deployment tasks with semantics, we universally represented and verified different network policies based on formal logic. To validate our approach, we constructed two knowledge graphs using open-source 56 Core Network implementations and demonstrated the potential of our approach by checking for compliance with automated reasoning. Using our defined rules, we extracted knowledge about noncompliant services and made inferences based on the well-defined concepts in the ontology. Our findings suggest that different network security policies can be integrated into each knowledge base, contributing to autonomic and cognitive management of future infrastructures. This can potentially provide more reliable IaC definitions, improve machine interpretation of IaC deployments, and assist human actors in making better-informed decisions.",,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,10.23919/CNSM62983.2024.10814558,0,,,,,,,,,,,,,,0
