Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Chen, NJ; Lin, XH; Jiang, H; An, Y",,,,"Chen, Nanjiang; Lin, Xuhui; Jiang, Hai; An, Yi",,,Automated Building Information Modeling Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,BUILDINGS,,,,,,,,,,automated compliance check; large language models (LLMs); deep learning; ontology knowledge models; BIM; design regulations,,"Ensuring compliance with complex industry standards and regulations during the design and implementation phases of construction projects is a significant challenge in the building information modeling (BIM) domain. Traditional manual compliance checking methods are inefficient and error-prone, failing to meet modern engineering demands. Natural language processing (NLP) and deep learning methods have improved efficiency and accuracy in rule interpretation and compliance checking. However, these methods still require extensive manual feature engineering, large, annotated datasets, and significant computational resources. Large language models (LLMs) provide robust language understanding with minimal labeled data due to their pre-training and few-shot learning capabilities. However, their application in the AEC field is still limited by the need for fine-tuning for specific tasks, handling complex texts with nested clauses and conditional statements. This study introduces an innovative automated compliance checking framework that integrates LLM, deep learning models, and ontology knowledge models. The use of LLM is motivated by its few-shot learning capability, which significantly reduces the need for large, annotated datasets required by previous methods. Deep learning is employed to preliminarily classify regulatory texts, which further enhances the accuracy of structured information extraction by the LLM compared to directly feeding raw data into the LLM. This novel combination of deep learning and LLM significantly enhances the efficiency and accuracy of compliance checks by automating the processing of regulatory texts and reducing manual intervention. This approach is crucial for architects, engineers, project managers, and regulators, providing a scalable and adaptable solution for automated compliance in the construction industry with broad application prospects.",,,,,,,,,,,,,,,,,,,,,,,,JUL,2024,14,7,,,,,,,1983,10.3390/buildings14071983,0,,,,,,,,,,,,,,0
J,"Madireddy, S; Gao, L; Din, ZU; Kim, K; Senouci, A; Han, Z; Zhang, YP",,,,"Madireddy, Soumya; Gao, Lu; Din, Zia Ud; Kim, Kinam; Senouci, Ahmed; Han, Zhe; Zhang, Yunpeng",,,Large Language Model-Driven Code Compliance Checking in Building Information Modeling,ELECTRONICS,,,,,,,,,,BIM; semi-automated compliance checking; code compliance checking; AI; LLM,,"This research addresses the time-consuming and error-prone nature of manual code compliance checking in Building Information Modeling (BIM) by introducing a Large Language Model (LLM)-driven approach to semi-automate this critical process. The developed system integrates LLMs such as ChatGPT, Claude, Gemini, and Llama, with Revit software to interpret building codes, generate Python scripts, and perform semi-automated compliance checks within the BIM environment. Case studies on a single-family residential project and an office building project demonstrated the system's ability to reduce the time and effort required for compliance checks while improving accuracy. It streamlined the identification of violations, such as non-compliant room dimensions, material usage, and object placements, by automatically assessing relationships and generating actionable reports. Compared to manual methods, the system eliminated repetitive tasks, simplified complex regulations, and ensured reliable adherence to standards. By offering a comprehensive, adaptable, and cost-effective solution, this proposed approach offers a promising advancement in BIM-based compliance checking, with potential applications across diverse regulatory documents in construction projects.",,,,,,,,,,,,,,,,,,,,,,,,MAY 24,2025,14,11,,,,,,,2146,10.3390/electronics14112146,0,,,,,,,,,,,,,,0
C,"Hassani, S",,"Liebel, G; Hadar, I; Spoletini, P",,"Hassani, Shabnam",,,Enhancing Legal Compliance and Regulation Analysis with Large Language Models,"32ND IEEE INTERNATIONAL REQUIREMENTS ENGINEERING CONFERENCE, RE 2024",International Requirements Engineering Conference,,,,,,,,,Legal Compliance; Legal Requirements; Large Language Models; GPT-4; GPT-3.5; BERT; GDPR; Food Safety; Industry 4.0; Internet of Things,,"This research explores the application of Large Language Models (LLMs) for automating the extraction of requirement-related legal content in the food safety domain and checking legal compliance of regulatory artifacts. With Industry 4.0 revolutionizing the food industry and with the General Data Protection Regulation (GDPR) reshaping privacy policies and data processing agreements, there is a growing gap between regulatory analysis and recent technological advancements. This study aims to bridge this gap by leveraging LLMs, namely BERT and GPT models, to accurately classify legal provisions and automate compliance checks. Our findings demonstrate promising results, indicating LLMs' significant potential to enhance legal compliance and regulatory analysis efficiency, notably by reducing manual workload and improving accuracy within reasonable time and financial constraints.",,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,507,511,,10.1109/RE59067.2024.00065,0,,,,,,,,,,,,,,0
J,"He, CN; He, WL; Liu, M; Leng, SL; Wei, S",,,,"He, Chuanni; He, Weilin; Liu, Min; Leng, Shaolong; Wei, Song",,,Enriched Construction Regulation Inquiry Responses: A Hybrid Search Approach for Large Language Models,JOURNAL OF MANAGEMENT IN ENGINEERING,,,,,,,,,,Construction regulation; Quality compliance check; Retrieval-augmented generation (RAG); Term frequency-inverse document frequency (TF-IDF); Large language model (LLM),AUTOMATED INFORMATION EXTRACTION; CODE COMPLIANCE CHECKING; SEMANTIC APPROACH; BIM; VERIFICATION; INSPECTION; GRAPH,"The applicability of existing automated compliance check tools in construction is limited, as they are insufficient to provide end-to-end responses given the fragmented and unstructured compliance checking requirements in practice. We explored the potential of large language models (LLMs) to fill the gap by proposing an improved retrieval-augmented generation (RAG) framework to conduct question-answering (QA)-based construction quality checks. The framework contains a novel hybrid search engine that integrates term frequency-inverse document frequency (TF-IDF)-based keyword search with text-embedding search to facilitate domain semantic-aware regulation information extraction. Subsequently, we established a RAG-based chatbot that enables construction managers to obtain construction quality check results and justification directly and precisely via conversations. The framework was tested using 110 real-world QA scenarios covering three concrete structure regulations of 148,170 words. Results show that the enhanced system has improved 15.1% and 11.2% in hit rate and mean reciprocal rank (MRR) compared with na & iuml;ve RAG. The natural language responses demonstrate more precise and faithful results than conventional LLMs. Our research will contribute to the body of knowledge by proposing an improved RAG system to enhance the practicability of automated compliance checks. It also will push the boundary of LLM applications in construction by revealing how domain-specific terminologies facilitate knowledge extraction in LLM systems.",,,,,,,,,,,,,,,,,,,,,,,,MAY 1,2025,41,3,,,,,,,4025001,10.1061/JMENEA.MEENG-6444,0,,,,,,,,,,,,,,0
J,"La Cava, L; Tagarelli, A",,,,"La Cava, Lucio; Tagarelli, Andrea",,,Safeguarding Decentralized Social Media: LLM Agents for Automating Community Rule Compliance,ONLINE SOCIAL NETWORKS AND MEDIA,,,,,,,,,,Content moderation; Large language models; Community rules; Mastodon,MASTODON; SCALE,"Ensuring content compliance with community guidelines is crucial for maintaining healthy online social environments. However, traditional human-based compliance checking struggles with scaling due to the increasing volume of user-generated content and a limited number of moderators. Recent advancements in Natural Language Understanding demonstrated by Large Language Models unlock new opportunities for automated content compliance verification. This work evaluates six AI-agents built on Open-LLMs for automated rule compliance checking in Decentralized Social Networks, a challenging environment due to heterogeneous community scopes and rules. By analyzing over 50,000 posts from hundreds of Mastodon servers, we find that AI-agents effectively detect non-compliant content, grasp linguistic subtleties, and adapt to diverse community contexts. Most agents also show high inter-rater reliability and consistency in score justification and suggestions for compliance. Human-based evaluation with domain experts confirmed the agents' reliability and usefulness, rendering them promising tools for semi-automated or human-in-the-loop content moderation systems. Warning: This manuscript may contain sensitive content as it quotes harmful/hateful social media posts.",,,,,,,,,,,,,,,,,,,,,,,,SEP,2025,48,,,,,,,,100319,10.1016/j.osnem.2025.100319,0,,,,,,,,,,,,,,0
J,"Yang, F; Zhang, JS",,,,"Yang, Fan; Zhang, Jiansong",,,Prompt-based automation of building code information transformation for compliance checking,AUTOMATION IN CONSTRUCTION,,,,,,,,,,Building code; Information transformation; Automated compliance checking; Prompt engineering; Natural language processing; Large language models (LLMs),,"Transforming building code information into a machine-processable format is essential for automated compliance checking, yet it presents significant challenges. A prompt-based framework was developed to automate the conversion into a logic programming language. Its effectiveness was assessed by testing the framework on 51 requirements from the International Building Code (IBC) 2015, achieving 97.37 % precision and 95.88 % recall at the logic clause level, with only 2 % of the data used for training. Further testing on crash report transformation enhanced efficiency, reducing the average code generation time to approximately 60.8 s, thereby achieving a 27.8 % time savings compared to existing rule-based methods. This paper contributes to the body of knowledge by introducing an effective, versatile, and user-friendly approach to automated building code information transformation, markedly decreasing the reliance on training data, time, and manual efforts.",,,,,,,,,,,,,,,,,,,,,,,,DEC 1,2024,168,,A,,,,,,105817,10.1016/j.autcon.2024.105817,0,,OCT 2024,,,,,,,,,,,,0
C,"Sun, YT; Chen, MS; Zhao, KJ; Chen, JT",,"Chang, RN; Chang, CK; Jiang, Z; Yang, J; Jin, Z; Sheng, M; Fan, J; Fletcher, K; He, Q; Ardagna, C; Yang, J; Yin, J; Wang, Z; Beheshti, A; Russo, S; Atukorala, N; Wu, J; Yu, PS; Ludwig, H; Reiff-Marganiec, S; Zhang, W; Sailer, A; Bena, N; Li, K; Watanabe, Y; Zhao, T; Wang, S; Tu, Z; Wang, Y; Wei, K",,"Sun, Yutao; Chen, Mingshuai; Zhao, Kangjia; Chen, Jintao",,,HORAE: A Domain-Agnostic Modeling Language for Automating Multimodal Service Regulation,"2024 IEEE INTERNATIONAL CONFERENCE ON WEB SERVICES, ICWS 2024",IEEE International Conference on Web Services,,,,,,,,,Service regulation; specification languages; compliance checking; multimodal learning; violation recognition,,"Artificial intelligence is rapidly encroaching on the field of service regulation. This work-in-progress article presents the design principles behind HORAE, a unified specification language to model multimodal regulation rules across a diverse set of domains. We show how HORAE facilitates an intelligent service regulation pipeline by further exploiting a fine-tuned large language model named RuleGPT that automates the HORAE modeling process, thereby yielding an end-to-end framework for fully automated intelligent service regulation.",,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,244,246,,10.1109/ICWS62655.2024.00046,0,,,,,,,,,,,,,,0
J,"Wan, HL; Zhang, J; Chen, Y; Xu, WL; Feng, F",,,,"Wan, Hanlong; Zhang, Jian; Chen, Yan; Xu, Weili; Feng, Fan",,,Exploring Gen-AI applications in building research and industry: A review,BUILDING SIMULATION,,,,,,,,,,generative AI; large language models (LLMs); building industry; automatic compliance checking (ACC); building design; retrieval-augmented generation (RAG),ENERGYPLUS,"This paper investigates the transformative potential of Generative AI (Gen-AI) technologies, particularly large language models, within the building industry. By leveraging these advanced AI tools, the study explores their application across key areas such as automated compliance checking and building design assistance. The research highlights how Gen-AI can automate labor-intensive processes, significantly improving efficiency and reducing costs in building practices. The paper first discusses the two widely applied fundamental models-Transformer and Diffusion model-and summarizes current pathways for accessing Gen-AI models and the most common techniques for customizing them. It then explores applications for text generation, such as compliance checking, control support, data mining, and building simulation input file editing. Additionally, it examines image generation, including direct generation through diffusion models and indirect generation through language model-supported template creation based on existing Computer-Aided Design or other design tools with rendering. The paper concludes with a comprehensive analysis of the current capabilities of Gen-AI in the building industry, outlining future directions for research and development, with the goal of paving the way for smarter, more effective, and responsive design, construction, and operational practices.",,,,,,,,,,,,,,,,,,,,,,,,JUN,2025,18,6,,,,,1251,1273,,10.1007/s12273-025-1279-x,0,,MAY 2025,,,,,,,,,,,,0
J,"Al-Turki, D; Hettiarachchi, H; Gaber, MM; Abdelsamea, MM; Basurra, S; Iranmanesh, S; Saadany, H; Vakaj, E",,,,"Al-Turki, Dhoyazan; Hettiarachchi, Hansi; Gaber, Mohamed Medhat; Abdelsamea, Mohammed M.; Basurra, Shadi; Iranmanesh, Sima; Saadany, Hadeel; Vakaj, Edlira",,,Human-in-the-Loop Learning With LLMs for Efficient RASE Tagging in Building Compliance Regulations,IEEE ACCESS,,,,,,,,,,Automated compliance checking; RASE; RASE; large language models; large language models; active learning; active learning; active learning,,"Automated compliance checking (ACC) in the Architecture, Engineering, and Construction (AEC) sector represents a pivotal task which is traditionally executed manually, demanding significant time and labor. This work investigates the automation of the Requirement, Applicability, Selection, and Exception (RASE) methodology for building regulatory compliance through the utilization of Large Language Models (LLMs) and active learning techniques. Specifically, we focus on the development and assessment of a system using the OpenAI GPT-4o model to transmute building regulation texts into structured YAML formats conducive to ACC processes. The study encompasses three experimental paradigms: few-shot learning, fine-tuning learning, and progressive active learning. Initial results from the few-shot learning experiment illustrate the model's preliminary ability to interpret and process regulatory texts with limited examples. Fine-tuning enhances model performance by training it on a specialized dataset, thereby improving structural and textual accuracy. Progressive active learning, by iteratively incorporating expert feedback, further refines the accuracy of the model. The findings demonstrate substantial enhancements in both structural and semantic accuracies of the generated YAML files, underscoring the potential of integrating LLMs with active learning to streamline regulatory compliance automation. The methodologies and results presented here offer a comprehensive framework for advancing future research and practical applications in the domain of automated regulatory compliance.",,,,,,,,,,,,,,,,,,,,,,,,,2024,12,,,,,,185291,185306,,10.1109/ACCESS.2024.3512434,0,,,,,,,,,,,,,,0
C,"Wang, Y; Barta, D; Hesse, J; Buchwald, P; Paschke, A",,"Kirrane, S; Simkus, M; Soylu, A; Roman, D",,"Wang, Ya; Barta, Dainel; Hesse, Julian; Buchwald, Philip; Paschke, Adrian",,,Legally-Guided Automated Decision-Making System Using Language Model Agents for Autonomous Driving,"RULES AND REASONING, RULEML+RR 2024",Lecture Notes in Computer Science,,,,,,,,,Neurosymbolic System; Large Language Model Agent; Ontological Reasoning; Rule Compliance; Autonomous Driving,ONTOLOGY-BASED FRAMEWORK; COMPLIANCE CHECKING,"Recent advances in language models have facilitated the development of agent-based systems. Despite their encouraging results in various reasoning tasks, these systems often operate as black boxes, raising concerns about potential illegal behavior due to opaque decision-making processes. This concern is particularly critical in autonomous driving, where precise decision-making requires a thorough understanding of traffic scenes and strict adherence to established norms. In this paper, we propose a legally-guided automated decision making system (LAD) that employs language models to dynamically retrieve facts for related rules through context-based query generation while delegating decisionmaking to a symbolic solver. In our experiments, we demonstrate that this neuro-symbolic system, with a limited number of formalized traffic rules, provides a more accurate, interpretable, and traceable solution for rule-compliant decision-making compared to pure language models.",,,,,,,,,,,,,,,,,,,,,,,,,2024,15183,,,,,,234,248,,10.1007/978-3-031-72407-7_17,0,,,,,,,,,,,,,,0
