Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Sunmola, F; Baryannis, G; Tan, A; Co, K; Papadakis, E",,,,"Sunmola, Funlade; Baryannis, George; Tan, Albert; Co, Kenneth; Papadakis, Emmanuel",,,Holistic Framework for Blockchain-Based Halal Compliance in Supply Chains Enabled by Artificial Intelligence,SYSTEMS,,,,,,,,,,halal certification; artificial intelligence; blockchain; knowledge graph; machine learning; supply chain,,"The global halal market is growing, driven by rising stakeholder populations and increasing consumer interest in ethical and sustainable food choices. This surge in demand necessitates robust halal compliance throughout complex supply chains. However, there are several challenges, including fragmented information, increased understanding of halal requirements among stakeholders, and difficulties in tracing product provenance. This paper proposes a holistic framework for halal certification and compliance, addressing these challenges through the integration of artificial intelligence (AI) and blockchain technologies. AI can automate halal compliance checks, identify potential irregularities in sourcing and composition, and facilitate risk management. The blockchain offers an ideal platform for tracking product provenance throughout the halal supply chain. This ensures trust and confidence among consumers by providing verifiable information on ingredient origin and production processes. This paper further strengthens the potential of this framework by presenting an illustrative example that utilises knowledge graphs, machine learning, and smart contracts. This exemplifies the potential application of the proposed framework in the context of halal pre-certification processes. By fostering transparency and streamlining compliance procedures, the proposed holistic framework, empowered by AI and the blockchain, can significantly enhance trust and confidence among stakeholders within the halal food industry.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2025,13,1,,,,,,,21,10.3390/systems13010021,0,,,,,,,,,,,,,,0
J,"Doskaliuk, B; Zimba, O; Yessirkepov, M; Klishch, I; Yatsyshyn, R",,,,"Doskaliuk, Bohdana; Zimba, Olena; Yessirkepov, Marlen; Klishch, Iryna; Yatsyshyn, Roman",,,Artificial Intelligence in Peer Review: Enhancing Efficiency While Preserving Integrity,JOURNAL OF KOREAN MEDICAL SCIENCE,,,,,,,,,,Artificial Intelligence; Peer Review; Publishing; Ethics; Open Access Publishing,,"The rapid advancement of artificial intelligence (AI) has transformed various aspects of scientific research, including academic publishing and peer review. In recent years, AI tools such as large language models have demonstrated their capability to streamline numerous tasks traditionally handled by human editors and reviewers. These applications range from automated language and grammar checks to plagiarism detection, format compliance, and even preliminary assessment of research significance. While AI substantially benefits the efficiency and accuracy of academic processes, its integration raises critical ethical and methodological questions, particularly in peer review. AI lacks the subtle understanding of complex scientific content that human expertise provides, posing challenges in evaluating research novelty and significance. Additionally, there are risks associated with over-reliance on AI, potential biases in AI algorithms, and ethical concerns related to transparency, accountability, and data privacy. This review evaluates the perspectives within the scientific community on integrating AI in peer review and academic publishing. By exploring both AI's potential benefits and limitations, we aim to offer practical recommendations that ensure AI is used as a supportive tool, supporting but not replacing human expertise. Such guidelines are essential for preserving the integrity and quality of academic work while benefiting from AI's efficiencies in editorial processes.",,,,,,,,,,,,,,,,,,,,,,,,FEB 24,2025,40,7,,,,,,,e92,10.3346/jkms.2025.40.e92,0,,,,,,,,,,,,,,0
J,"Barbara, V; Leone, N; Ricca, F; Guarascio, M; Manco, G; Quarta, A; Ritacco, E",,,,"Barbara, Vito; Leone, Nicola; Ricca, Francesco; Guarascio, Massimo; Manco, Giuseppe; Quarta, Alessandro; Ritacco, Ettore",,,Neuro-Symbolic AI for Compliance Checking of Electrical Control Panels,THEORY AND PRACTICE OF LOGIC PROGRAMMING,,,,,,,,,,automated quality control systems; answer set programming; computer vision; data scarcity,,"Artificial Intelligence plays a main role in supporting and improving smart manufacturing and Industry 4.0, by enabling the automation of different types of tasks manually performed by domain experts. In particular, assessing the compliance of a product with the relative schematic is a time-consuming and prone-to-error process. In this paper, we address this problem in a specific industrial scenario. In particular, we define a Neuro-Symbolic approach for automating the compliance verification of the electrical control panels. Our approach is based on the combination of Deep Learning techniques with Answer Set Programming (ASP), and allows for identifying possible anomalies and errors in the final product even when a very limited amount of training data is available. The experiments conducted on a real test case provided by an Italian Company operating in electrical control panel production demonstrate the effectiveness of the proposed approach.",,,,,,,,,,,,,,,,,,,,,,,,JUL,2023,23,4,,,SI,,748,764,PII S1471068423000170,10.1017/S1471068423000170,0,,JUL 2023,,,,,,,,,,,,0
J,"Madireddy, S; Gao, L; Din, ZU; Kim, K; Senouci, A; Han, Z; Zhang, YP",,,,"Madireddy, Soumya; Gao, Lu; Din, Zia Ud; Kim, Kinam; Senouci, Ahmed; Han, Zhe; Zhang, Yunpeng",,,Large Language Model-Driven Code Compliance Checking in Building Information Modeling,ELECTRONICS,,,,,,,,,,BIM; semi-automated compliance checking; code compliance checking; AI; LLM,,"This research addresses the time-consuming and error-prone nature of manual code compliance checking in Building Information Modeling (BIM) by introducing a Large Language Model (LLM)-driven approach to semi-automate this critical process. The developed system integrates LLMs such as ChatGPT, Claude, Gemini, and Llama, with Revit software to interpret building codes, generate Python scripts, and perform semi-automated compliance checks within the BIM environment. Case studies on a single-family residential project and an office building project demonstrated the system's ability to reduce the time and effort required for compliance checks while improving accuracy. It streamlined the identification of violations, such as non-compliant room dimensions, material usage, and object placements, by automatically assessing relationships and generating actionable reports. Compared to manual methods, the system eliminated repetitive tasks, simplified complex regulations, and ensured reliable adherence to standards. By offering a comprehensive, adaptable, and cost-effective solution, this proposed approach offers a promising advancement in BIM-based compliance checking, with potential applications across diverse regulatory documents in construction projects.",,,,,,,,,,,,,,,,,,,,,,,,MAY 24,2025,14,11,,,,,,,2146,10.3390/electronics14112146,0,,,,,,,,,,,,,,0
J,"Ahuja, A; Murti, Y; Singh, S",,,,"Ahuja, Ashima; Murti, Yogesh; Singh, Sonia",,,"Exploring the Potential of Artificial Intelligence in Medical Research: Applications, Regulatory Concerns, Opportunities and Future Outlook- A Mini Review",LETTERS IN DRUG DESIGN & DISCOVERY,,,,,,,,,,Artificial intelligence (AI); medical research; algorithms; health care; personalized medicine; drug delivery; clinical setting; patient care,HEALTH-CARE; DESIGN; IMPLEMENTATION; CHEMOTHERAPY; CHALLENGES; PREDICT,"Artificial Intelligence (AI), due to digitalization, has recently conquered the healthcare disciplines. AI has substantially progressed in healthcare and medical research for preventive, predictive, and personalized care. AI will continue to become the ultimate healthcare-effective tool for serious ailments requiring the early detection of rebuttal. It is a fast-growing automated system based on algorithms positioned to benefit patients, clinicians, researchers, and physicians involved in treatment, prognosis, and preventive care in health. The primary focus of artificial intelligence is technologically expedited solutions to complex challenges. AI's remarkable contribution to machine learning has become a transforming opportunity in medical science. The optimized research, formulation, and development in AI reduce the cost of medical therapy, provide extensive care, improve patient compliance, and promote personalized medicine. The articles were cited from SCI-hub, PUBMED, Scopus, and Google Scholar. AI is assisted with autonomous disease assessing and screening tools that can save time for clinicians and help in the early diagnosis of diabetic retinopathy, cancer detection, and chromosomal disorders to solve complex hurdles. The automated image quality improvement tool makes AI an effective medium for targeting highly complex drug molecules and specific sensors to target organs. Furthermore, the masses have utilized their application in medical devices, pharmaceutical technology, dosage form designing, medical research, and regulatory frameworks to explore the medical era of AI in the healthcare field. However, the integration of AI in medical practice is in the early stages and needs further research to fit an AI model-based approach in clinical settings. AI limitations in health and medical research arise from biases related to gender variation, ethical concerns, complex algorithms, regulatory, cyber security, model evaluation, and problems faced by policymakers. Certain vulnerability factors that can cause health record data breaches and ethical concerns present challenges in healthcare settings due to result failure. Therefore, solutions to overcome these challenges are essential to set the future of AI in clinical research. All such concerns and their solutions must be successfully deployed from research to clinical settings to adopt transformative AI models in medical science. This will help scientists and researchers explore lead molecules and identify newer therapeutic targets. It is crucial to implement measures to control and frame policy guidelines, conduct continuous checks on cybersecurity, solve ethical issues, and consider the possibility of AI adoption in pharmaceutical industries, banking, research areas, hospitals, administration, and clinical practice.",,,,,,,,,,,,,,,,,,,,,,,,,2024,21,18,,,,,4205,4220,,10.2174/0115701808342987241216081153,0,,,,,,,,,,,,,,0
C,"Sun, YT; Chen, MS; Zhao, KJ; Chen, JT",,"Chang, RN; Chang, CK; Jiang, Z; Yang, J; Jin, Z; Sheng, M; Fan, J; Fletcher, K; He, Q; Ardagna, C; Yang, J; Yin, J; Wang, Z; Beheshti, A; Russo, S; Atukorala, N; Wu, J; Yu, PS; Ludwig, H; Reiff-Marganiec, S; Zhang, W; Sailer, A; Bena, N; Li, K; Watanabe, Y; Zhao, T; Wang, S; Tu, Z; Wang, Y; Wei, K",,"Sun, Yutao; Chen, Mingshuai; Zhao, Kangjia; Chen, Jintao",,,HORAE: A Domain-Agnostic Modeling Language for Automating Multimodal Service Regulation,"2024 IEEE INTERNATIONAL CONFERENCE ON WEB SERVICES, ICWS 2024",IEEE International Conference on Web Services,,,,,,,,,Service regulation; specification languages; compliance checking; multimodal learning; violation recognition,,"Artificial intelligence is rapidly encroaching on the field of service regulation. This work-in-progress article presents the design principles behind HORAE, a unified specification language to model multimodal regulation rules across a diverse set of domains. We show how HORAE facilitates an intelligent service regulation pipeline by further exploiting a fine-tuned large language model named RuleGPT that automates the HORAE modeling process, thereby yielding an end-to-end framework for fully automated intelligent service regulation.",,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,,,244,246,,10.1109/ICWS62655.2024.00046,0,,,,,,,,,,,,,,0
J,"La Cava, L; Tagarelli, A",,,,"La Cava, Lucio; Tagarelli, Andrea",,,Safeguarding Decentralized Social Media: LLM Agents for Automating Community Rule Compliance,ONLINE SOCIAL NETWORKS AND MEDIA,,,,,,,,,,Content moderation; Large language models; Community rules; Mastodon,MASTODON; SCALE,"Ensuring content compliance with community guidelines is crucial for maintaining healthy online social environments. However, traditional human-based compliance checking struggles with scaling due to the increasing volume of user-generated content and a limited number of moderators. Recent advancements in Natural Language Understanding demonstrated by Large Language Models unlock new opportunities for automated content compliance verification. This work evaluates six AI-agents built on Open-LLMs for automated rule compliance checking in Decentralized Social Networks, a challenging environment due to heterogeneous community scopes and rules. By analyzing over 50,000 posts from hundreds of Mastodon servers, we find that AI-agents effectively detect non-compliant content, grasp linguistic subtleties, and adapt to diverse community contexts. Most agents also show high inter-rater reliability and consistency in score justification and suggestions for compliance. Human-based evaluation with domain experts confirmed the agents' reliability and usefulness, rendering them promising tools for semi-automated or human-in-the-loop content moderation systems. Warning: This manuscript may contain sensitive content as it quotes harmful/hateful social media posts.",,,,,,,,,,,,,,,,,,,,,,,,SEP,2025,48,,,,,,,,100319,10.1016/j.osnem.2025.100319,0,,,,,,,,,,,,,,0
J,"Strogonov, V; Pollert, J",,,,"Strogonov, Vadim; Pollert, Jaroslav",,,Artificial intelligence-enhanced web application approach to data management in the WIDER UPTAKE project,JOURNAL OF HYDROINFORMATICS,,,,,,,,,,circular economy; data management; large language models; sustainable water management; water reuse; web application,,"The paper describes a web application developed for managing and presenting experiment data of the WIDER UPTAKE project funded by Horizon Europe. The project's goal is to promote water-smart and sustainable solutions among stakeholders in multiple countries. The application enhances data management and stakeholder engagement through the use of a third-party large language model. It integrates data from demonstration case studies with real-time sensor measurements and laboratory tests, into a comprehensive cloud-based platform. It facilitates data visualization, regulatory compliance checks, and risk assessments for chemical and microbial hazards. The application significantly aided in the coordination and communication of project findings among stakeholders. Key functionalities include interactive diagrams, risk assessment tools, and automated report generation using artificial intelligence (AI). The AI-generated reports, while maintaining confidentiality of data in most cases, provided clear and informative summaries of data compliance with regulatory standards. The web application extended stakeholder engagement, democratized access to complex data, and supported decision-making processes for implementing sustainable water management solutions. However, the development encountered significant challenges surrounding transparency, fairness, accountability, and privacy, which impedes the refinement and scalability of this approach for broader use. Future research should focus on overcoming these obstacles to ensure a more effective and ethical application.",,,,,,,,,,,,,,,,,,,,,,,,APR,2025,27,4,,,,,686,699,,10.2166/hydro.2025.248,0,,,,,,,,,,,,,,0
J,"Wan, HL; Zhang, J; Chen, Y; Xu, WL; Feng, F",,,,"Wan, Hanlong; Zhang, Jian; Chen, Yan; Xu, Weili; Feng, Fan",,,Exploring Gen-AI applications in building research and industry: A review,BUILDING SIMULATION,,,,,,,,,,generative AI; large language models (LLMs); building industry; automatic compliance checking (ACC); building design; retrieval-augmented generation (RAG),ENERGYPLUS,"This paper investigates the transformative potential of Generative AI (Gen-AI) technologies, particularly large language models, within the building industry. By leveraging these advanced AI tools, the study explores their application across key areas such as automated compliance checking and building design assistance. The research highlights how Gen-AI can automate labor-intensive processes, significantly improving efficiency and reducing costs in building practices. The paper first discusses the two widely applied fundamental models-Transformer and Diffusion model-and summarizes current pathways for accessing Gen-AI models and the most common techniques for customizing them. It then explores applications for text generation, such as compliance checking, control support, data mining, and building simulation input file editing. Additionally, it examines image generation, including direct generation through diffusion models and indirect generation through language model-supported template creation based on existing Computer-Aided Design or other design tools with rendering. The paper concludes with a comprehensive analysis of the current capabilities of Gen-AI in the building industry, outlining future directions for research and development, with the goal of paving the way for smarter, more effective, and responsive design, construction, and operational practices.",,,,,,,,,,,,,,,,,,,,,,,,JUN,2025,18,6,,,,,1251,1273,,10.1007/s12273-025-1279-x,0,,MAY 2025,,,,,,,,,,,,0
J,"Robaldo, L; Pacenza, F; Zangari, J; Calegari, R; Calimeri, F; Siragusa, G",,,,"Robaldo, Livio; Pacenza, Francesco; Zangari, Jessica; Calegari, Roberta; Calimeri, Francesco; Siragusa, Giovanni",,,Efficient compliance checking of RDF data,JOURNAL OF LOGIC AND COMPUTATION,,,,,,,,,,,LEGAL; KNOWLEDGE; SYSTEM; LOGIC; TIME,"Automated compliance checking, i.e. the task of automatically assessing whether states of affairs comply with normative systems, has recently received a lot of attention from the scientific community, also as a consequence of the increasing investments in Artificial Intelligence technologies for the legal domain (LegalTech). The authors of this paper deem as crucial the research and implementation of compliance checkers that can directly process data in RDF format, as nowadays more and more (big) data in this format are becoming available worldwide, across a multitude of different domains. Among the automated technologies that have been used in recent literature, to the best of our knowledge, only two of them have been evaluated with input states of affairs encoded in RDF format. This paper formalizes a selected use case in these two technologies and compares the implementations, also in terms of simulations with respect to shared synthetic datasets.",,,,,,,,,,,,,,,,,,,,,,,,DEC 11,2023,33,8,,,,,1753,1776,,10.1093/logcom/exad034,0,,JUN 2023,,,,,,,,,,,,0
