Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Zhang, ZJ; Ma, L; Nisbet, N",,,,"Zhang, Zijing; Ma, Ling; Nisbet, Nicholas",,,Unpacking Ambiguity in Building Requirements to Support Automated Compliance Checking,JOURNAL OF MANAGEMENT IN ENGINEERING,,,,,,,,,,Ambiguity; Automated compliance checking (ACC); Building requirements,,"In the architecture, engineering, and construction (AEC) industry, manual compliance checking is labor-intensive, time-consuming, expensive, and error-prone. Automated compliance checking (ACC) has been extensively studied in the past 50 years to improve the productivity and accuracy of the compliance checking process. While numerous ACC systems have been proposed, these systems can only deal with requirements that include quantitative metrics or specified properties. This leaves the remaining 53% of building requirements to be checked manually, mainly due to the ambiguity embedded in them. In the literature, little is known about the ambiguity of building requirements, which impedes their accurate interpretation and automated checking. This research thus aims to address this issue and establish a taxonomy of ambiguity. Building requirements in health building notes (HBNs) are analyzed using an inductive approach. The results show that some ambiguous clauses in building requirements reflect regulators' intention while others are unintentional, resulting from the use of language, tacit knowledge, and ACC-specific reasons. This research is valuable for compliance-checking researchers and practitioners because it unpacks ambiguity in building requirements, laying a solid foundation for addressing ambiguity appropriately.",,,,,,,,,,,,,,,,,,,,,,,,SEP 1,2023,39,5,,,,,,,4023033,10.1061/JMENEA.MEENG-5359,0,,,,,,,,,,,,,,0
J,"Chen, NJ; Lin, XH; Jiang, H; An, Y",,,,"Chen, Nanjiang; Lin, Xuhui; Jiang, Hai; An, Yi",,,Automated Building Information Modeling Compliance Check through a Large Language Model Combined with Deep Learning and Ontology,BUILDINGS,,,,,,,,,,automated compliance check; large language models (LLMs); deep learning; ontology knowledge models; BIM; design regulations,,"Ensuring compliance with complex industry standards and regulations during the design and implementation phases of construction projects is a significant challenge in the building information modeling (BIM) domain. Traditional manual compliance checking methods are inefficient and error-prone, failing to meet modern engineering demands. Natural language processing (NLP) and deep learning methods have improved efficiency and accuracy in rule interpretation and compliance checking. However, these methods still require extensive manual feature engineering, large, annotated datasets, and significant computational resources. Large language models (LLMs) provide robust language understanding with minimal labeled data due to their pre-training and few-shot learning capabilities. However, their application in the AEC field is still limited by the need for fine-tuning for specific tasks, handling complex texts with nested clauses and conditional statements. This study introduces an innovative automated compliance checking framework that integrates LLM, deep learning models, and ontology knowledge models. The use of LLM is motivated by its few-shot learning capability, which significantly reduces the need for large, annotated datasets required by previous methods. Deep learning is employed to preliminarily classify regulatory texts, which further enhances the accuracy of structured information extraction by the LLM compared to directly feeding raw data into the LLM. This novel combination of deep learning and LLM significantly enhances the efficiency and accuracy of compliance checks by automating the processing of regulatory texts and reducing manual intervention. This approach is crucial for architects, engineers, project managers, and regulators, providing a scalable and adaptable solution for automated compliance in the construction industry with broad application prospects.",,,,,,,,,,,,,,,,,,,,,,,,JUL,2024,14,7,,,,,,,1983,10.3390/buildings14071983,0,,,,,,,,,,,,,,0
J,"Zou, Y; Guo, BHW; Papadonikolaki, E; Dimyadi, J; Hou, L",,,,"Zou, Yang; Guo, Brian H. W.; Papadonikolaki, Eleni; Dimyadi, Johannes; Hou, Lei",,,Lessons Learned on Adopting Automated Compliance Checking in the AEC Industry: A Global Study,JOURNAL OF MANAGEMENT IN ENGINEERING,,,,,,,,,,Automated compliance checking (ACC); Building information modeling (BIM); Technology adoption; Construction; Case study,BIM ADOPTION; CONSTRUCTION; INNOVATION; TECHNOLOGY; DIFFUSION; AGREEMENT,"Over the last decades, numerous automated compliance checking (ACC) systems have been developed. However, ACC is still not broadly used in the architecture, engineering, and construction (AEC) industry today; little is known as to how ACC can be better accepted by the end users. This paper reports on a multicase study to learn valuable lessons from recent attempts to adopt ACC systems worldwide. Firstly, 18 semistructured interviews were conducted with 20 experts from eight countries, and supplementary data (e.g., documents, product information, and literature) related to each case were collected. Secondly, the interview and supplementary data were then coded to develop prominent themes. Thirdly, through a cross-case analysis, the 12 most determining variables that could influence the ACC adoption were identified. Three path models that explain the interrelationships between these variables and 10 propositions that can guide future ACC adoption were deduced. The results indicate that the government should play an important role to facilitate ACC adoption through funding, policies, and incentives. This study also provides valuable information to software vendors for delivering ACC systems that meet the needs of the industry, and for innovation managers in the industry to develop appropriate adoption plans for the ACC technology.",,,,,,,,,,,,,,,,,,,,,,,,JUL 1,2023,39,4,,,,,,,4023019,10.1061/JMENEA.MEENG-5051,0,,,,,,,,,,,,,,0
J,"Li, SH; Jiang, ZY; Xu, Z",,,,"Li, Sihao; Jiang, Ziyang; Xu, Zhao",,,BIM-Based Model Checking: A Scientometric Analysis and Critical Review,APPLIED SCIENCES-BASEL,,,,,,,,,,building information modeling (BIM); automated compliance checking; scientometrics; critical review; industry foundation classes (IFC),CODE COMPLIANCE CHECKING; RULE CHECKING; AEC INDUSTRY; INFORMATION EXTRACTION; SEMANTIC APPROACH; DATA EXCHANGE; VALIDATION; SYSTEM; REQUIREMENTS; ELEMENT,"Building information modeling (BIM) has been widely applied throughout the entire lifecycle of projects in the architecture, engineering, and construction (AEC) industry. The errors in BIM models can lead to significant losses in engineering projects, thus leading to BIM-based model checking (BMC) technology garnering an increasing amount of attention. Despite numerous documents detailing the BMC process, there is a lack of systematic analysis and visualization of existing research. This study employs a combined approach of scientometric analysis and a critical review to survey articles on BMC published from 2008 to 2024 in the Web of Science (WOS) and Scopus databases. The scientific analysis objectively presents the status and evolution of this research field through quantitative data, including publications, authors, and references. Furthermore, the critical review is employed to analyze the content of the articles, summarizing the topics and challenges of current research. Finally, potential promising directions for future development are proposed.",,,,,,,,,,,,,,,,,,,,,,,,JAN,2025,15,1,,,,,,,49,10.3390/app15010049,0,,,,,,,,,,,,,,0
J,"Zhang, JY; Cui, B; Gao, Y; Zhang, DX",,,,"Zhang, Jinyue; Cui, Bing; Gao, Ying; Zhang, Daxin",,,Factors Influencing the Acceptance of BIM-Based Automated Code Compliance Checking in the AEC Industry in China,JOURNAL OF MANAGEMENT IN ENGINEERING,,,,,,,,,,,TECHNOLOGY; SYSTEM; ADOPTION; INTERNET; DESIGN; THINGS; MODEL,"With the rapid development of building information modeling (BIM) and Industry Foundation Classes, BIM-based automated code compliance checking (ACCC) has long been desired by the architecture, engineering, and construction (AEC) industry. Numerous studies on the technological issues of BIM-based ACCC have been conducted over the past decade, but no studies have focused on the acceptance of BIM-based ACCC by the AEC industry. Understanding how the industry views BIM-based ACCC and the factors that influence the industry's perception will give a clear direction to research, development, and application of this process in both technological and managerial areas. To fill the gap, this study used a hybrid approach that incorporates Decision-Making Trial and Evaluation Laboratory and Interpretative Structural Modeling methods to study the factors influencing the acceptance of BIM-based ACCC in the AEC industry in China in terms of five different dimensions (technology, organization, individual, environment, and economy) to reveal the importance of each factor and the interaction among factors. Data in this study were collected from both the design sector and the construction sector. Similarities and differences in attitudes toward BIM-based ACCC in firms in the two sectors are fully addressed and compared, and suggestions to encourage better acceptance and adoption of BIM-based ACCC in each of these sectors are provided.",,,,,,,,,,,,,,,,,,,,,,,,NOV 1,2023,39,6,,,,,,,4023036,10.1061/JMENEA.MEENG-5344,0,,,,,,,,,,,,,,0
C,"Zheng, Z; Kang, BR; Yuan, QT; Zhou, YC; Lu, XZ; Lin, JR",,"Skatulla, S; Beushausen, H",,"Zheng, Zhe; Kang, Bo-Rui; Yuan, Qi-Tian; Zhou, Yu-Cheng; Lu, Xin-Zheng; Lin, Jia-Rui",,,Text Mining-Based Patent Analysis for Automated Rule Checking in AEC,"ADVANCES IN INFORMATION TECHNOLOGY IN CIVIL AND BUILDING ENGINEERING, ICCCBE 2022, VOL 2",Lecture Notes in Civil Engineering,,,,,,,,,Automated Rule Checking (ARC); Patent analysis; Text mining center dot; Social Network Analysis (SNA); Latent Dirichlet Allocation (LDA); Application hotspots and future trends,LDA,"Automated rule checking (ARC), which is expected to promote the efficiency of the compliance checking process in the architecture, engineering, and construction (AEC) industry, is gaining increasing attention. Throwing light on the ARC application hotspots and forecasting its trends are useful to the related research and drive innovations. Therefore, this study takes the patents from the database of the Derwent Innovations Index database (DII) and China national knowledge infrastructure (CNKI) as data sources and then carried out a three-step analysis including (1) quantitative characteristics (i.e., annual distribution analysis) of patents, (2) identification of ARC topics using a latent Dirichlet allocation (LDA) and, (3) SNA-based co-occurrence analysis of ARC topics. The results show that the research hotspots and trends of Chinese and English patents are different. The contributions of this study have three aspects: (1) an approach to a comprehensive analysis of patents by integrating multiple text mining methods (i.e., SNA and LDA) is introduced; (2) the application hotspots and development trends of ARC are reviewed based on patent analysis; and (3) a signpost for technological development and innovation of ARC is provided.",,,,,,,,,,,,,,,,,,,,,,,,,2023,358,,,,,,11,25,,10.1007/978-3-031-32515-1_2,0,,,,,,,,,,,,,,0
J,"Al-Turki, D; Hettiarachchi, H; Gaber, MM; Abdelsamea, MM; Basurra, S; Iranmanesh, S; Saadany, H; Vakaj, E",,,,"Al-Turki, Dhoyazan; Hettiarachchi, Hansi; Gaber, Mohamed Medhat; Abdelsamea, Mohammed M.; Basurra, Shadi; Iranmanesh, Sima; Saadany, Hadeel; Vakaj, Edlira",,,Human-in-the-Loop Learning With LLMs for Efficient RASE Tagging in Building Compliance Regulations,IEEE ACCESS,,,,,,,,,,Automated compliance checking; RASE; RASE; large language models; large language models; active learning; active learning; active learning,,"Automated compliance checking (ACC) in the Architecture, Engineering, and Construction (AEC) sector represents a pivotal task which is traditionally executed manually, demanding significant time and labor. This work investigates the automation of the Requirement, Applicability, Selection, and Exception (RASE) methodology for building regulatory compliance through the utilization of Large Language Models (LLMs) and active learning techniques. Specifically, we focus on the development and assessment of a system using the OpenAI GPT-4o model to transmute building regulation texts into structured YAML formats conducive to ACC processes. The study encompasses three experimental paradigms: few-shot learning, fine-tuning learning, and progressive active learning. Initial results from the few-shot learning experiment illustrate the model's preliminary ability to interpret and process regulatory texts with limited examples. Fine-tuning enhances model performance by training it on a specialized dataset, thereby improving structural and textual accuracy. Progressive active learning, by iteratively incorporating expert feedback, further refines the accuracy of the model. The findings demonstrate substantial enhancements in both structural and semantic accuracies of the generated YAML files, underscoring the potential of integrating LLMs with active learning to streamline regulatory compliance automation. The methodologies and results presented here offer a comprehensive framework for advancing future research and practical applications in the domain of automated regulatory compliance.",,,,,,,,,,,,,,,,,,,,,,,,,2024,12,,,,,,185291,185306,,10.1109/ACCESS.2024.3512434,0,,,,,,,,,,,,,,0
J,"Zech, P; Burger, P; Hammes, S; Geisler-Moroder, D; Breu, R",,,,"Zech, Philipp; Burger, Peter; Hammes, Sascha; Geisler-Moroder, David; Breu, Ruth",,,BIMReason: Validating BIM model correctness,BAUPHYSIK,,,,,,,,,,BIM; reasoning; model checking; model correctness; semantisches Schlussfolgern; Modell & uuml;berpr & uuml;fung; Modellkorrektheit,INDUSTRY,"Compliance inspections and building analysis are critical to the success of any construction project. At present, such assessments are primarily conducted manually by experts in the architecture, engineering and construction (AEC) sector resulting in a tedious, labor-intensive, and generally inefficient undertaking. Yet, with the gradual adoption of Building Information Modeling (BIM), automated building analysis and compliance checking become feasible. The Industry Foundation Classes (IFC) has received a lot of traction in the AEC industry as a vendor-neutral data model. Its well-defined semantics can be exploited by reasoning engines that allow for semantic reasoning on building models, the core mechanism required for automated compliance checking and building analysis. In this paper, a general-purpose model checking framework for IFC building models, as well as an appropriate specification layout are introduced. Model checking via semantic reasoning is realized using various technologies from the Semantic Web. To present and evaluate our implementation, a sample specification is developed and tested on two IFC building models. BIMResaon - Validierung der Richtigkeit von BIM-ModellenKontrollmechanismen zur Einhaltung von Vorschriften und Durchf & uuml;hrung von Geb & auml;udeanalysen sind f & uuml;r den Erfolg eines jeden Bauvorhabens von entscheidender Bedeutung. Gegenw & auml;rtig werden solche Bewertungen haupts & auml;chlich manuell von Experten aus den Bereichen Architektur, Ingenieur- und Bauwesen (AEC-Branche) durchgef & uuml;hrt, was zu einem langwierigen, arbeitsintensiven und im Allgemeinen ineffizienten Unterfangen f & uuml;hren kann. Mit der schrittweisen Einf & uuml;hrung der Geb & auml;udedatenmodellierung (Building Information Modeling, kurz BIM) werden jedoch automatisierte Geb & auml;udeanalysen und Konformit & auml;tspr & uuml;fungen m & ouml;glich. Insbesondere die industry foundation classes (IFC) haben sich in der AEC-Branche als herstellerneutrales Datenmodell durchgesetzt. Die gut definierte Semantik kann von Reasoning Engines genutzt werden, um semantisches Schlussfolgern (reasoning) aus Geb & auml;udemodellen zu ziehen - was den Kernmechanismus darstellt, der f & uuml;r die automatisierte Konformit & auml;tspr & uuml;fung und Geb & auml;udeanalyse erforderlich ist. In diesem Beitrag werden dazu ein allgemeines Framework f & uuml;r die Pr & uuml;fung von IFC-Geb & auml;udemodellen sowie ein geeignetes Spezifikationslayout f & uuml;r Pr & uuml;fregeln vorgestellt. Die Modellpr & uuml;fung durch semantisches Reasoning wird mit Hilfe verschiedener Technologien aus dem Semantic Web realisiert. Um unsere Implementierung zu demonstrieren und zu evaluieren, wird eine Beispielspezifikation entwickelt und an zwei IFC-Geb & auml;udemodellen getestet.",,,,,,,,,,,,,,,,,,,,,,,,DEC,2024,46,6,,,,,332,339,,10.1002/bapi.202400035,0,,,,,,,,,,,,,,0
J,"Hettiarachchi, H; Dridi, A; Gaber, MM; Parsafard, P; Bocaneala, N; Breitenfelder, K; Costa, G; Hedblom, M; Juganaru-Mathieu, M; Mecharnia, T; Park, S; Tan, H; Tawil, ARH; Vakaj, E",,,,"Hettiarachchi, Hansi; Dridi, Amna; Gaber, Mohamed Medhat; Parsafard, Pouyan; Bocaneala, Nicoleta; Breitenfelder, Katja; Costa, Goncal; Hedblom, Maria; Juganaru-Mathieu, Mihaela; Mecharnia, Thamer; Park, Sumee; Tan, He; Tawil, Abdel-Rahman H.; Vakaj, Edlira",,,CODE-ACCORD: A Corpus of building regulatory data for rule generation towards automatic compliance checking,SCIENTIFIC DATA,,,,,,,,,,,,"Automatic Compliance Checking (ACC) within the Architecture, Engineering, and Construction (AEC) sector necessitates automating the interpretation of building regulations to achieve its full potential. Converting textual rules into machine-readable formats is challenging due to the complexities of natural language and the scarcity of resources for advanced Machine Learning (ML). Addressing these challenges, we introduce CODE-ACCORD, a dataset of 862 sentences from the building regulations of England and Finland. Only the self-contained sentences, which express complete rules without needing additional context, were considered as they are essential for ACC. Each sentence was manually annotated with entities and relations by a team of 12 annotators to facilitate machine-readable rule generation, followed by careful curation to ensure accuracy. The final dataset comprises 4,297 entities and 4,329 relations across various categories, serving as a robust ground truth. CODE-ACCORD supports a range of ML and Natural Language Processing (NLP) tasks, including text classification, entity recognition, and relation extraction. It enables applying recent trends, such as deep neural networks and large language models, to ACC.",,,,,,,,,,,,,,,,,,,,,,,,JAN 29,2025,12,1,,,,,,,170,10.1038/s41597-024-04320-x,0,,,,,,,,,,,,,,0
J,"Cassandro, J; Mirarchi, C; Zanchetta, C; Pavan, A",,,,"Cassandro, Jacopo; Mirarchi, Claudio; Zanchetta, Carlo; Pavan, Alberto",,,ENHANCING ACCURACY IN COST ESTIMATION: STRUCTURED COST DATA INTEGRATION AND MODEL VALIDATION,JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION,,,,,,,,,,BIM; IFC; cost ontology; compliance checking; cost item; Information Delivery Specification (IDS); AEC/FM,STANDARD,"Cost estimation for tendering is one of the leading causes of legal disputes in the architecture, engineering, construction, and facilities management (AEC/FM) industry. To date, there are no standardized procedures for verifying cost estimation accuracy. The association between cost data and geometric model objects is currently done manually, leading to time losses and inaccuracies in cost estimates. This study defines a new architecture for cost items within the Industry Foundation Classes (IFC) data model to ensure structured cost data, which is currently expressed in unstructured natural language. It encompasses the definition of a cost domain in IFC, potential relationships it may have with an IFC geometric information model, and the validation of these relationships through semi-automated verification procedures of structured data (geometric-cost). A specific case study, focused on a structural IFC model, is examined to assess current and future applications. Additionally, rules for BIM information requirements will be defined through the Information Delivery Specification (IDS) to ensure clear understanding for both humans and computers. This will specify which data must be included in the geometric model to ensure validation and verification of the uniqueness of associated cost data. The results demonstrate the feasibility of defining structured cost elements in IFC and verifying their association with geometric data to ensure coherence and uniqueness in cost estimation.",,,,,,,,,,,,,,,,,,,,,,,,,2024,29,,,,,,,,,10.36680/j.itcon.2024.058,0,,,,,,,,,,,,,,0
